,ngram,False,True,n,False_q,True_q,fpr,fpr_sig
0,,1.0,1.0,15238.0,1.0,1.0,1.0,False
1,IPR000001,0.9964042427096368,0.024214445155643746,9.0,1.0,0.13183987156924262,0.26,False
2,IPR000001|IPR000001,0.6454476892363556,1.0,3.0,1.0,1.0,1.0,False
3,IPR000001|IPR000001|IPR000001,0.7468702812489645,1.0,2.0,1.0,1.0,0.95,False
4,IPR000001|IPR000001|IPR001254,0.7468702812489645,1.0,2.0,1.0,1.0,0.89,False
5,IPR000001|IPR001254,0.7468702812489645,1.0,2.0,1.0,1.0,0.99,False
6,IPR000001|IPR002889,0.997499924633707,0.05028453472581799,3.0,1.0,0.19723458202665697,0.02,True
7,IPR000001|IPR002889|IPR000859,0.997499924633707,0.05028453472581799,3.0,1.0,0.19723458202665697,0.01,True
8,IPR000007,0.7468702812489645,1.0,2.0,1.0,1.0,0.89,False
9,IPR000008,0.9999999999999996,1.7229236848071451e-15,173.0,1.0,7.418622232832099e-13,0.05,True
10,IPR000008|IPR000008,0.9933065158283404,0.01809562228857176,41.0,1.0,0.11396532663553348,0.6,False
11,IPR000008|IPR000008|IPR000008,0.9427284555676069,0.24393843852243893,7.0,1.0,0.46495601023341643,0.36,False
12,IPR000008|IPR000008|IPR002035,0.9427284555676069,0.24393843852243893,7.0,1.0,0.46495601023341643,0.14,False
13,IPR000008|IPR000008|IPR013583,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.07,False
14,IPR000008|IPR000198,0.9895802898541258,0.050768723455671336,11.0,1.0,0.19723458202665697,0.04,True
15,IPR000008|IPR000719,0.9982009929498277,0.015050583882185735,8.0,1.0,0.11396532663553348,0.01,True
16,IPR000008|IPR000719|IPR000961,0.9982009929498277,0.015050583882185735,8.0,1.0,0.11396532663553348,0.0,True
17,IPR000008|IPR001202,0.9999403488002807,0.00039318033380376303,19.0,1.0,0.009674108498876397,0.0,True
18,IPR000008|IPR001202|IPR001202,0.9999871656375678,0.0001683586704031004,11.0,1.0,0.005117113235134234,0.0,True
19,IPR000008|IPR001202|IPR040524,0.48203586763882567,1.0,5.0,1.0,1.0,0.77,False
20,IPR000008|IPR001478,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.14,False
21,IPR000008|IPR001849,0.908414135386015,0.4422077928135309,4.0,1.0,0.6539460977296835,0.4,False
