Comparison,variable,value
HAS2,NS_pval_dist,0.06418867747698849
HAS2,NS_pval_dist,3.307849074759212e-15
HAS2,NS_pval_dist,6.670588303616214e-17
HAS2,NS_pval_dist,5.237415622922798e-13
HAS2,NS_pval_dist,0.41794970721149316
HAS2,NS_pval_dist,6.952376584135165e-17
HAS2,NS_pval_dist,0.00048676159936397956
HAS2,NS_pval_dist,0.05909069901306533
HAS2,NS_pval_dist,7.062450670436058e-05
HAS2,NS_pval_dist,3.066250379878827e-10
HAS2,NS_pval_dist,0.3999293200655857
HAS2,NS_pval_dist,0.0038609149094592874
HAS2,NS_pval_dist,0.8478941492591543
HAS2,NS_pval_dist,1.3145716762890277e-13
HAS2,NS_pval_dist,2.9995630187636917e-15
HAS2,NS_pval_dist,0.000710965371020141
HAS2,NS_pval_dist,0.014112613477359594
HAS2,NS_pval_dist,3.524444567183434e-11
HAS2,NS_pval_dist,6.095126745656303e-07
HAS2,NS_pval_dist,7.984949400194334e-05
HAS2,NS_pval_dist,2.6034178570274487e-06
HAS2,NS_pval_dist,2.6526098981350026e-05
HAS2,NS_pval_dist,0.013827476273406542
HAS2,NS_pval_dist,0.5008495525479996
HAS2,NS_pval_dist,5.868091481814901e-07
HAS2,NS_pval_dist,5.168695736909521e-07
HAS2,NS_pval_dist,1.663588496224215e-24
HAS2,NS_pval_dist,0.24135569121181089
HAS2,NS_pval_dist,8.750369133136303e-05
HAS2,NS_pval_dist,0.45983101342888855
HAS2,NS_pval_dist,0.12461935714246979
HAS2,NS_pval_dist,0.8383355473388268
HAS2,NS_pval_dist,3.466633938645716e-11
HAS2,NS_pval_dist,1.5671180485680479e-06
HAS2,NS_pval_dist,0.35505814399502555
HAS2,NS_pval_dist,0.043693684348569614
HAS2,NS_pval_dist,0.06815361365573322
HAS2,NS_pval_dist,0.35125753310248864
HAS2,NS_pval_dist,0.00024844102740395835
HAS2,NS_pval_dist,0.4068042701198439
HAS2,NS_pval_dist,4.767988732851196e-08
HAS2,NS_pval_dist,0.20344990527873452
HAS2,NS_pval_dist,0.01831971485558661
HAS2,NS_pval_dist,8.455422143648817e-08
HAS2,NS_pval_dist,4.0994402689550336e-19
HAS2,NS_pval_dist,1.980615222836625e-08
HAS2,NS_pval_dist,0.5008495525479996
HAS2,NS_pval_dist,0.02796134363381667
HAS2,NS_pval_dist,9.124379906058799e-29
HAS2,NS_pval_dist,3.9975729458048546e-13
HAS3,NS_pval_dist,4.566084129501287e-05
HAS3,NS_pval_dist,0.00016556270914424217
HAS3,NS_pval_dist,0.9892778402527317
HAS3,NS_pval_dist,0.02626559159447367
HAS3,NS_pval_dist,0.1882529583086452
HAS3,NS_pval_dist,4.411098050926764e-12
HAS3,NS_pval_dist,6.192989252972166e-10
HAS3,NS_pval_dist,0.019307252750720795
HAS3,NS_pval_dist,0.2605125196085657
HAS3,NS_pval_dist,0.0006161369634440706
HAS3,NS_pval_dist,9.784124954686405e-14
HAS3,NS_pval_dist,0.16555669216045032
HAS3,NS_pval_dist,8.262111393732516e-11
HAS3,NS_pval_dist,1.674253721787082e-09
HAS3,NS_pval_dist,0.1575086229274757
HAS3,NS_pval_dist,0.45983101342888855
HAS3,NS_pval_dist,5.267991763717718e-09
HAS3,NS_pval_dist,5.511305136150646e-05
HAS3,NS_pval_dist,2.0606302833822106e-19
HAS3,NS_pval_dist,0.14633632030870422
HAS3,NS_pval_dist,1.2992730993983008e-05
HAS3,NS_pval_dist,0.06075132988142527
HAS3,NS_pval_dist,7.213602250785117e-16
HAS3,NS_pval_dist,0.023287392170647004
HAS3,NS_pval_dist,7.494611614508473e-11
