Comparison,variable,value
HAS2,Network Separation,0.5123963589727167
HAS3,Network Separation,0.08345026694829794
HAS2,NS Cohen,-0.544825443625438
HAS3,NS Cohen,-3.2861393635703515
HAS2,IQR Cohen,-0.23641508744655135
HAS3,IQR Cohen,-0.20155510344136757
HAS2,NS Statistic,6321.0
HAS3,NS Statistic,9928.0
HAS2,NS p,0.0012531641033614181
HAS3,NS p,2.194904709910704e-33
HAS2,IQR Statistic,5060.0
HAS3,IQR Statistic,4692.0
HAS2,IQR p,0.8844095607690305
HAS3,IQR p,0.45244680893218303
HAS2,IQR p_log,0.053346571196456506
HAS3,IQR p_log,0.34443247048104314
HAS2,NS p_log,2.90199205389194
HAS3,NS p_log,32.65858432957142
HAS2,NS_FPR,0.56
HAS3,NS_FPR,0.0
HAS2,IQR_FPR,0.98
HAS3,IQR_FPR,0.86
