Comparison,variable,value
HAS2,NS Subsample Dist,0.5890793124432969
HAS2,NS Subsample Dist,0.4610000000000001
HAS2,NS Subsample Dist,0.6485640990492605
HAS2,NS Subsample Dist,0.690836940836941
HAS2,NS Subsample Dist,0.3978526413345691
HAS2,NS Subsample Dist,0.5386363636363638
HAS2,NS Subsample Dist,0.558171543159238
HAS2,NS Subsample Dist,0.3600048862421745
HAS2,NS Subsample Dist,0.4345422440086293
HAS2,NS Subsample Dist,0.609232883558221
HAS2,NS Subsample Dist,0.5214057138342061
HAS2,NS Subsample Dist,0.6276481659521709
HAS2,NS Subsample Dist,0.5073015873015874
HAS2,NS Subsample Dist,0.6023492072488204
HAS2,NS Subsample Dist,0.7353160731192192
HAS2,NS Subsample Dist,0.4832666888658117
HAS2,NS Subsample Dist,0.43320789968122586
HAS2,NS Subsample Dist,0.2733219936612048
HAS2,NS Subsample Dist,0.3814856883234894
HAS2,NS Subsample Dist,0.4527098010134718
HAS2,NS Subsample Dist,0.5594648207562178
HAS2,NS Subsample Dist,0.4833208020050126
HAS2,NS Subsample Dist,0.6657910856502947
HAS2,NS Subsample Dist,0.6346850141307978
HAS2,NS Subsample Dist,0.3242841178438476
HAS2,NS Subsample Dist,0.6385674525720066
HAS2,NS Subsample Dist,0.41435185185185164
HAS2,NS Subsample Dist,0.5417229729729731
HAS2,NS Subsample Dist,0.5387302877624496
HAS2,NS Subsample Dist,0.5149365783694142
HAS2,NS Subsample Dist,0.4575035195514676
HAS2,NS Subsample Dist,0.5322628449273739
HAS2,NS Subsample Dist,0.2287521440823328
HAS2,NS Subsample Dist,0.4676314970432618
HAS2,NS Subsample Dist,0.6083893309083015
HAS2,NS Subsample Dist,0.8009421923242905
HAS2,NS Subsample Dist,0.4756473875390601
HAS2,NS Subsample Dist,0.562394321057692
HAS2,NS Subsample Dist,0.648833633507051
HAS2,NS Subsample Dist,0.5630478632270921
HAS2,NS Subsample Dist,0.4773842074197523
HAS2,NS Subsample Dist,0.6420833210408308
HAS2,NS Subsample Dist,0.4893250074338389
HAS2,NS Subsample Dist,0.470934411922034
HAS2,NS Subsample Dist,0.4787926190090237
HAS2,NS Subsample Dist,0.4448157917754241
HAS2,NS Subsample Dist,0.43843777581641663
HAS2,NS Subsample Dist,0.5137325019866741
HAS2,NS Subsample Dist,0.47021498172404685
HAS2,NS Subsample Dist,0.6328374934757914
HAS2,NS Subsample Dist,0.5101755041075429
HAS2,NS Subsample Dist,0.5132856881070185
HAS2,NS Subsample Dist,0.31322307193387333
HAS2,NS Subsample Dist,0.6065080237702558
HAS2,NS Subsample Dist,0.4512774806892452
HAS2,NS Subsample Dist,0.4245015157337433
HAS2,NS Subsample Dist,0.49429272617194253
HAS2,NS Subsample Dist,0.3090277777777777
HAS2,NS Subsample Dist,0.6175015460729747
HAS2,NS Subsample Dist,0.40226493354961734
HAS2,NS Subsample Dist,0.415187098419987
HAS2,NS Subsample Dist,0.5351936557520314
HAS2,NS Subsample Dist,0.6062456279083914
HAS2,NS Subsample Dist,0.43393301435406695
HAS2,NS Subsample Dist,0.6823309295207749
HAS2,NS Subsample Dist,0.6629838088683744
HAS2,NS Subsample Dist,0.70192287335394
HAS2,NS Subsample Dist,0.35857864357864355
HAS2,NS Subsample Dist,0.476108924043968
HAS2,NS Subsample Dist,0.7187134502923977
HAS2,NS Subsample Dist,0.5527417027417028
HAS2,NS Subsample Dist,0.31489301801801806
HAS2,NS Subsample Dist,0.6030927835051543
HAS2,NS Subsample Dist,0.42449544954495444
HAS2,NS Subsample Dist,0.7024388267703776
HAS2,NS Subsample Dist,0.5759401192237013
HAS2,NS Subsample Dist,0.3612027811716694
HAS2,NS Subsample Dist,0.45186202686202703
HAS2,NS Subsample Dist,0.4876612876612876
HAS2,NS Subsample Dist,0.6810153037146902
HAS2,NS Subsample Dist,0.4111263736263733
HAS2,NS Subsample Dist,0.5311488673139162
HAS2,NS Subsample Dist,0.4422908532656078
HAS2,NS Subsample Dist,0.35657427730817726
HAS2,NS Subsample Dist,0.6070833333333332
HAS2,NS Subsample Dist,0.6377850797048485
HAS2,NS Subsample Dist,0.46479220360824725
HAS2,NS Subsample Dist,0.5195723162399113
HAS2,NS Subsample Dist,0.23082706766917283
HAS2,NS Subsample Dist,0.3382554945054945
HAS2,NS Subsample Dist,0.4324321678737113
HAS2,NS Subsample Dist,0.23206351759083454
HAS2,NS Subsample Dist,0.5865893527222208
HAS2,NS Subsample Dist,0.5193304684598654
HAS2,NS Subsample Dist,0.6765069021692534
HAS2,NS Subsample Dist,0.3845077561903705
HAS2,NS Subsample Dist,0.31995452539051983
HAS2,NS Subsample Dist,0.5814989648033126
HAS2,NS Subsample Dist,0.5020517446462289
HAS2,NS Subsample Dist,0.6217073170731708
HAS3,NS Subsample Dist,0.1511998328763684
HAS3,NS Subsample Dist,0.05488182988182988
HAS3,NS Subsample Dist,0.05798285284680338
HAS3,NS Subsample Dist,0.09640222755261219
HAS3,NS Subsample Dist,0.26845844919876605
HAS3,NS Subsample Dist,0.08660054182477617
HAS3,NS Subsample Dist,0.12025441454785946
HAS3,NS Subsample Dist,0.07789597881773558
HAS3,NS Subsample Dist,0.068330538501165
HAS3,NS Subsample Dist,0.17889686136711846
HAS3,NS Subsample Dist,0.2465148728710682
HAS3,NS Subsample Dist,0.11408985533243232
HAS3,NS Subsample Dist,0.16210654474555786
HAS3,NS Subsample Dist,0.18227863208555117
HAS3,NS Subsample Dist,0.15191113234591502
HAS3,NS Subsample Dist,0.17843773457619205
HAS3,NS Subsample Dist,0.20068954277750284
HAS3,NS Subsample Dist,0.3031817174106928
HAS3,NS Subsample Dist,0.08241943429001064
HAS3,NS Subsample Dist,0.06599495786710885
HAS3,NS Subsample Dist,0.07075289575289578
HAS3,NS Subsample Dist,0.13754061489417135
HAS3,NS Subsample Dist,0.1155737603784257
HAS3,NS Subsample Dist,0.043567707441508174
HAS3,NS Subsample Dist,0.10275479680605382
HAS3,NS Subsample Dist,0.12944953708622742
HAS3,NS Subsample Dist,0.20501697671961083
HAS3,NS Subsample Dist,0.2271750133850703
HAS3,NS Subsample Dist,0.1851930178150274
HAS3,NS Subsample Dist,0.1951293027033243
HAS3,NS Subsample Dist,0.14177606188767822
HAS3,NS Subsample Dist,0.0909374033928434
HAS3,NS Subsample Dist,0.20677661709480577
HAS3,NS Subsample Dist,0.15821713825376205
HAS3,NS Subsample Dist,0.13631910724933993
