Comparison,variable,value
Float_v_Packed,NS_pval_dist,0.1039336368052851
Float_v_Packed,NS_pval_dist,0.008111050081624934
Float_v_Packed,NS_pval_dist,0.2973628336444435
Float_v_Packed,NS_pval_dist,0.2122691815877613
Float_v_Packed,NS_pval_dist,6.713757679212352e-08
Float_v_Packed,NS_pval_dist,2.950624062135292e-21
Float_v_Packed,NS_pval_dist,0.020473553101713574
Float_v_Packed,NS_pval_dist,0.0077099294578521806
Float_v_Packed,NS_pval_dist,3.524444567183434e-11
Float_v_Packed,NS_pval_dist,1.444747903902235e-22
Float_v_Packed,NS_pval_dist,0.6328761821955298
Float_v_Packed,NS_pval_dist,8.464867790406115e-06
Float_v_Packed,NS_pval_dist,0.5356534851730026
Float_v_Packed,NS_pval_dist,5.168695736909521e-07
Float_v_Packed,NS_pval_dist,0.0700213003206784
Float_v_Packed,NS_pval_dist,1.470269931580327e-08
Float_v_Packed,NS_pval_dist,0.20959487865126547
Float_v_Packed,NS_pval_dist,9.454764440462676e-07
Float_v_Packed,NS_pval_dist,2.6612795066520878e-08
Float_v_Packed,NS_pval_dist,0.13901421711481535
Float_v_Packed,NS_pval_dist,0.9386499961780551
Float_v_Packed,NS_pval_dist,0.40818767362642094
Float_v_Packed,NS_pval_dist,0.2017185321661551
Float_v_Packed,NS_pval_dist,0.00018430840839557677
Float_v_Packed,NS_pval_dist,1.0965663084177508e-15
Float_v_Packed,NS_pval_dist,0.30536241471358205
Float_v_Packed,NS_pval_dist,3.6450941112471756e-10
Float_v_Packed,NS_pval_dist,1.3224844081713985e-12
Float_v_Packed,NS_pval_dist,1.858115001457937e-06
Float_v_Packed,NS_pval_dist,1.8464663162987842e-21
Float_v_Packed,NS_pval_dist,3.4228972353770975e-06
Float_v_Packed,NS_pval_dist,0.13010716819140034
Float_v_Packed,NS_pval_dist,7.810104846022465e-09
Float_v_Packed,NS_pval_dist,0.9931766852280953
Float_v_Packed,NS_pval_dist,2.5517104763941562e-08
Float_v_Packed,NS_pval_dist,9.451998329911333e-30
Float_v_Packed,NS_pval_dist,0.5617090501526942
Float_v_Packed,NS_pval_dist,0.0005681087259128945
Float_v_Packed,NS_pval_dist,5.942848677564043e-07
Float_v_Packed,NS_pval_dist,1.265117149221826e-07
Float_v_Packed,NS_pval_dist,6.663062626003799e-12
Float_v_Packed,NS_pval_dist,0.0005048607844422627
Float_v_Packed,NS_pval_dist,2.3312404316574557e-09
Float_v_Packed,NS_pval_dist,2.7944843587667574e-11
Float_v_Packed,NS_pval_dist,0.003831017476713705
Float_v_Packed,NS_pval_dist,9.168864971968034e-08
Float_v_Packed,NS_pval_dist,1.1055247289384403e-10
Float_v_Packed,NS_pval_dist,1.1616634921269652e-05
Float_v_Packed,NS_pval_dist,0.14633632030870422
Float_v_Packed,NS_pval_dist,0.002192853735518411
Packed_v_Diff,NS_pval_dist,0.0008120206898513489
Packed_v_Diff,NS_pval_dist,5.857366561155672e-08
Packed_v_Diff,NS_pval_dist,8.594807406727228e-21
Packed_v_Diff,NS_pval_dist,2.624258710192324e-08
Packed_v_Diff,NS_pval_dist,4.0031006370913845e-07
Packed_v_Diff,NS_pval_dist,0.02240994155579531
Packed_v_Diff,NS_pval_dist,0.00025809766052214397
Packed_v_Diff,NS_pval_dist,0.013640222354593499
Packed_v_Diff,NS_pval_dist,1.281353145306804e-14
Packed_v_Diff,NS_pval_dist,0.000710965371020141
Packed_v_Diff,NS_pval_dist,0.0010017914520778126
Packed_v_Diff,NS_pval_dist,6.65827907040754e-07
Packed_v_Diff,NS_pval_dist,0.6053120122109508
Packed_v_Diff,NS_pval_dist,5.341936092607749e-19
Packed_v_Diff,NS_pval_dist,0.01264982951212916
Packed_v_Diff,NS_pval_dist,0.16040018429215808
Packed_v_Diff,NS_pval_dist,2.4751112377949717e-09
Packed_v_Diff,NS_pval_dist,4.868896209601103e-06
Packed_v_Diff,NS_pval_dist,0.02975064481931883
Packed_v_Diff,NS_pval_dist,9.278656340005454e-13
Packed_v_Diff,NS_pval_dist,3.5900386571128674e-19
Packed_v_Diff,NS_pval_dist,0.004107831367072227
Packed_v_Diff,NS_pval_dist,0.00040126746317070076
Packed_v_Diff,NS_pval_dist,0.013827476273406542
Packed_v_Diff,NS_pval_dist,9.245975016837224e-10
Packed_v_Diff,NS_pval_dist,0.033422573730036965
Packed_v_Diff,NS_pval_dist,0.0034339708196835387
Packed_v_Diff,NS_pval_dist,9.927313362945225e-16
Packed_v_Diff,NS_pval_dist,1.9820864679075237e-12
Packed_v_Diff,NS_pval_dist,5.507699976191576e-07
Packed_v_Diff,NS_pval_dist,6.914688743201641e-07
Packed_v_Diff,NS_pval_dist,0.20344990527873452
Packed_v_Diff,NS_pval_dist,0.5102211976075551
Packed_v_Diff,NS_pval_dist,0.800352637766898
Packed_v_Diff,NS_pval_dist,4.225873945609926e-29
Packed_v_Diff,NS_pval_dist,0.0017997545515836756
Packed_v_Diff,NS_pval_dist,1.3286011410899174e-05
Packed_v_Diff,NS_pval_dist,1.6004614762407375e-20
Packed_v_Diff,NS_pval_dist,4.756614417390974e-06
Packed_v_Diff,NS_pval_dist,4.0372952400600275e-06
Packed_v_Diff,NS_pval_dist,6.371666761156148e-05
Packed_v_Diff,NS_pval_dist,0.11141439852451146
Packed_v_Diff,NS_pval_dist,8.750369133136303e-05
Packed_v_Diff,NS_pval_dist,4.332157462907156e-05
Packed_v_Diff,NS_pval_dist,7.334597774684724e-23
Packed_v_Diff,NS_pval_dist,2.393920912719104e-06
Packed_v_Diff,NS_pval_dist,0.00019917578564254188
Packed_v_Diff,NS_pval_dist,0.0006106197223490862
Packed_v_Diff,NS_pval_dist,4.900170786433024e-11
Packed_v_Diff,NS_pval_dist,0.09539259270073754
Float_v_Packed,IQR_pval_dist,0.7167219817726203
Float_v_Packed,IQR_pval_dist,0.021147683637096123
Float_v_Packed,IQR_pval_dist,0.8921311149906492
Float_v_Packed,IQR_pval_dist,0.952264726653991
Float_v_Packed,IQR_pval_dist,0.5292360397745484
Float_v_Packed,IQR_pval_dist,0.16040018429215808
Float_v_Packed,IQR_pval_dist,0.0031989015231053053
Float_v_Packed,IQR_pval_dist,0.12582299840140035
Float_v_Packed,IQR_pval_dist,0.0011113659012575018
Float_v_Packed,IQR_pval_dist,0.006230946260052499
Float_v_Packed,IQR_pval_dist,0.9289359237357739
Float_v_Packed,IQR_pval_dist,0.5102211976075551
Float_v_Packed,IQR_pval_dist,0.06815361365573322
Float_v_Packed,IQR_pval_dist,0.12948830296207978
Float_v_Packed,IQR_pval_dist,0.5308367273418755
Float_v_Packed,IQR_pval_dist,0.00516660328391746
Float_v_Packed,IQR_pval_dist,0.13010716819140034
Float_v_Packed,IQR_pval_dist,0.0009022926646460393
Float_v_Packed,IQR_pval_dist,0.0558823761350111
Float_v_Packed,IQR_pval_dist,0.041449226505193434
Float_v_Packed,IQR_pval_dist,0.0638378712269668
Float_v_Packed,IQR_pval_dist,0.18257491613467391
Float_v_Packed,IQR_pval_dist,0.3944799878658759
Float_v_Packed,IQR_pval_dist,0.09539259270073754
Float_v_Packed,IQR_pval_dist,0.10655815243287416
Float_v_Packed,IQR_pval_dist,0.02255415625787033
Float_v_Packed,IQR_pval_dist,0.00884231711363468
Float_v_Packed,IQR_pval_dist,0.42217518140544974
Float_v_Packed,IQR_pval_dist,0.1965889162577361
Float_v_Packed,IQR_pval_dist,0.18907462771408678
Float_v_Packed,IQR_pval_dist,0.6328761821955298
Float_v_Packed,IQR_pval_dist,0.07193078736067997
Float_v_Packed,IQR_pval_dist,0.06210751308933237
Float_v_Packed,IQR_pval_dist,3.618980809156781e-05
Float_v_Packed,IQR_pval_dist,0.8268967545989556
Float_v_Packed,IQR_pval_dist,0.24929729785670474
Float_v_Packed,IQR_pval_dist,8.92480805630119e-08
Float_v_Packed,IQR_pval_dist,0.0006922116605770181
Float_v_Packed,IQR_pval_dist,0.034869873379866904
Float_v_Packed,IQR_pval_dist,0.0004823323228661566
Float_v_Packed,IQR_pval_dist,0.9581041121246177
Float_v_Packed,IQR_pval_dist,0.007994579742057337
Float_v_Packed,IQR_pval_dist,0.389075818571608
Float_v_Packed,IQR_pval_dist,0.018931603518644882
Float_v_Packed,IQR_pval_dist,0.3170358284512167
Float_v_Packed,IQR_pval_dist,0.1039336368052851
Float_v_Packed,IQR_pval_dist,0.03703006701244348
Float_v_Packed,IQR_pval_dist,0.04268378289466042
Float_v_Packed,IQR_pval_dist,0.5086529128195749
