Comparison,variable,value
Float_v_Packed,NS Subsample Dist,0.27750782779747873
Float_v_Packed,NS Subsample Dist,0.41535770027015007
Float_v_Packed,NS Subsample Dist,0.43903249687419343
Float_v_Packed,NS Subsample Dist,0.5876477855804956
Float_v_Packed,NS Subsample Dist,0.427937189260855
Float_v_Packed,NS Subsample Dist,0.4104155950643764
Float_v_Packed,NS Subsample Dist,0.48818188716547817
Float_v_Packed,NS Subsample Dist,0.5532503323282432
Float_v_Packed,NS Subsample Dist,0.4441657441657443
Float_v_Packed,NS Subsample Dist,0.5873345247028696
Float_v_Packed,NS Subsample Dist,0.47190254897224615
Float_v_Packed,NS Subsample Dist,0.3580851619644725
Float_v_Packed,NS Subsample Dist,0.3692150498570732
Float_v_Packed,NS Subsample Dist,0.4104905590819645
Float_v_Packed,NS Subsample Dist,0.44783412016127633
Float_v_Packed,NS Subsample Dist,0.37938852242501375
Float_v_Packed,NS Subsample Dist,0.485553429337485
Float_v_Packed,NS Subsample Dist,0.45717949152851967
Float_v_Packed,NS Subsample Dist,0.5003201918611402
Float_v_Packed,NS Subsample Dist,0.3695304918495266
Float_v_Packed,NS Subsample Dist,0.5112524124165267
Float_v_Packed,NS Subsample Dist,0.520546632511873
Float_v_Packed,NS Subsample Dist,0.44295091790209473
Float_v_Packed,NS Subsample Dist,0.3790965805586366
Float_v_Packed,NS Subsample Dist,0.5980900912263263
Float_v_Packed,NS Subsample Dist,0.36608776683190847
Float_v_Packed,NS Subsample Dist,0.477126534033149
Float_v_Packed,NS Subsample Dist,0.3364089499729661
Float_v_Packed,NS Subsample Dist,0.5637145006315878
Float_v_Packed,NS Subsample Dist,0.41762378283650103
Float_v_Packed,NS Subsample Dist,0.5092943480995598
Float_v_Packed,NS Subsample Dist,0.38186983775852457
Float_v_Packed,NS Subsample Dist,0.5080864790167661
Float_v_Packed,NS Subsample Dist,0.47557101575960603
Float_v_Packed,NS Subsample Dist,0.2826514231852666
Float_v_Packed,NS Subsample Dist,0.4171330822184254
Float_v_Packed,NS Subsample Dist,0.5541037709968595
Float_v_Packed,NS Subsample Dist,0.5203073089700998
Float_v_Packed,NS Subsample Dist,0.41900282220674456
Float_v_Packed,NS Subsample Dist,0.38645671694356976
Float_v_Packed,NS Subsample Dist,0.49348973270620644
Float_v_Packed,NS Subsample Dist,0.3994509863101079
Float_v_Packed,NS Subsample Dist,0.40487476657424093
Float_v_Packed,NS Subsample Dist,0.4206022530655913
Float_v_Packed,NS Subsample Dist,0.3578592849567137
Float_v_Packed,NS Subsample Dist,0.3828216454911182
Float_v_Packed,NS Subsample Dist,0.4612418686289803
Float_v_Packed,NS Subsample Dist,0.5766347306393074
Float_v_Packed,NS Subsample Dist,0.41044611103637907
Float_v_Packed,NS Subsample Dist,0.4604521159794057
Float_v_Packed,NS Subsample Dist,0.506677913967386
Float_v_Packed,NS Subsample Dist,0.4122685030184916
Float_v_Packed,NS Subsample Dist,0.4205554316972939
Float_v_Packed,NS Subsample Dist,0.5432256729159031
Float_v_Packed,NS Subsample Dist,0.4991356233866002
Float_v_Packed,NS Subsample Dist,0.47060276679841917
Float_v_Packed,NS Subsample Dist,0.33336409338122874
Float_v_Packed,NS Subsample Dist,0.6262040421027608
Float_v_Packed,NS Subsample Dist,0.43621233761817324
Float_v_Packed,NS Subsample Dist,0.3976907939241128
Float_v_Packed,NS Subsample Dist,0.6614071277869691
Float_v_Packed,NS Subsample Dist,0.4928306300103631
Float_v_Packed,NS Subsample Dist,0.3504752310621484
Float_v_Packed,NS Subsample Dist,0.28429539492472466
Float_v_Packed,NS Subsample Dist,0.3492242809707642
Float_v_Packed,NS Subsample Dist,0.40431080558194665
Float_v_Packed,NS Subsample Dist,0.4697232375296463
Float_v_Packed,NS Subsample Dist,0.49862726098191223
Float_v_Packed,NS Subsample Dist,0.357602213831016
Float_v_Packed,NS Subsample Dist,0.4607770501121333
Float_v_Packed,NS Subsample Dist,0.7364155572494284
Float_v_Packed,NS Subsample Dist,0.6763761244562896
Float_v_Packed,NS Subsample Dist,0.6507353582962383
Float_v_Packed,NS Subsample Dist,0.44604614370246853
Float_v_Packed,NS Subsample Dist,0.42144665728947994
Float_v_Packed,NS Subsample Dist,0.4288605819989315
Float_v_Packed,NS Subsample Dist,0.41293942396200034
Float_v_Packed,NS Subsample Dist,0.45149801127850275
Float_v_Packed,NS Subsample Dist,0.512295632031754
Float_v_Packed,NS Subsample Dist,0.4371641667423609
Float_v_Packed,NS Subsample Dist,0.5539573884552051
Float_v_Packed,NS Subsample Dist,0.4113782538792403
Float_v_Packed,NS Subsample Dist,0.3755091648488551
Float_v_Packed,NS Subsample Dist,0.49190682343092074
Float_v_Packed,NS Subsample Dist,0.530155921319998
Float_v_Packed,NS Subsample Dist,0.4723687856118921
Float_v_Packed,NS Subsample Dist,0.5505860067174708
Float_v_Packed,NS Subsample Dist,0.536048934040386
Float_v_Packed,NS Subsample Dist,0.45638041472109747
Float_v_Packed,NS Subsample Dist,0.529901855908725
Float_v_Packed,NS Subsample Dist,0.3879468062457816
Float_v_Packed,NS Subsample Dist,0.5832302228409751
Float_v_Packed,NS Subsample Dist,0.43367806794426134
Float_v_Packed,NS Subsample Dist,0.4381033358168198
Float_v_Packed,NS Subsample Dist,0.4694032561154997
Float_v_Packed,NS Subsample Dist,0.5257136884166527
Float_v_Packed,NS Subsample Dist,0.4615434056601182
Float_v_Packed,NS Subsample Dist,0.47848832631025706
Float_v_Packed,NS Subsample Dist,0.38259926623231433
Float_v_Packed,NS Subsample Dist,0.40346214374922096
Packed_v_Diff,NS Subsample Dist,0.06364144712949327
Packed_v_Diff,NS Subsample Dist,0.10221326258560293
Packed_v_Diff,NS Subsample Dist,0.12897516307599521
Packed_v_Diff,NS Subsample Dist,0.07261314697943955
Packed_v_Diff,NS Subsample Dist,0.14343186689227294
Packed_v_Diff,NS Subsample Dist,0.11879526389040085
Packed_v_Diff,NS Subsample Dist,0.10211470400480649
Packed_v_Diff,NS Subsample Dist,0.14969119678281073
Packed_v_Diff,NS Subsample Dist,0.12040306970907455
Packed_v_Diff,NS Subsample Dist,0.08891331711984618
Packed_v_Diff,NS Subsample Dist,0.15395105726821412
Packed_v_Diff,NS Subsample Dist,0.11774357217025755
Packed_v_Diff,NS Subsample Dist,0.1299130522706844
Packed_v_Diff,NS Subsample Dist,0.038332729112444675
Packed_v_Diff,NS Subsample Dist,0.08391192604327258
Packed_v_Diff,NS Subsample Dist,0.12734955487685506
Packed_v_Diff,NS Subsample Dist,0.09692183455256975
Packed_v_Diff,NS Subsample Dist,0.07268414039837179
Packed_v_Diff,NS Subsample Dist,0.10167459995046202
Packed_v_Diff,NS Subsample Dist,0.11086277493635621
Packed_v_Diff,NS Subsample Dist,0.06368533363289819
Packed_v_Diff,NS Subsample Dist,0.12903268138545454
Packed_v_Diff,NS Subsample Dist,0.07436737683424766
Packed_v_Diff,NS Subsample Dist,0.06883337108627807
Packed_v_Diff,NS Subsample Dist,0.10589983449936047
Packed_v_Diff,NS Subsample Dist,0.07675914691687558
Packed_v_Diff,NS Subsample Dist,0.11218084636451975
Packed_v_Diff,NS Subsample Dist,0.09588917790799822
Packed_v_Diff,NS Subsample Dist,0.08388416019082556
Packed_v_Diff,NS Subsample Dist,0.0722302287555534
Packed_v_Diff,NS Subsample Dist,0.09726390864354495
Packed_v_Diff,NS Subsample Dist,0.06738062729927563
Packed_v_Diff,NS Subsample Dist,0.041204612899993
Packed_v_Diff,NS Subsample Dist,0.0767354300094738
Packed_v_Diff,NS Subsample Dist,0.12845614137043126
Packed_v_Diff,NS Subsample Dist,0.10968283597670947
Packed_v_Diff,NS Subsample Dist,0.1008347835017307
Packed_v_Diff,NS Subsample Dist,0.10782372233985127
Packed_v_Diff,NS Subsample Dist,0.11518670774670703
Packed_v_Diff,NS Subsample Dist,0.1283960916210123
Packed_v_Diff,NS Subsample Dist,0.0740783832431402
Packed_v_Diff,NS Subsample Dist,0.14230386831786634
Packed_v_Diff,NS Subsample Dist,0.08331964763105582
Packed_v_Diff,NS Subsample Dist,0.11793859034446341
Packed_v_Diff,NS Subsample Dist,0.12388374239617628
Packed_v_Diff,NS Subsample Dist,0.10468462361217812
