Comparison,variable,value
Diff_v_Undiff,NS_pval_dist,1.7916903867176993e-06
Diff_v_Undiff,NS_pval_dist,0.4613159079670164
Diff_v_Undiff,NS_pval_dist,0.022845007209652515
Diff_v_Undiff,NS_pval_dist,1.4930908005160807e-14
Diff_v_Undiff,NS_pval_dist,2.612624357008757e-07
Diff_v_Undiff,NS_pval_dist,0.0008866285566477648
Diff_v_Undiff,NS_pval_dist,0.011166033194404677
Diff_v_Undiff,NS_pval_dist,0.02744297625137294
Diff_v_Undiff,NS_pval_dist,2.2349819804192752e-10
Diff_v_Undiff,NS_pval_dist,3.102985914974547e-13
Diff_v_Undiff,NS_pval_dist,0.21769155852292943
Diff_v_Undiff,NS_pval_dist,0.010337322914323177
Diff_v_Undiff,NS_pval_dist,0.044723691794856815
Diff_v_Undiff,NS_pval_dist,0.3985627608875104
Diff_v_Undiff,NS_pval_dist,0.0007367051404631699
Diff_v_Undiff,NS_pval_dist,3.3443704146164047e-12
Diff_v_Undiff,NS_pval_dist,0.019818241608893245
Diff_v_Undiff,NS_pval_dist,0.46578662652797287
Diff_v_Undiff,NS_pval_dist,0.00020306487391525945
Diff_v_Undiff,NS_pval_dist,0.0005890072950557363
Diff_v_Undiff,NS_pval_dist,0.9269943326245997
Diff_v_Undiff,NS_pval_dist,0.2742109604246169
Diff_v_Undiff,NS_pval_dist,1.1880213964877522e-05
Diff_v_Undiff,NS_pval_dist,0.6662806847264114
Diff_v_Undiff,NS_pval_dist,0.0008560538469064228
Diff_v_Undiff,NS_pval_dist,0.9795320515638306
Diff_v_Undiff,NS_pval_dist,2.5714904662787e-11
Diff_v_Undiff,NS_pval_dist,8.051885754552149e-10
Diff_v_Undiff,NS_pval_dist,6.749567933591654e-14
Diff_v_Undiff,NS_pval_dist,1.2743348069276202e-09
Diff_v_Undiff,NS_pval_dist,0.4235892177260626
Diff_v_Undiff,NS_pval_dist,5.02602415268576e-22
Diff_v_Undiff,NS_pval_dist,4.5354186377426347e-13
Diff_v_Undiff,NS_pval_dist,0.14164345203833323
Diff_v_Undiff,NS_pval_dist,1.651457445336538e-10
Diff_v_Undiff,NS_pval_dist,3.17733164965665e-20
Diff_v_Undiff,NS_pval_dist,0.042934389647911485
Diff_v_Undiff,NS_pval_dist,3.316245288853443e-21
Diff_v_Undiff,NS_pval_dist,0.025132117249196548
Diff_v_Undiff,NS_pval_dist,1.0277664453658505e-08
Diff_v_Undiff,NS_pval_dist,7.494611614508473e-11
