Comparison,variable,value
Diff_v_Undiff,NS Subsample Dist,0.21486398326506762
Diff_v_Undiff,NS Subsample Dist,0.2145122319540924
Diff_v_Undiff,NS Subsample Dist,0.16042687126036626
Diff_v_Undiff,NS Subsample Dist,0.24976545485005874
Diff_v_Undiff,NS Subsample Dist,0.20080302257994043
Diff_v_Undiff,NS Subsample Dist,0.23760484669849613
Diff_v_Undiff,NS Subsample Dist,0.17797395206578415
Diff_v_Undiff,NS Subsample Dist,0.1866386558237596
Diff_v_Undiff,NS Subsample Dist,0.07916520536201377
Diff_v_Undiff,NS Subsample Dist,0.22483052980258766
Diff_v_Undiff,NS Subsample Dist,0.1949921275479085
Diff_v_Undiff,NS Subsample Dist,0.23579848222694566
Diff_v_Undiff,NS Subsample Dist,0.2804467148528653
Diff_v_Undiff,NS Subsample Dist,0.20684622922045492
Diff_v_Undiff,NS Subsample Dist,0.17275141160773222
Diff_v_Undiff,NS Subsample Dist,0.10255463559473155
Diff_v_Undiff,NS Subsample Dist,0.2753089392310948
Diff_v_Undiff,NS Subsample Dist,0.271799628942486
Diff_v_Undiff,NS Subsample Dist,0.295906849584747
Diff_v_Undiff,NS Subsample Dist,0.18047064273636915
Diff_v_Undiff,NS Subsample Dist,0.19411074201455492
Diff_v_Undiff,NS Subsample Dist,0.19259202129826059
Diff_v_Undiff,NS Subsample Dist,0.16656168913553326
Diff_v_Undiff,NS Subsample Dist,0.22291852458768613
Diff_v_Undiff,NS Subsample Dist,0.212562458021746
Diff_v_Undiff,NS Subsample Dist,0.2198104505790477
Diff_v_Undiff,NS Subsample Dist,0.31452038004831806
Diff_v_Undiff,NS Subsample Dist,0.19995880850575953
Diff_v_Undiff,NS Subsample Dist,0.1386955279003208
Diff_v_Undiff,NS Subsample Dist,0.14864572196365766
Diff_v_Undiff,NS Subsample Dist,0.1412686542194952
Diff_v_Undiff,NS Subsample Dist,0.16174334068644902
Diff_v_Undiff,NS Subsample Dist,0.20108730882961567
Diff_v_Undiff,NS Subsample Dist,0.15063808033385495
Diff_v_Undiff,NS Subsample Dist,0.1987527908142388
Diff_v_Undiff,NS Subsample Dist,0.3081457702656636
Diff_v_Undiff,NS Subsample Dist,0.2834061404385577
Diff_v_Undiff,NS Subsample Dist,0.19984709014588886
Diff_v_Undiff,NS Subsample Dist,0.22912892211672675
Diff_v_Undiff,NS Subsample Dist,0.12273455854906334
Diff_v_Undiff,NS Subsample Dist,0.1936437632084398
Diff_v_Undiff,NS Subsample Dist,0.3132787880906178
Diff_v_Undiff,NS Subsample Dist,0.21898226714600444
Diff_v_Undiff,NS Subsample Dist,0.11822332566876859
Diff_v_Undiff,NS Subsample Dist,0.2056277056277056
Diff_v_Undiff,NS Subsample Dist,0.22669796153960897
Diff_v_Undiff,NS Subsample Dist,0.12060230388433979
Diff_v_Undiff,NS Subsample Dist,0.19371580950380385
Diff_v_Undiff,NS Subsample Dist,0.21987108020072998
Diff_v_Undiff,NS Subsample Dist,0.16233156008422056
Diff_v_Undiff,NS Subsample Dist,0.2095451080620574
Diff_v_Undiff,NS Subsample Dist,0.1631143493427789
Diff_v_Undiff,NS Subsample Dist,0.24625792055430762
Diff_v_Undiff,NS Subsample Dist,0.15474596134973484
Diff_v_Undiff,NS Subsample Dist,0.19191176470588256
Diff_v_Undiff,NS Subsample Dist,0.14100859543576294
Diff_v_Undiff,NS Subsample Dist,0.18613057720044224
Diff_v_Undiff,NS Subsample Dist,0.10978792500550183
Diff_v_Undiff,NS Subsample Dist,0.1734511766582434
Diff_v_Undiff,NS Subsample Dist,0.21001904660413095
Diff_v_Undiff,NS Subsample Dist,0.17719857220885116
Diff_v_Undiff,NS Subsample Dist,0.27081860550737624
Diff_v_Undiff,NS Subsample Dist,0.18102854439874982
Diff_v_Undiff,NS Subsample Dist,0.20961681132944032
Diff_v_Undiff,NS Subsample Dist,0.08962405866445677
Diff_v_Undiff,NS Subsample Dist,0.1703578831193302
Diff_v_Undiff,NS Subsample Dist,0.25535812450488393
Diff_v_Undiff,NS Subsample Dist,0.2247147372005851
Diff_v_Undiff,NS Subsample Dist,0.07973200498595356
Diff_v_Undiff,NS Subsample Dist,0.17228815584898083
