Comparison,variable,value
Float_v_TW,NS_pval_dist,3.1649090652493255e-21
Float_v_TW,NS_pval_dist,0.07388271895157436
Float_v_TW,NS_pval_dist,0.5244487532342188
Float_v_TW,NS_pval_dist,0.08299184763371885
Float_v_TW,NS_pval_dist,0.03593613137762092
Float_v_TW,NS_pval_dist,0.08255891840495476
Float_v_TW,NS_pval_dist,0.7852853644415725
Float_v_TW,NS_pval_dist,0.00020702521415506117
Float_v_TW,NS_pval_dist,3.850292163446912e-14
Float_v_TW,NS_pval_dist,2.4449738469040044e-12
Float_v_TW,NS_pval_dist,3.312052779925151e-14
Float_v_TW,NS_pval_dist,0.07154551502558534
Float_v_TW,NS_pval_dist,0.7928093311454317
Float_v_TW,NS_pval_dist,0.6967432156308929
Float_v_TW,NS_pval_dist,4.378801350920859e-07
Float_v_TW,NS_pval_dist,8.725306465608261e-17
Float_v_TW,NS_pval_dist,0.009098847928603056
Float_v_TW,NS_pval_dist,0.015512967216271772
Float_v_TW,NS_pval_dist,0.8593939505753146
Float_v_TW,NS_pval_dist,0.0003032000695936906
Float_v_TW,NS_pval_dist,5.621786026286963e-08
Float_v_TW,NS_pval_dist,0.9990252291079427
Float_v_TW,NS_pval_dist,1.0342389710409542e-13
Float_v_TW,NS_pval_dist,3.943465886738245e-06
Float_v_TW,NS_pval_dist,3.897338550918436e-06
Float_v_TW,NS_pval_dist,8.769468955442506e-09
Float_v_TW,NS_pval_dist,0.9464279029669959
Float_v_TW,NS_pval_dist,1.0535345118826252e-13
Float_v_TW,NS_pval_dist,1.1870643292601483e-20
Float_v_TW,NS_pval_dist,0.00011033476714466766
Float_v_TW,NS_pval_dist,0.011402053442170518
Float_v_TW,NS_pval_dist,0.0075435315677536
Float_v_TW,NS_pval_dist,4.755221738385548e-10
Float_v_TW,NS_pval_dist,2.83115697449872e-09
Float_v_TW,NS_pval_dist,0.1403240980594023
Float_v_TW,NS_pval_dist,0.6121525774363046
Float_v_TW,NS_pval_dist,0.025132117249196548
Float_v_TW,NS_pval_dist,1.3837285777233084e-26
Float_v_TW,NS_pval_dist,0.011322892535153794
Float_v_TW,NS_pval_dist,6.2118386240191e-06
Float_v_TW,NS_pval_dist,0.008716490841559921
Float_v_TW,NS_pval_dist,1.5344451326962602e-08
Float_v_TW,NS_pval_dist,3.0358468796699663e-20
Float_v_TW,NS_pval_dist,8.009979951332801e-08
Float_v_TW,NS_pval_dist,9.108105206185984e-07
Float_v_TW,NS_pval_dist,4.975048063145302e-07
Float_v_TW,NS_pval_dist,6.993515331600627e-08
Float_v_TW,NS_pval_dist,2.479865630380161e-07
Float_v_TW,NS_pval_dist,0.0019549289790737837
Float_v_TW,NS_pval_dist,4.331794777285146e-06
Float_v_Explant,NS_pval_dist,0.02358643059705599
Float_v_Explant,NS_pval_dist,0.003123865560187446
Float_v_Explant,NS_pval_dist,9.428515076069241e-14
Float_v_Explant,NS_pval_dist,0.0003330753615302109
Float_v_Explant,NS_pval_dist,2.9413911911039584e-15
Float_v_Explant,NS_pval_dist,4.150789054014618e-14
Float_v_Explant,NS_pval_dist,0.532439867987911
Float_v_Explant,NS_pval_dist,2.4124072765454646e-08
Float_v_Explant,NS_pval_dist,0.6328761821955298
Float_v_Explant,NS_pval_dist,1.0878362175923719e-10
Float_v_Explant,NS_pval_dist,1.706347192404751e-14
Float_v_Explant,NS_pval_dist,0.9405939534127224
Float_v_Explant,NS_pval_dist,0.02060685979906944
Float_v_Explant,NS_pval_dist,1.716961846205622e-07
Float_v_Explant,NS_pval_dist,1.0774678661934914e-07
Float_v_Explant,NS_pval_dist,0.14907086303735595
Float_v_Explant,NS_pval_dist,6.953104390571595e-09
Float_v_Explant,NS_pval_dist,0.5388768442625269
Float_v_Explant,NS_pval_dist,0.5260420469900255
Float_v_Explant,NS_pval_dist,4.435174775444525e-07
Float_v_Explant,NS_pval_dist,5.267991763717718e-09
Float_v_Explant,NS_pval_dist,4.608527338280841e-07
Float_v_Explant,NS_pval_dist,3.7702231606095934e-08
Float_v_Explant,NS_pval_dist,3.276399425303188e-13
Float_v_Explant,NS_pval_dist,1.4194164169761366e-17
Float_v_Explant,NS_pval_dist,0.12342471475635904
