Comparison,variable,value
Float_v_TW,NS Subsample Dist,0.8235605910024515
Float_v_TW,NS Subsample Dist,0.7127339774319639
Float_v_TW,NS Subsample Dist,0.6250521007361272
Float_v_TW,NS Subsample Dist,0.6606120895569019
Float_v_TW,NS Subsample Dist,0.5711073685422694
Float_v_TW,NS Subsample Dist,0.7967641485106358
Float_v_TW,NS Subsample Dist,0.7044884939621783
Float_v_TW,NS Subsample Dist,0.8956901268071782
Float_v_TW,NS Subsample Dist,0.75243993993994
Float_v_TW,NS Subsample Dist,0.8309079067023868
Float_v_TW,NS Subsample Dist,0.7916109774570077
Float_v_TW,NS Subsample Dist,0.39306859942833805
Float_v_TW,NS Subsample Dist,0.8085977461367164
Float_v_TW,NS Subsample Dist,0.6838989042064334
Float_v_TW,NS Subsample Dist,0.6002138316316703
Float_v_TW,NS Subsample Dist,0.5569202274938263
Float_v_TW,NS Subsample Dist,0.6643489670906444
Float_v_TW,NS Subsample Dist,0.8795879539030227
Float_v_TW,NS Subsample Dist,0.7421789672884562
Float_v_TW,NS Subsample Dist,0.8455615718331195
Float_v_TW,NS Subsample Dist,0.7848167044595615
Float_v_TW,NS Subsample Dist,0.4072635697635696
Float_v_TW,NS Subsample Dist,0.4495115995115997
Float_v_TW,NS Subsample Dist,0.44586505018043
Float_v_TW,NS Subsample Dist,0.4641424365108575
Float_v_TW,NS Subsample Dist,0.705183819474386
Float_v_TW,NS Subsample Dist,0.467727558066541
Float_v_TW,NS Subsample Dist,0.8452281052281052
Float_v_TW,NS Subsample Dist,0.6839390127149152
Float_v_TW,NS Subsample Dist,0.7268403068955878
Float_v_TW,NS Subsample Dist,0.5729562104562105
Float_v_TW,NS Subsample Dist,0.9042874649045247
Float_v_TW,NS Subsample Dist,0.43944099378881996
Float_v_TW,NS Subsample Dist,0.6885687008885948
Float_v_TW,NS Subsample Dist,0.5648629148629147
Float_v_TW,NS Subsample Dist,0.49274193548387113
Float_v_TW,NS Subsample Dist,0.8241205234694964
Float_v_TW,NS Subsample Dist,0.4982510250734786
Float_v_TW,NS Subsample Dist,0.8113421275289028
Float_v_TW,NS Subsample Dist,1.0267312132090751
Float_v_TW,NS Subsample Dist,0.5524235570076232
Float_v_TW,NS Subsample Dist,0.543010752688172
Float_v_TW,NS Subsample Dist,0.6447146401985111
Float_v_TW,NS Subsample Dist,0.41918767507002785
Float_v_TW,NS Subsample Dist,0.6751623376623375
Float_v_TW,NS Subsample Dist,0.7487370123364916
Float_v_TW,NS Subsample Dist,1.0239568646877264
Float_v_TW,NS Subsample Dist,0.40150680101690495
Float_v_TW,NS Subsample Dist,0.6085252980381115
Float_v_TW,NS Subsample Dist,0.9488888888888889
Float_v_TW,NS Subsample Dist,0.9192489680861775
Float_v_TW,NS Subsample Dist,0.7827982522796351
Float_v_TW,NS Subsample Dist,0.5646883753501402
Float_v_TW,NS Subsample Dist,0.6030978546986048
Float_v_TW,NS Subsample Dist,0.5628766423382361
Float_v_TW,NS Subsample Dist,0.6302663438256657
Float_v_TW,NS Subsample Dist,0.6315103008744625
Float_v_TW,NS Subsample Dist,0.7099303729671829
Float_v_TW,NS Subsample Dist,0.4966557017543858
Float_v_TW,NS Subsample Dist,0.5861672264480227
Float_v_TW,NS Subsample Dist,0.5788640934449885
Float_v_TW,NS Subsample Dist,0.5871778698864658
