Comparison,variable,value
AP_v_iNeural,NS_pval_dist,0.005089002482771027
AP_v_iNeural,NS_pval_dist,0.00010388964489703353
AP_v_iNeural,NS_pval_dist,8.319348485595564e-12
AP_v_iNeural,NS_pval_dist,1.0612132754195215e-09
AP_v_iNeural,NS_pval_dist,4.638491509888665e-08
AP_v_iNeural,NS_pval_dist,2.660314807679842e-10
AP_v_iNeural,NS_pval_dist,5.868091481814901e-07
AP_v_iNeural,NS_pval_dist,6.930606467166461e-16
AP_v_iNeural,NS_pval_dist,0.49619817279997736
AP_v_iNeural,NS_pval_dist,0.0001953567586175889
AP_v_iNeural,NS_pval_dist,1.283160793659201e-18
AP_v_iNeural,NS_pval_dist,0.019307252750720795
AP_v_iNeural,NS_pval_dist,0.9153543151414957
AP_v_iNeural,NS_pval_dist,0.019181318874843954
AP_v_iNeural,NS_pval_dist,2.0110869513991762e-07
AP_v_iNeural,NS_pval_dist,0.4717848447031493
AP_v_iNeural,NS_pval_dist,0.26572404658624904
AP_v_iNeural,NS_pval_dist,0.1409825886167487
AP_v_iNeural,NS_pval_dist,0.002321514916618761
AP_v_iNeural,NS_pval_dist,0.012221088397495607
AP_v_iNeural,NS_pval_dist,4.0372952400600275e-06
AP_v_iNeural,NS_pval_dist,1.0775563913568004e-09
AP_v_iNeural,NS_pval_dist,0.33508758219570867
AP_v_iNeural,NS_pval_dist,1.2714390751785777e-11
AP_v_iNeural,NS_pval_dist,0.0024769993118107544
AP_v_iNeural,NS_pval_dist,0.11251692929293958
AP_v_iNeural,NS_pval_dist,2.2016294707239883e-12
AP_v_iNeural,NS_pval_dist,8.35404883845159e-18
AP_v_iNeural,NS_pval_dist,6.852741965954455e-13
AP_v_iNeural,NS_pval_dist,0.05876313553183144
AP_v_iNeural,NS_pval_dist,6.264758454441016e-14
AP_v_iNeural,NS_pval_dist,2.3804995367672052e-05
AP_v_iNeural,NS_pval_dist,0.03202697810979723
AP_v_iNeural,NS_pval_dist,0.35125753310248864
AP_v_iNeural,NS_pval_dist,0.7094336633972258
AP_v_iNeural,NS_pval_dist,3.1743303068576564e-07
AP_v_iNeural,NS_pval_dist,8.839570537855716e-05
AP_v_iNeural,NS_pval_dist,0.07916101851952174
AP_v_iNeural,NS_pval_dist,3.218532115022022e-05
AP_v_iNeural,NS_pval_dist,2.4159540215050287e-07
AP_v_iNeural,NS_pval_dist,0.8211909422320588
AP_v_iNeural,NS_pval_dist,2.878869953552822e-10
AP_v_iNeural,NS_pval_dist,0.006611050401194153
AP_v_iNeural,NS_pval_dist,0.004368994120023425
AP_v_iNeural,NS_pval_dist,0.015617518683048639
AP_v_iNeural,NS_pval_dist,1.1696533569159162e-08
AP_v_iNeural,NS_pval_dist,2.9349910053470688e-08
AP_v_iNeural,NS_pval_dist,0.004825626423931461
