Comparison,variable,value
AP_v_iNeural,NS Subsample Dist,0.6123972352802285
AP_v_iNeural,NS Subsample Dist,0.37482284264462473
AP_v_iNeural,NS Subsample Dist,0.4723487596179543
AP_v_iNeural,NS Subsample Dist,0.5474858474858473
AP_v_iNeural,NS Subsample Dist,0.6203340167395053
AP_v_iNeural,NS Subsample Dist,0.5762944435672557
AP_v_iNeural,NS Subsample Dist,0.6938196555217833
AP_v_iNeural,NS Subsample Dist,0.650148044257441
AP_v_iNeural,NS Subsample Dist,0.39742907549156303
AP_v_iNeural,NS Subsample Dist,0.6430318510778281
AP_v_iNeural,NS Subsample Dist,0.30388339906979356
AP_v_iNeural,NS Subsample Dist,0.641942260775278
AP_v_iNeural,NS Subsample Dist,0.5568492312711553
AP_v_iNeural,NS Subsample Dist,0.7246547898143643
AP_v_iNeural,NS Subsample Dist,0.6325345126714992
AP_v_iNeural,NS Subsample Dist,0.5290986619486484
AP_v_iNeural,NS Subsample Dist,0.6698717948717949
AP_v_iNeural,NS Subsample Dist,0.49867440777603167
AP_v_iNeural,NS Subsample Dist,0.5300268696820423
AP_v_iNeural,NS Subsample Dist,0.5932481633019311
AP_v_iNeural,NS Subsample Dist,0.38140045167298164
AP_v_iNeural,NS Subsample Dist,0.491484883275928
AP_v_iNeural,NS Subsample Dist,0.5838978626308462
AP_v_iNeural,NS Subsample Dist,0.47079185101080756
AP_v_iNeural,NS Subsample Dist,0.5915325370747058
AP_v_iNeural,NS Subsample Dist,0.4950390547735297
AP_v_iNeural,NS Subsample Dist,0.5317565457777704
AP_v_iNeural,NS Subsample Dist,0.6328282013305757
AP_v_iNeural,NS Subsample Dist,0.5605758681601378
AP_v_iNeural,NS Subsample Dist,0.6805173594647278
AP_v_iNeural,NS Subsample Dist,0.45065964412698056
AP_v_iNeural,NS Subsample Dist,0.43311398445316707
AP_v_iNeural,NS Subsample Dist,0.41894561057301916
AP_v_iNeural,NS Subsample Dist,0.5131928060620761
AP_v_iNeural,NS Subsample Dist,0.6901601038204606
AP_v_iNeural,NS Subsample Dist,0.7524500718795806
AP_v_iNeural,NS Subsample Dist,0.6976564148148676
AP_v_iNeural,NS Subsample Dist,0.43488762816779136
AP_v_iNeural,NS Subsample Dist,0.5632919067569524
AP_v_iNeural,NS Subsample Dist,0.45071022727272725
AP_v_iNeural,NS Subsample Dist,0.6055938905695863
AP_v_iNeural,NS Subsample Dist,0.49142988627005635
AP_v_iNeural,NS Subsample Dist,0.5603865881458965
AP_v_iNeural,NS Subsample Dist,0.5298007105044762
AP_v_iNeural,NS Subsample Dist,0.5792160330091365
AP_v_iNeural,NS Subsample Dist,0.593652282676673
AP_v_iNeural,NS Subsample Dist,0.609143124011069
AP_v_iNeural,NS Subsample Dist,0.6751237789375084
AP_v_iNeural,NS Subsample Dist,0.4811287477954145
AP_v_iNeural,NS Subsample Dist,0.5075668410345828
AP_v_iNeural,NS Subsample Dist,0.5693014328212025
AP_v_iNeural,NS Subsample Dist,0.5362992230709387
AP_v_iNeural,NS Subsample Dist,0.5898886481367218
AP_v_iNeural,NS Subsample Dist,0.5395011850894202
AP_v_iNeural,NS Subsample Dist,0.6087061942325098
AP_v_iNeural,NS Subsample Dist,0.5441406566950169
AP_v_iNeural,NS Subsample Dist,0.5390796810093965
AP_v_iNeural,NS Subsample Dist,0.5987420742546137
AP_v_iNeural,NS Subsample Dist,0.6212325482496222
AP_v_iNeural,NS Subsample Dist,0.5850188608443774
AP_v_iNeural,NS Subsample Dist,0.5392207598728187
AP_v_iNeural,NS Subsample Dist,0.4377587878471012
AP_v_iNeural,NS Subsample Dist,0.49621780445111274
AP_v_iNeural,NS Subsample Dist,0.49383116883116873
AP_v_iNeural,NS Subsample Dist,0.5253663003663003
AP_v_iNeural,NS Subsample Dist,0.6291339863684626
AP_v_iNeural,NS Subsample Dist,0.4213550420168066
AP_v_iNeural,NS Subsample Dist,0.34845358345358357
AP_v_iNeural,NS Subsample Dist,0.6068725346994723
AP_v_iNeural,NS Subsample Dist,0.4713984674329501
AP_v_iNeural,NS Subsample Dist,0.39503344749544356
AP_v_iNeural,NS Subsample Dist,0.5754181184668989
AP_v_iNeural,NS Subsample Dist,0.6675375031782358
AP_v_iNeural,NS Subsample Dist,0.7332820605075123
AP_v_iNeural,NS Subsample Dist,0.6645123264841577
AP_v_iNeural,NS Subsample Dist,0.7253329394538048
AP_v_iNeural,NS Subsample Dist,0.6925890625661881
AP_v_iNeural,NS Subsample Dist,0.6172136905141792
AP_v_iNeural,NS Subsample Dist,0.7400680400115891
AP_v_iNeural,NS Subsample Dist,0.5338509358259005
AP_v_iNeural,NS Subsample Dist,0.5904161962751155
AP_v_iNeural,NS Subsample Dist,0.40097465886939565
AP_v_iNeural,NS Subsample Dist,0.6464338026838028
AP_v_iNeural,NS Subsample Dist,0.5043896279574955
AP_v_iNeural,NS Subsample Dist,0.5568181818181819
AP_v_iNeural,NS Subsample Dist,0.5966222702754833
AP_v_iNeural,NS Subsample Dist,0.562249985344359
AP_v_iNeural,NS Subsample Dist,0.5693536905951508
AP_v_iNeural,NS Subsample Dist,0.5613313044093706
AP_v_iNeural,NS Subsample Dist,0.6362999745352689
AP_v_iNeural,NS Subsample Dist,0.6221245071013517
AP_v_iNeural,NS Subsample Dist,0.620938091122051
AP_v_iNeural,NS Subsample Dist,0.4608840588544736
AP_v_iNeural,NS Subsample Dist,0.5832730562179251
AP_v_iNeural,NS Subsample Dist,0.5171043460797864
AP_v_iNeural,NS Subsample Dist,0.4603964113372261
AP_v_iNeural,NS Subsample Dist,0.588598901098901
AP_v_iNeural,NS Subsample Dist,0.5219323152640438
AP_v_iNeural,NS Subsample Dist,0.6416001498671431
AP_v_iNeural,NS Subsample Dist,0.5059007410499949
iNeural_v_no,NS Subsample Dist,0.5602835917800122
iNeural_v_no,NS Subsample Dist,0.4663261529350804
iNeural_v_no,NS Subsample Dist,0.49847263358736305
iNeural_v_no,NS Subsample Dist,0.6739234449760767
iNeural_v_no,NS Subsample Dist,0.4788643540033142
iNeural_v_no,NS Subsample Dist,0.6282373150105707
iNeural_v_no,NS Subsample Dist,0.689118712059557
iNeural_v_no,NS Subsample Dist,0.39967224818276215
iNeural_v_no,NS Subsample Dist,0.609909725631375
iNeural_v_no,NS Subsample Dist,0.7939393939393937
iNeural_v_no,NS Subsample Dist,0.48955205462547835
iNeural_v_no,NS Subsample Dist,0.5702107665458449
iNeural_v_no,NS Subsample Dist,0.7647559644159785
iNeural_v_no,NS Subsample Dist,0.7340197554381223
iNeural_v_no,NS Subsample Dist,0.579936477902419
iNeural_v_no,NS Subsample Dist,0.806174089068826
iNeural_v_no,NS Subsample Dist,0.5460571869197117
iNeural_v_no,NS Subsample Dist,0.882105367399485
iNeural_v_no,NS Subsample Dist,0.7599722608306436
iNeural_v_no,NS Subsample Dist,0.48059329021221053
iNeural_v_no,NS Subsample Dist,0.5558007836078889
iNeural_v_no,NS Subsample Dist,0.7877884431075923
iNeural_v_no,NS Subsample Dist,0.4227729136265721
iNeural_v_no,NS Subsample Dist,0.7175110471055968
iNeural_v_no,NS Subsample Dist,0.4976901231216089
iNeural_v_no,NS Subsample Dist,0.8162343447842946
iNeural_v_no,NS Subsample Dist,0.8698228529990675
iNeural_v_no,NS Subsample Dist,0.5298942375838194
iNeural_v_no,NS Subsample Dist,0.7262744460911352
iNeural_v_no,NS Subsample Dist,0.6267291387773315
iNeural_v_no,NS Subsample Dist,0.9317383263985204
iNeural_v_no,NS Subsample Dist,0.5015865833947897
iNeural_v_no,NS Subsample Dist,0.48827901658090345
iNeural_v_no,NS Subsample Dist,0.5631720430107527
iNeural_v_no,NS Subsample Dist,0.7279422212280819
iNeural_v_no,NS Subsample Dist,0.5722534691691177
iNeural_v_no,NS Subsample Dist,0.5337256593172928
iNeural_v_no,NS Subsample Dist,0.7207371155458588
iNeural_v_no,NS Subsample Dist,0.5772224163664688
iNeural_v_no,NS Subsample Dist,0.5559918557300758
iNeural_v_no,NS Subsample Dist,0.6119567157518966
iNeural_v_no,NS Subsample Dist,0.6724494503108962
iNeural_v_no,NS Subsample Dist,0.5434978939101878
iNeural_v_no,NS Subsample Dist,0.4950980392156863
iNeural_v_no,NS Subsample Dist,0.6279388083735906
iNeural_v_no,NS Subsample Dist,0.7051697530864198
iNeural_v_no,NS Subsample Dist,0.6283201422544544
iNeural_v_no,NS Subsample Dist,0.765491448925693
iNeural_v_no,NS Subsample Dist,0.7205116334440023
iNeural_v_no,NS Subsample Dist,0.8462288245986289
iNeural_v_no,NS Subsample Dist,0.49743295919766495
iNeural_v_no,NS Subsample Dist,0.6286437856739149
iNeural_v_no,NS Subsample Dist,0.7795412504624495
iNeural_v_no,NS Subsample Dist,0.6243059077674462
iNeural_v_no,NS Subsample Dist,0.5964826327882147
iNeural_v_no,NS Subsample Dist,0.613447583744035
iNeural_v_no,NS Subsample Dist,0.5215692415393969
iNeural_v_no,NS Subsample Dist,0.4992546583850932
iNeural_v_no,NS Subsample Dist,0.669582235002796
iNeural_v_no,NS Subsample Dist,0.41942977140548643
iNeural_v_no,NS Subsample Dist,0.5323157472022064
iNeural_v_no,NS Subsample Dist,0.6287852359807768
iNeural_v_no,NS Subsample Dist,0.5244313029765426
iNeural_v_no,NS Subsample Dist,0.45612538650175916
iNeural_v_no,NS Subsample Dist,0.5505345501955672
iNeural_v_no,NS Subsample Dist,0.6385206737562281
iNeural_v_no,NS Subsample Dist,0.5807437141257943
iNeural_v_no,NS Subsample Dist,0.6490337561516601
iNeural_v_no,NS Subsample Dist,0.6992412064644371
iNeural_v_no,NS Subsample Dist,0.564327485380117
iNeural_v_no,NS Subsample Dist,0.6861087902386735
iNeural_v_no,NS Subsample Dist,0.6402777777777777
iNeural_v_no,NS Subsample Dist,0.6945970695970698
iNeural_v_no,NS Subsample Dist,0.6281753343701775
iNeural_v_no,NS Subsample Dist,0.5903426017874878
iNeural_v_no,NS Subsample Dist,0.6631934137291282
iNeural_v_no,NS Subsample Dist,0.47337200625654696
iNeural_v_no,NS Subsample Dist,0.4479167384755378
iNeural_v_no,NS Subsample Dist,0.7534203566135032
iNeural_v_no,NS Subsample Dist,0.6645032089948364
iNeural_v_no,NS Subsample Dist,0.7925073208258886
iNeural_v_no,NS Subsample Dist,0.477643985070896
iNeural_v_no,NS Subsample Dist,1.0120024408050299
iNeural_v_no,NS Subsample Dist,0.538793103448276
iNeural_v_no,NS Subsample Dist,0.6515920216854794
iNeural_v_no,NS Subsample Dist,0.7497630348925686
iNeural_v_no,NS Subsample Dist,0.6724038948612598
iNeural_v_no,NS Subsample Dist,0.8307898259705488
iNeural_v_no,NS Subsample Dist,0.7332201359286175
iNeural_v_no,NS Subsample Dist,0.6322542653425005
iNeural_v_no,NS Subsample Dist,0.5582588813143075
iNeural_v_no,NS Subsample Dist,0.5982202663237146
iNeural_v_no,NS Subsample Dist,0.5380334274817227
iNeural_v_no,NS Subsample Dist,0.4986261251763031
iNeural_v_no,NS Subsample Dist,0.5760755301148435
iNeural_v_no,NS Subsample Dist,0.5998440832202105
iNeural_v_no,NS Subsample Dist,0.6832385154224232
iNeural_v_no,NS Subsample Dist,0.5862794852787439
iNeural_v_no,NS Subsample Dist,0.7164538696658556
iNeural_v_no,NS Subsample Dist,0.46702834672889093
AP_v_iNeural,NS Random Dist,0.6641229141229141
AP_v_iNeural,NS Random Dist,0.7477589112966911
AP_v_iNeural,NS Random Dist,0.3435288832906189
AP_v_iNeural,NS Random Dist,0.5533177794551567
AP_v_iNeural,NS Random Dist,0.7061236473450214
AP_v_iNeural,NS Random Dist,0.8829393731645179
AP_v_iNeural,NS Random Dist,0.6066106442577033
AP_v_iNeural,NS Random Dist,0.5286253764074362
AP_v_iNeural,NS Random Dist,0.6286479367866549
AP_v_iNeural,NS Random Dist,0.5353794466403163
AP_v_iNeural,NS Random Dist,0.7500008238345213
AP_v_iNeural,NS Random Dist,0.5983003483003482
AP_v_iNeural,NS Random Dist,0.5525271935868092
AP_v_iNeural,NS Random Dist,0.5079780917394534
AP_v_iNeural,NS Random Dist,0.682289109285307
AP_v_iNeural,NS Random Dist,0.535908523908524
AP_v_iNeural,NS Random Dist,0.6830702225183376
AP_v_iNeural,NS Random Dist,0.5831982707607339
AP_v_iNeural,NS Random Dist,0.7154343501326259
AP_v_iNeural,NS Random Dist,0.8271144278606966
AP_v_iNeural,NS Random Dist,0.7246114195049822
AP_v_iNeural,NS Random Dist,0.612990276322682
AP_v_iNeural,NS Random Dist,0.7812998405103666
AP_v_iNeural,NS Random Dist,0.6334332100988509
AP_v_iNeural,NS Random Dist,0.8401803229072866
AP_v_iNeural,NS Random Dist,0.5219588348363156
AP_v_iNeural,NS Random Dist,0.5044832090398041
AP_v_iNeural,NS Random Dist,0.4511964625807978
AP_v_iNeural,NS Random Dist,0.6285676818673571
AP_v_iNeural,NS Random Dist,0.6700574347060506
AP_v_iNeural,NS Random Dist,0.7128318135764942
AP_v_iNeural,NS Random Dist,0.8176361895856985
AP_v_iNeural,NS Random Dist,0.9401208993855796
AP_v_iNeural,NS Random Dist,0.6280420302092127
AP_v_iNeural,NS Random Dist,0.7328069841749798
AP_v_iNeural,NS Random Dist,0.35285090590952484
AP_v_iNeural,NS Random Dist,0.37928817222809297
AP_v_iNeural,NS Random Dist,0.7087808237647351
AP_v_iNeural,NS Random Dist,0.49297974421881663
AP_v_iNeural,NS Random Dist,0.49466988630035713
AP_v_iNeural,NS Random Dist,0.7142565359477122
AP_v_iNeural,NS Random Dist,0.6925775419656914
AP_v_iNeural,NS Random Dist,0.5489285428097865
AP_v_iNeural,NS Random Dist,0.636485852937615
AP_v_iNeural,NS Random Dist,0.5874242374700145
AP_v_iNeural,NS Random Dist,0.3175479862461188
AP_v_iNeural,NS Random Dist,0.28555826911408366
AP_v_iNeural,NS Random Dist,0.5295959595959594
AP_v_iNeural,NS Random Dist,0.4248698669751303
AP_v_iNeural,NS Random Dist,0.5628962540727245
AP_v_iNeural,NS Random Dist,0.5221786833855799
AP_v_iNeural,NS Random Dist,0.5027875426490795
AP_v_iNeural,NS Random Dist,0.4877089512547679
AP_v_iNeural,NS Random Dist,0.638074870763758
AP_v_iNeural,NS Random Dist,0.4143142554760515
AP_v_iNeural,NS Random Dist,0.38854839023252197
AP_v_iNeural,NS Random Dist,0.5374555492326016
AP_v_iNeural,NS Random Dist,0.5263405274645612
AP_v_iNeural,NS Random Dist,0.6262529771150458
AP_v_iNeural,NS Random Dist,0.658363761961777
AP_v_iNeural,NS Random Dist,0.9241542530541851
AP_v_iNeural,NS Random Dist,0.6342737722048066
AP_v_iNeural,NS Random Dist,0.6029408685651558
AP_v_iNeural,NS Random Dist,0.5382759800567016
AP_v_iNeural,NS Random Dist,0.6570300187212204
AP_v_iNeural,NS Random Dist,0.5819570937057277
AP_v_iNeural,NS Random Dist,0.6935594681113029
AP_v_iNeural,NS Random Dist,0.40115636114523534
AP_v_iNeural,NS Random Dist,0.5132817614673546
AP_v_iNeural,NS Random Dist,0.5486980791595992
AP_v_iNeural,NS Random Dist,0.33177672105318123
AP_v_iNeural,NS Random Dist,0.8742583061625933
AP_v_iNeural,NS Random Dist,0.5832835941026646
AP_v_iNeural,NS Random Dist,0.6672031053890981
AP_v_iNeural,NS Random Dist,0.48417808020493047
AP_v_iNeural,NS Random Dist,0.7179230265006087
AP_v_iNeural,NS Random Dist,0.556138857455492
AP_v_iNeural,NS Random Dist,0.5271679646980325
AP_v_iNeural,NS Random Dist,0.7824792056041432
AP_v_iNeural,NS Random Dist,0.5641522309350369
AP_v_iNeural,NS Random Dist,0.6799215781388956
AP_v_iNeural,NS Random Dist,0.39323557946098653
AP_v_iNeural,NS Random Dist,0.8489587343281779
AP_v_iNeural,NS Random Dist,0.8151879239270001
AP_v_iNeural,NS Random Dist,0.9564961835550072
AP_v_iNeural,NS Random Dist,0.4078915294796186
AP_v_iNeural,NS Random Dist,0.4064752871928672
AP_v_iNeural,NS Random Dist,0.47347196120936497
AP_v_iNeural,NS Random Dist,0.7424029197437276
AP_v_iNeural,NS Random Dist,0.5705651162161431
AP_v_iNeural,NS Random Dist,0.5822148508389897
AP_v_iNeural,NS Random Dist,0.55441560891476
AP_v_iNeural,NS Random Dist,0.767593860018575
AP_v_iNeural,NS Random Dist,0.9491796386107634
AP_v_iNeural,NS Random Dist,0.743528007856483
AP_v_iNeural,NS Random Dist,0.7223870347000956
AP_v_iNeural,NS Random Dist,0.38295940170940157
AP_v_iNeural,NS Random Dist,0.380788712396841
AP_v_iNeural,NS Random Dist,0.5752442248480649
AP_v_iNeural,NS Random Dist,0.607849386580432
iNeural_v_no,NS Random Dist,0.9504010728082477
iNeural_v_no,NS Random Dist,0.6270250240390254
iNeural_v_no,NS Random Dist,0.8392999544315334
iNeural_v_no,NS Random Dist,0.6678764454499748
iNeural_v_no,NS Random Dist,0.5622079316648347
iNeural_v_no,NS Random Dist,0.9973725942910097
iNeural_v_no,NS Random Dist,0.573691336935219
iNeural_v_no,NS Random Dist,0.6400801686593249
iNeural_v_no,NS Random Dist,0.6387975243147657
iNeural_v_no,NS Random Dist,0.3972083172891796
iNeural_v_no,NS Random Dist,0.3765709868176663
iNeural_v_no,NS Random Dist,0.8309896625114015
iNeural_v_no,NS Random Dist,0.5520057353078367
iNeural_v_no,NS Random Dist,0.8852011084153943
iNeural_v_no,NS Random Dist,0.7869886334213658
iNeural_v_no,NS Random Dist,0.7436100182570908
iNeural_v_no,NS Random Dist,0.6060135933806148
iNeural_v_no,NS Random Dist,0.390744748374376
iNeural_v_no,NS Random Dist,0.4350346517593904
iNeural_v_no,NS Random Dist,0.8476491839628983
iNeural_v_no,NS Random Dist,0.39017483494227667
iNeural_v_no,NS Random Dist,0.5536664133738602
iNeural_v_no,NS Random Dist,0.8064112007712798
iNeural_v_no,NS Random Dist,0.5177064163906271
iNeural_v_no,NS Random Dist,0.6178367928367929
iNeural_v_no,NS Random Dist,0.6111894810170675
iNeural_v_no,NS Random Dist,0.5102390935033849
iNeural_v_no,NS Random Dist,0.6890848679207853
iNeural_v_no,NS Random Dist,0.5407313800455849
iNeural_v_no,NS Random Dist,0.6076497000797474
iNeural_v_no,NS Random Dist,0.5715397631133672
iNeural_v_no,NS Random Dist,0.5104617604617605
iNeural_v_no,NS Random Dist,0.8164849856026324
iNeural_v_no,NS Random Dist,0.6905342452175636
iNeural_v_no,NS Random Dist,0.8288621849187519
iNeural_v_no,NS Random Dist,0.6310674342302682
iNeural_v_no,NS Random Dist,0.7203925295967482
iNeural_v_no,NS Random Dist,0.49545285646774806
iNeural_v_no,NS Random Dist,0.5770134833080971
iNeural_v_no,NS Random Dist,0.6394659280565322
iNeural_v_no,NS Random Dist,0.7377953569542357
iNeural_v_no,NS Random Dist,0.32874800637958557
iNeural_v_no,NS Random Dist,0.47166320166320164
iNeural_v_no,NS Random Dist,0.752706299911269
iNeural_v_no,NS Random Dist,0.6312032378900341
iNeural_v_no,NS Random Dist,0.5328321110235441
iNeural_v_no,NS Random Dist,0.6373480454473222
iNeural_v_no,NS Random Dist,0.9998423343261587
iNeural_v_no,NS Random Dist,0.8611867563705262
iNeural_v_no,NS Random Dist,0.8382134556103882
iNeural_v_no,NS Random Dist,0.9192266992266993
iNeural_v_no,NS Random Dist,0.7852216748768475
iNeural_v_no,NS Random Dist,0.8896852359969181
iNeural_v_no,NS Random Dist,0.6457612927078578
iNeural_v_no,NS Random Dist,0.7000500719295002
iNeural_v_no,NS Random Dist,0.4471132370458606
iNeural_v_no,NS Random Dist,0.9059904793488924
iNeural_v_no,NS Random Dist,0.9805997003648668
iNeural_v_no,NS Random Dist,0.8574699130860237
iNeural_v_no,NS Random Dist,0.7413335192305812
iNeural_v_no,NS Random Dist,0.6873572894433355
iNeural_v_no,NS Random Dist,0.7888157894736842
iNeural_v_no,NS Random Dist,0.5073633713462375
iNeural_v_no,NS Random Dist,0.9067153014368241
iNeural_v_no,NS Random Dist,0.7599056330928713
iNeural_v_no,NS Random Dist,0.8049487924828043
iNeural_v_no,NS Random Dist,0.6978566149297858
iNeural_v_no,NS Random Dist,0.8259294647579725
iNeural_v_no,NS Random Dist,0.7417095837820122
iNeural_v_no,NS Random Dist,0.9538721691853249
iNeural_v_no,NS Random Dist,0.7899604834754883
iNeural_v_no,NS Random Dist,0.6586434820174962
iNeural_v_no,NS Random Dist,0.9407966969465824
iNeural_v_no,NS Random Dist,0.8509550645986534
iNeural_v_no,NS Random Dist,0.2710013771394846
iNeural_v_no,NS Random Dist,0.6285060684714092
iNeural_v_no,NS Random Dist,0.587646652864044
iNeural_v_no,NS Random Dist,0.6535528009212219
iNeural_v_no,NS Random Dist,0.5681338776166363
iNeural_v_no,NS Random Dist,0.4047140670275
iNeural_v_no,NS Random Dist,0.6382388856075338
iNeural_v_no,NS Random Dist,0.6140497640497644
iNeural_v_no,NS Random Dist,0.41597542242703534
iNeural_v_no,NS Random Dist,0.4603160374110551
iNeural_v_no,NS Random Dist,0.5234904781174512
iNeural_v_no,NS Random Dist,0.7106094388703084
iNeural_v_no,NS Random Dist,0.6374737519474358
iNeural_v_no,NS Random Dist,0.8928494634460029
iNeural_v_no,NS Random Dist,1.0428729957972847
iNeural_v_no,NS Random Dist,0.8179566393386999
iNeural_v_no,NS Random Dist,0.646019738272249
iNeural_v_no,NS Random Dist,0.7187062937062936
iNeural_v_no,NS Random Dist,0.6498179707012706
iNeural_v_no,NS Random Dist,0.28360689715647736
iNeural_v_no,NS Random Dist,0.7342890976022489
iNeural_v_no,NS Random Dist,0.4993567251461988
iNeural_v_no,NS Random Dist,0.8825243422848665
iNeural_v_no,NS Random Dist,0.6613655679824095
iNeural_v_no,NS Random Dist,0.46748539159253455
iNeural_v_no,NS Random Dist,0.2825537350246652
AP_v_iNeural,IQR Subsample Dist,0.10431608947742688
AP_v_iNeural,IQR Subsample Dist,0.1527463895293163
AP_v_iNeural,IQR Subsample Dist,1.0698686780462938
AP_v_iNeural,IQR Subsample Dist,0.26982720312444486
AP_v_iNeural,IQR Subsample Dist,0.5360335216041952
AP_v_iNeural,IQR Subsample Dist,0.7241763212385859
AP_v_iNeural,IQR Subsample Dist,7.580518336360867
AP_v_iNeural,IQR Subsample Dist,0.6448649101299504
AP_v_iNeural,IQR Subsample Dist,0.16308392313597642
AP_v_iNeural,IQR Subsample Dist,0.6337065413496161
AP_v_iNeural,IQR Subsample Dist,0.5038228085721762
AP_v_iNeural,IQR Subsample Dist,0.41837303082903055
AP_v_iNeural,IQR Subsample Dist,0.6761646144556239
AP_v_iNeural,IQR Subsample Dist,0.18922904995921686
AP_v_iNeural,IQR Subsample Dist,0.1111523352252698
AP_v_iNeural,IQR Subsample Dist,0.5188833633650599
AP_v_iNeural,IQR Subsample Dist,1.5890406993827273
AP_v_iNeural,IQR Subsample Dist,0.21454231766032805
AP_v_iNeural,IQR Subsample Dist,0.12084002672676719
AP_v_iNeural,IQR Subsample Dist,0.11680502949226457
AP_v_iNeural,IQR Subsample Dist,2.3682932148385243
AP_v_iNeural,IQR Subsample Dist,0.1858461141791441
AP_v_iNeural,IQR Subsample Dist,0.6385189266493069
AP_v_iNeural,IQR Subsample Dist,2.4765403181496666
AP_v_iNeural,IQR Subsample Dist,0.4280764927929783
AP_v_iNeural,IQR Subsample Dist,0.12042536325599051
AP_v_iNeural,IQR Subsample Dist,0.30072004899011695
AP_v_iNeural,IQR Subsample Dist,0.11874082510573736
AP_v_iNeural,IQR Subsample Dist,0.9996520111635638
AP_v_iNeural,IQR Subsample Dist,0.15976337261003937
AP_v_iNeural,IQR Subsample Dist,1.173073056635256
AP_v_iNeural,IQR Subsample Dist,0.31796081041884283
AP_v_iNeural,IQR Subsample Dist,0.28504099410629574
AP_v_iNeural,IQR Subsample Dist,0.7096543728614887
AP_v_iNeural,IQR Subsample Dist,1.2665787682811938
AP_v_iNeural,IQR Subsample Dist,0.298634441491584
