Comparison,variable,value
AP_v_no,NS_pval_dist,0.016421530161099762
AP_v_no,NS_pval_dist,7.1581734848321415e-09
AP_v_no,NS_pval_dist,5.177620142959409e-08
AP_v_no,NS_pval_dist,0.06108776296357608
AP_v_no,NS_pval_dist,1.883031905737337e-07
AP_v_no,NS_pval_dist,0.0008598098969080181
AP_v_no,NS_pval_dist,0.032026849280561126
AP_v_no,NS_pval_dist,
AP_v_no,NS_pval_dist,0.3146776722274681
AP_v_no,NS_pval_dist,0.16076411856698458
AP_v_no,NS_pval_dist,9.913941742806203e-09
AP_v_no,NS_pval_dist,8.293851712201791e-07
AP_v_no,NS_pval_dist,0.7544672003055821
AP_v_no,NS_pval_dist,0.0059367062016421
AP_v_no,NS_pval_dist,1.3690609356314727e-08
AP_v_no,NS_pval_dist,0.6121524440304403
AP_v_no,NS_pval_dist,0.020209147616432388
AP_v_no,NS_pval_dist,3.028928644304009e-15
AP_v_no,NS_pval_dist,4.346716338136724e-15
AP_v_no,NS_pval_dist,
AP_v_no,NS_pval_dist,0.11502893214939333
AP_v_no,NS_pval_dist,0.7304566928125842
AP_v_no,NS_pval_dist,9.001634635972298e-14
AP_v_no,NS_pval_dist,8.750208786536489e-05
AP_v_no,NS_pval_dist,1.2971448624045923e-21
AP_v_no,NS_pval_dist,0.0022380001302121887
AP_v_no,NS_pval_dist,1.3690098367929619e-08
AP_v_no,NS_pval_dist,0.1546561146268788
AP_v_no,NS_pval_dist,0.0002323500586697016
AP_v_no,NS_pval_dist,3.982630258397171e-09
AP_v_no,NS_pval_dist,0.4357189147878817
AP_v_no,NS_pval_dist,3.187962662440865e-06
AP_v_no,NS_pval_dist,0.0004360140771675238
AP_v_no,NS_pval_dist,5.063609489565599e-11
AP_v_no,NS_pval_dist,0.0007908010240586223
AP_v_no,NS_pval_dist,0.23168069459588847
AP_v_no,NS_pval_dist,0.04108465670838321
AP_v_no,NS_pval_dist,1.4307142735432138e-18
AP_v_no,NS_pval_dist,0.02184092167287194
AP_v_no,NS_pval_dist,0.697646809678118
AP_v_no,NS_pval_dist,0.013921880113967331
AP_v_no,NS_pval_dist,0.5413001213799787
AP_v_no,NS_pval_dist,0.5559569473517829
AP_v_no,NS_pval_dist,0.019118576584431
AP_v_no,NS_pval_dist,2.571446649235006e-11
AP_v_no,NS_pval_dist,5.1423782628393025e-08
AP_v_no,NS_pval_dist,3.199992700431464e-23
AP_v_no,NS_pval_dist,2.6404452341417636e-14
AP_v_no,NS_pval_dist,5.809246178507067e-12
AP_v_no,NS_pval_dist,5.867576561613731e-11
AP_v_no,IQR_pval_dist,0.0014234715993374405
AP_v_no,IQR_pval_dist,9.20498354050195e-05
AP_v_no,IQR_pval_dist,0.002053835010054614
AP_v_no,IQR_pval_dist,0.007063485809794635
AP_v_no,IQR_pval_dist,0.029385108474888184
AP_v_no,IQR_pval_dist,4.1510542315592797e-16
AP_v_no,IQR_pval_dist,0.3326413302501755
AP_v_no,IQR_pval_dist,
AP_v_no,IQR_pval_dist,0.009563694231775291
AP_v_no,IQR_pval_dist,0.43932557741605893
AP_v_no,IQR_pval_dist,1.5040384174262174e-07
AP_v_no,IQR_pval_dist,0.0011602061477663996
AP_v_no,IQR_pval_dist,3.0182297293295267e-05
AP_v_no,IQR_pval_dist,0.015305710565151428
AP_v_no,IQR_pval_dist,0.029023201461424196
AP_v_no,IQR_pval_dist,2.2629654250710897e-07
AP_v_no,IQR_pval_dist,0.5453518433003681
AP_v_no,IQR_pval_dist,1.8825580256874936e-22
AP_v_no,IQR_pval_dist,0.3499956899189671
AP_v_no,IQR_pval_dist,
AP_v_no,IQR_pval_dist,0.38907510718014693
AP_v_no,IQR_pval_dist,0.5340448424703206
AP_v_no,IQR_pval_dist,4.331794777285146e-06
AP_v_no,IQR_pval_dist,0.0004565363557066143
AP_v_no,IQR_pval_dist,1.1109344927254952e-06
AP_v_no,IQR_pval_dist,0.1582276273442853
AP_v_no,IQR_pval_dist,0.00675888084402814
AP_v_no,IQR_pval_dist,0.00017048516927559173
AP_v_no,IQR_pval_dist,0.28288121265383315
AP_v_no,IQR_pval_dist,1.1579067147784557e-10
AP_v_no,IQR_pval_dist,0.18257491613467391
AP_v_no,IQR_pval_dist,0.11531035165578801
AP_v_no,IQR_pval_dist,1.3690439024985867e-08
AP_v_no,IQR_pval_dist,0.36144992944982623
AP_v_no,IQR_pval_dist,0.35252152913909984
AP_v_no,IQR_pval_dist,0.03860883387929032
AP_v_no,IQR_pval_dist,0.01819943625435643
AP_v_no,IQR_pval_dist,0.0013996124221974267
AP_v_no,IQR_pval_dist,0.006909591406054973
AP_v_no,IQR_pval_dist,0.013640187123121624
AP_v_no,IQR_pval_dist,0.0005732676380355159
AP_v_no,IQR_pval_dist,0.0010017914520778126
AP_v_no,IQR_pval_dist,0.007273346603125158
AP_v_no,IQR_pval_dist,0.04369360541555548
AP_v_no,IQR_pval_dist,0.8921311149906492
AP_v_no,IQR_pval_dist,0.014208805665823991
AP_v_no,IQR_pval_dist,0.5421098975805215
AP_v_no,IQR_pval_dist,0.013455211990976037
AP_v_no,IQR_pval_dist,1.496717349489455e-08
AP_v_no,IQR_pval_dist,0.371825592159018
