Comparison,variable,value
AP_v_no,NS Subsample Dist,0.1070331192320837
AP_v_no,NS Subsample Dist,-0.06122805985946522
AP_v_no,NS Subsample Dist,0.19248251748251732
AP_v_no,NS Subsample Dist,0.4725008671050934
AP_v_no,NS Subsample Dist,0.10736715733266466
AP_v_no,NS Subsample Dist,0.006416368141243245
AP_v_no,NS Subsample Dist,0.21140109890109882
AP_v_no,NS Subsample Dist,0.3437543133195309
AP_v_no,NS Subsample Dist,-0.001687833915663628
AP_v_no,NS Subsample Dist,0.24811291527709423
AP_v_no,NS Subsample Dist,0.07790502478422345
AP_v_no,NS Subsample Dist,0.2990925589836664
AP_v_no,NS Subsample Dist,0.48130452845866234
AP_v_no,NS Subsample Dist,0.18122710622710603
AP_v_no,NS Subsample Dist,0.19720483938256184
AP_v_no,NS Subsample Dist,0.04702380952380958
AP_v_no,NS Subsample Dist,0.538244766505636
AP_v_no,NS Subsample Dist,-0.06414480015397461
AP_v_no,NS Subsample Dist,0.13320802005012533
AP_v_no,NS Subsample Dist,0.4288525462039623
AP_v_no,NS Subsample Dist,0.2890508862206973
AP_v_no,NS Subsample Dist,0.1979856189008733
AP_v_no,NS Subsample Dist,0.11624053030303028
AP_v_no,NS Subsample Dist,0.2861597357290604
AP_v_no,NS Subsample Dist,0.25806451612903203
AP_v_no,NS Subsample Dist,0.14806710182885707
AP_v_no,NS Subsample Dist,0.6087833734892554
AP_v_no,NS Subsample Dist,0.4795848316443281
AP_v_no,NS Subsample Dist,0.540351397434947
AP_v_no,NS Subsample Dist,0.2058202512902345
AP_v_no,NS Subsample Dist,0.07002801120448199
AP_v_no,NS Subsample Dist,0.14566472175167844
AP_v_no,NS Subsample Dist,0.2635899888410649
AP_v_no,NS Subsample Dist,0.10978407557354908
AP_v_no,NS Subsample Dist,0.10761762964904253
AP_v_no,NS Subsample Dist,0.0497310085558722
AP_v_no,NS Subsample Dist,-0.08968552582682987
AP_v_no,NS Subsample Dist,0.014252091062267436
AP_v_no,NS Subsample Dist,0.2119421208973451
AP_v_no,NS Subsample Dist,0.14362788642873747
AP_v_no,NS Subsample Dist,0.18350619362904563
AP_v_no,NS Subsample Dist,0.018243451463790805
AP_v_no,NS Subsample Dist,0.16666838390603278
AP_v_no,NS Subsample Dist,0.24242424242424265
AP_v_no,NS Subsample Dist,0.2065173448095985
AP_v_no,NS Subsample Dist,0.14875387712902022
