Comparison,variable,value
0-5dyn_v_0-01dyn,NS_pval_dist,9.940431801291975e-08
0-5dyn_v_0-01dyn,NS_pval_dist,1.47983462939233e-11
0-5dyn_v_0-01dyn,NS_pval_dist,0.9483731875966892
0-5dyn_v_0-01dyn,NS_pval_dist,4.3301517691390815e-10
0-5dyn_v_0-01dyn,NS_pval_dist,6.533884966513985e-15
0-5dyn_v_0-01dyn,NS_pval_dist,0.00040499793546027515
0-5dyn_v_0-01dyn,NS_pval_dist,0.6769726149470348
0-5dyn_v_0-01dyn,NS_pval_dist,2.7368475617910366e-08
0-5dyn_v_0-01dyn,NS_pval_dist,0.0017848766434042723
0-5dyn_v_0-01dyn,NS_pval_dist,0.1141868322202522
0-5dyn_v_0-01dyn,NS_pval_dist,0.6967432156308929
0-5dyn_v_0-01dyn,NS_pval_dist,0.0038609149094592874
0-5dyn_v_0-01dyn,NS_pval_dist,4.811956609199245e-05
0-5dyn_v_0-01dyn,NS_pval_dist,0.000578464626101109
0-5dyn_v_0-01dyn,NS_pval_dist,0.1466755697387055
0-5dyn_v_0-01dyn,NS_pval_dist,0.09087008879349079
0-5dyn_v_0-01dyn,NS_pval_dist,0.25639435631157836
0-5dyn_v_0-01dyn,NS_pval_dist,5.369549284607737e-07
0-5dyn_v_0-01dyn,NS_pval_dist,0.1731379891339987
0-5dyn_v_0-01dyn,NS_pval_dist,0.03021299575262774
0-5dyn_v_0-01dyn,NS_pval_dist,0.0016698616570651156
0-5dyn_v_0-01dyn,NS_pval_dist,2.665589082596844e-26
0-5dyn_v_0-01dyn,NS_pval_dist,1.2676552405088329e-10
0-5dyn_v_0-01dyn,NS_pval_dist,8.346095147903185e-07
0-5dyn_v_0-01dyn,NS_pval_dist,1.70603677800602e-24
0-5dyn_v_0-01dyn,NS_pval_dist,0.532439867987911
0-5dyn_v_0-01dyn,NS_pval_dist,0.06796880950920442
0-5dyn_v_0-01dyn,NS_pval_dist,7.688358732580582e-10
0-5dyn_v_0-01dyn,NS_pval_dist,1.8156256522712923e-12
0-5dyn_v_0-01dyn,NS_pval_dist,2.2807412414629486e-21
0-5dyn_v_0-01dyn,NS_pval_dist,4.022173747759246e-11
0-5dyn_v_0-01dyn,NS_pval_dist,1.9528248705857325e-08
0-5dyn_v_0-01dyn,NS_pval_dist,6.753578546145334e-09
0-5dyn_v_0-01dyn,NS_pval_dist,1.1422168880734312e-14
0-5dyn_v_0-01dyn,NS_pval_dist,1.5075958226287675e-19
0-5dyn_v_0-01dyn,NS_pval_dist,3.876154820130671e-08
0-5dyn_v_0-01dyn,NS_pval_dist,5.511269655062795e-05
0-5dyn_v_0-01dyn,NS_pval_dist,2.1259213918356707e-12
0-5dyn_v_0-01dyn,NS_pval_dist,3.73612071650216e-05
0-5dyn_v_0-01dyn,NS_pval_dist,4.389596340326053e-08
0-5dyn_v_0-01dyn,NS_pval_dist,0.00020702521415506117
0-5dyn_v_0-01dyn,NS_pval_dist,0.8345186928160553
0-5dyn_v_0-01dyn,NS_pval_dist,4.2158932483429975e-18
0-5dyn_v_0-01dyn,NS_pval_dist,0.011402053442170518
0-5dyn_v_0-01dyn,NS_pval_dist,7.046368258962417e-07
0-5dyn_v_0-01dyn,NS_pval_dist,2.9862578129795536e-11
0-5dyn_v_0-01dyn,NS_pval_dist,0.001561700791375623
0-5dyn_v_0-01dyn,NS_pval_dist,7.208854356420679e-05
0-5dyn_v_0-01dyn,NS_pval_dist,1.3922116065379914e-21
0-5dyn_v_0-01dyn,NS_pval_dist,6.387777411483065e-10
2-4dyn_v_0-01dyn,NS_pval_dist,2.9752481197047727e-07
2-4dyn_v_0-01dyn,NS_pval_dist,6.828179491063724e-07
2-4dyn_v_0-01dyn,NS_pval_dist,7.135297323569385e-05
2-4dyn_v_0-01dyn,NS_pval_dist,0.20870888901113593
2-4dyn_v_0-01dyn,NS_pval_dist,0.7249519618516056
