Comparison,variable,value
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4475280669524391
0-5dyn_v_0-01dyn,NS Subsample Dist,0.399226750261233
0-5dyn_v_0-01dyn,NS Subsample Dist,0.33561331509347925
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5512644360470449
0-5dyn_v_0-01dyn,NS Subsample Dist,0.3810386473429954
0-5dyn_v_0-01dyn,NS Subsample Dist,0.49748388023936885
0-5dyn_v_0-01dyn,NS Subsample Dist,0.537093443165809
0-5dyn_v_0-01dyn,NS Subsample Dist,0.3902341155063356
0-5dyn_v_0-01dyn,NS Subsample Dist,0.6413696163696163
0-5dyn_v_0-01dyn,NS Subsample Dist,0.49640910674958594
0-5dyn_v_0-01dyn,NS Subsample Dist,0.37475730670433416
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5052726623641557
0-5dyn_v_0-01dyn,NS Subsample Dist,0.24369244317794592
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4200636855574438
0-5dyn_v_0-01dyn,NS Subsample Dist,0.3568698698477686
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5464981447124304
0-5dyn_v_0-01dyn,NS Subsample Dist,0.2668617614269788
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4380450528755615
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5556179849490124
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4354535695115407
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5406423657256596
0-5dyn_v_0-01dyn,NS Subsample Dist,0.3641034227922697
0-5dyn_v_0-01dyn,NS Subsample Dist,0.19051407625334882
0-5dyn_v_0-01dyn,NS Subsample Dist,0.6041113542975047
0-5dyn_v_0-01dyn,NS Subsample Dist,0.29374999999999996
0-5dyn_v_0-01dyn,NS Subsample Dist,0.3775180864852128
0-5dyn_v_0-01dyn,NS Subsample Dist,0.42425823949045505
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5054635132068759
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5967711692792319
0-5dyn_v_0-01dyn,NS Subsample Dist,0.38688822989805516
0-5dyn_v_0-01dyn,NS Subsample Dist,0.43676108649930656
0-5dyn_v_0-01dyn,NS Subsample Dist,0.6793339504030236
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4647513612537364
0-5dyn_v_0-01dyn,NS Subsample Dist,0.437738731856379
0-5dyn_v_0-01dyn,NS Subsample Dist,0.6560619192065096
0-5dyn_v_0-01dyn,NS Subsample Dist,0.594674185463659
0-5dyn_v_0-01dyn,NS Subsample Dist,0.28244292237442936
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4489827752248985
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5006057919621749
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4642857142857142
0-5dyn_v_0-01dyn,NS Subsample Dist,0.41053385267499154
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4031782168030045
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5750989300416882
0-5dyn_v_0-01dyn,NS Subsample Dist,0.663064165490038
0-5dyn_v_0-01dyn,NS Subsample Dist,0.585005588295062
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5011830566769526
0-5dyn_v_0-01dyn,NS Subsample Dist,0.3886827566771418
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5724113908371553
0-5dyn_v_0-01dyn,NS Subsample Dist,0.28397074319717364
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5552889545137607
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4643384604300995
0-5dyn_v_0-01dyn,NS Subsample Dist,0.3590742869762338
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4704068038768967
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4304829113048292
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4569292224924366
0-5dyn_v_0-01dyn,NS Subsample Dist,0.2846031746031745
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5163865363858007
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4649135174278882
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4418005914821199
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5009238070228093
0-5dyn_v_0-01dyn,NS Subsample Dist,0.44760829125697565
0-5dyn_v_0-01dyn,NS Subsample Dist,0.6379273930282447
0-5dyn_v_0-01dyn,NS Subsample Dist,0.48606035468466224
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5085443037974682
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5014681831697889
0-5dyn_v_0-01dyn,NS Subsample Dist,0.7038521456733016
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5728351315420102
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4271582380929022
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4630012331188995
0-5dyn_v_0-01dyn,NS Subsample Dist,0.432380616830943
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4051038258377708
0-5dyn_v_0-01dyn,NS Subsample Dist,0.3539622488617431
0-5dyn_v_0-01dyn,NS Subsample Dist,0.41585392439928337
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4827898991021269
0-5dyn_v_0-01dyn,NS Subsample Dist,0.6203581392700566
0-5dyn_v_0-01dyn,NS Subsample Dist,0.36188716432618895
0-5dyn_v_0-01dyn,NS Subsample Dist,0.2518057189626064
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5047619047619045
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5478156514861205
0-5dyn_v_0-01dyn,NS Subsample Dist,0.449324357782265
0-5dyn_v_0-01dyn,NS Subsample Dist,0.34625588215235625
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5341794194889884
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5980346928552291
0-5dyn_v_0-01dyn,NS Subsample Dist,0.39021069236615347
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4321326675131145
0-5dyn_v_0-01dyn,NS Subsample Dist,0.551201465201465
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4965768257880647
0-5dyn_v_0-01dyn,NS Subsample Dist,0.45004111842105265
0-5dyn_v_0-01dyn,NS Subsample Dist,0.3563473607167511
0-5dyn_v_0-01dyn,NS Subsample Dist,0.40541289311781115
0-5dyn_v_0-01dyn,NS Subsample Dist,0.6251877180313499
0-5dyn_v_0-01dyn,NS Subsample Dist,0.6330545425428922
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4871990564074098
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5284957178914811
0-5dyn_v_0-01dyn,NS Subsample Dist,0.390687830687831
0-5dyn_v_0-01dyn,NS Subsample Dist,0.4611835029370397
0-5dyn_v_0-01dyn,NS Subsample Dist,0.48458731589132986
0-5dyn_v_0-01dyn,NS Subsample Dist,0.474972956600753
0-5dyn_v_0-01dyn,NS Subsample Dist,0.5209574247475635
0-5dyn_v_0-01dyn,NS Subsample Dist,0.3950219375475259
2-4dyn_v_0-01dyn,NS Subsample Dist,0.410061881981832
2-4dyn_v_0-01dyn,NS Subsample Dist,0.367568940493469
2-4dyn_v_0-01dyn,NS Subsample Dist,0.39655739640160936
2-4dyn_v_0-01dyn,NS Subsample Dist,0.36779303152730525
2-4dyn_v_0-01dyn,NS Subsample Dist,0.4326893306684947
2-4dyn_v_0-01dyn,NS Subsample Dist,0.3650429988883517
2-4dyn_v_0-01dyn,NS Subsample Dist,0.2993135842382073
2-4dyn_v_0-01dyn,NS Subsample Dist,0.4321123610734616
2-4dyn_v_0-01dyn,NS Subsample Dist,0.39749782702087044
