Comparison,variable,value
2-4dyn_v_0dyn,NS_pval_dist,7.196986420120103e-18
2-4dyn_v_0dyn,NS_pval_dist,1.2926465418225922e-24
2-4dyn_v_0dyn,NS_pval_dist,5.118721613412387e-20
2-4dyn_v_0dyn,NS_pval_dist,7.744195804560566e-05
2-4dyn_v_0dyn,NS_pval_dist,3.018085853783101e-08
2-4dyn_v_0dyn,NS_pval_dist,4.891768478829305e-12
2-4dyn_v_0dyn,NS_pval_dist,0.3576062487570386
2-4dyn_v_0dyn,NS_pval_dist,0.24530395027559682
2-4dyn_v_0dyn,NS_pval_dist,0.04877043221604436
2-4dyn_v_0dyn,NS_pval_dist,3.469000691924374e-08
2-4dyn_v_0dyn,NS_pval_dist,1.2848417171754502e-05
2-4dyn_v_0dyn,NS_pval_dist,3.4302356877329464e-07
2-4dyn_v_0dyn,NS_pval_dist,1.2881398733944748e-06
2-4dyn_v_0dyn,NS_pval_dist,1.1833742000653724e-07
2-4dyn_v_0dyn,NS_pval_dist,0.031060973559986476
2-4dyn_v_0dyn,NS_pval_dist,1.7686216690659865e-08
2-4dyn_v_0dyn,NS_pval_dist,8.237751214112738e-15
2-4dyn_v_0dyn,NS_pval_dist,0.39312470597706406
2-4dyn_v_0dyn,NS_pval_dist,4.1569802350357377e-11
2-4dyn_v_0dyn,NS_pval_dist,0.17468510480532917
2-4dyn_v_0dyn,NS_pval_dist,1.6501998023242381e-07
2-4dyn_v_0dyn,NS_pval_dist,0.5024051321430372
2-4dyn_v_0dyn,NS_pval_dist,6.918862837836027e-05
2-4dyn_v_0dyn,NS_pval_dist,9.393081518614658e-05
2-4dyn_v_0dyn,NS_pval_dist,3.822833176198695e-08
2-4dyn_v_0dyn,NS_pval_dist,4.891768478829305e-12
2-4dyn_v_0dyn,NS_pval_dist,1.2929981473788066e-08
2-4dyn_v_0dyn,NS_pval_dist,1.0377073928353846e-11
2-4dyn_v_0dyn,NS_pval_dist,0.04318623903955127
2-4dyn_v_0dyn,NS_pval_dist,0.7185481306674215
2-4dyn_v_0dyn,NS_pval_dist,8.674166023422607e-11
2-4dyn_v_0dyn,NS_pval_dist,0.0006619739681094918
2-4dyn_v_0dyn,NS_pval_dist,0.35505814399502555
2-4dyn_v_0dyn,NS_pval_dist,0.009631925706165195
2-4dyn_v_0dyn,NS_pval_dist,1.4210601408463806e-06
2-4dyn_v_0dyn,NS_pval_dist,1.88904132895816e-09
2-4dyn_v_0dyn,NS_pval_dist,2.5418308012827766e-06
2-4dyn_v_0dyn,NS_pval_dist,0.00024142207529935983
2-4dyn_v_0dyn,NS_pval_dist,0.002321514916618761
2-4dyn_v_0dyn,NS_pval_dist,2.0171238603818736e-12
2-4dyn_v_0dyn,NS_pval_dist,1.4407996852858025e-25
2-4dyn_v_0dyn,NS_pval_dist,0.0008866285566477648
2-4dyn_v_0dyn,NS_pval_dist,4.0676226221228823e-10
2-4dyn_v_0dyn,NS_pval_dist,0.00017216152271495766
2-4dyn_v_0dyn,NS_pval_dist,2.5041239308331198e-23
2-4dyn_v_0dyn,NS_pval_dist,0.3810545434306082
2-4dyn_v_0dyn,NS_pval_dist,9.784124954686405e-14
2-4dyn_v_0dyn,NS_pval_dist,1.8584076873480421e-07
2-4dyn_v_0dyn,NS_pval_dist,0.006184843450521329
2-4dyn_v_0dyn,NS_pval_dist,0.0014355769096231511
0-5dyn_v_0dyn,NS_pval_dist,0.011723631730831028
0-5dyn_v_0dyn,NS_pval_dist,0.29397771417655005
0-5dyn_v_0dyn,NS_pval_dist,0.0014234951668161595
0-5dyn_v_0dyn,NS_pval_dist,3.2260367672905808e-06
0-5dyn_v_0dyn,NS_pval_dist,0.053421383333118494
0-5dyn_v_0dyn,NS_pval_dist,2.4026596261997475e-12
0-5dyn_v_0dyn,NS_pval_dist,0.1560777362816081
0-5dyn_v_0dyn,NS_pval_dist,5.668301266814424e-09
0-5dyn_v_0dyn,NS_pval_dist,3.160812455948336e-16
0-5dyn_v_0dyn,NS_pval_dist,0.08430168229068827
0-5dyn_v_0dyn,NS_pval_dist,2.531806532401779e-12
0-5dyn_v_0dyn,NS_pval_dist,0.03769994261714362
0-5dyn_v_0dyn,NS_pval_dist,0.5055239403459502
0-5dyn_v_0dyn,NS_pval_dist,0.6805512413022521
0-5dyn_v_0dyn,NS_pval_dist,0.0008120206898513489
0-5dyn_v_0dyn,NS_pval_dist,6.928944097562377e-24
0-5dyn_v_0dyn,NS_pval_dist,0.007115434934977243
0-5dyn_v_0dyn,NS_pval_dist,0.19322265947189077
0-5dyn_v_0dyn,NS_pval_dist,0.6294015779777652
0-5dyn_v_0dyn,NS_pval_dist,0.0005732676380355159
0-5dyn_v_0dyn,NS_pval_dist,0.1982880639673713
0-5dyn_v_0dyn,NS_pval_dist,3.3443704146164047e-12
0-5dyn_v_0dyn,NS_pval_dist,0.20694505845254318
0-5dyn_v_0dyn,NS_pval_dist,3.4345523859043e-19
0-5dyn_v_0dyn,NS_pval_dist,0.003543407391349829
0-5dyn_v_0dyn,NS_pval_dist,0.003831017476713705
0-5dyn_v_0dyn,NS_pval_dist,0.07467552065079264
0-5dyn_v_0dyn,NS_pval_dist,0.23551754368598743
0-5dyn_v_0dyn,NS_pval_dist,4.42485374023324e-24
0-5dyn_v_0dyn,NS_pval_dist,7.905156467939652e-06
0-5dyn_v_0dyn,NS_pval_dist,0.001770111863505041
0-5dyn_v_0dyn,NS_pval_dist,7.507976765350218e-16
0-5dyn_v_0dyn,NS_pval_dist,0.00884231711363468
0-5dyn_v_0dyn,NS_pval_dist,1.612163318851293e-19
0-5dyn_v_0dyn,NS_pval_dist,0.3462303146221841
0-5dyn_v_0dyn,NS_pval_dist,0.09490822426082188
0-5dyn_v_0dyn,NS_pval_dist,1.8316509565893735e-05
0-5dyn_v_0dyn,NS_pval_dist,0.00031188823874464864
