Comparison,variable,value
2-4dyn_v_0dyn,NS Subsample Dist,0.1382086593076841
2-4dyn_v_0dyn,NS Subsample Dist,-0.049483976173148925
2-4dyn_v_0dyn,NS Subsample Dist,-0.005847739702288912
2-4dyn_v_0dyn,NS Subsample Dist,0.08092413842580082
2-4dyn_v_0dyn,NS Subsample Dist,0.2843987908643082
2-4dyn_v_0dyn,NS Subsample Dist,-0.012016418147950292
2-4dyn_v_0dyn,NS Subsample Dist,0.09409023510704406
2-4dyn_v_0dyn,NS Subsample Dist,-0.033373403552098946
2-4dyn_v_0dyn,NS Subsample Dist,0.04343068802999128
2-4dyn_v_0dyn,NS Subsample Dist,0.19592592592592584
2-4dyn_v_0dyn,NS Subsample Dist,0.22474224548571375
2-4dyn_v_0dyn,NS Subsample Dist,0.07336855962981281
2-4dyn_v_0dyn,NS Subsample Dist,0.10306459948320401
2-4dyn_v_0dyn,NS Subsample Dist,0.17716599714270043
2-4dyn_v_0dyn,NS Subsample Dist,0.1704452816205535
2-4dyn_v_0dyn,NS Subsample Dist,0.021884813934025527
2-4dyn_v_0dyn,NS Subsample Dist,0.21805887437083715
2-4dyn_v_0dyn,NS Subsample Dist,0.21807516528878734
2-4dyn_v_0dyn,NS Subsample Dist,0.19613473667943593
2-4dyn_v_0dyn,NS Subsample Dist,0.24071428571428588
2-4dyn_v_0dyn,NS Subsample Dist,0.40168316313171015
2-4dyn_v_0dyn,NS Subsample Dist,0.38520933977455707
2-4dyn_v_0dyn,NS Subsample Dist,0.14783810103888162
2-4dyn_v_0dyn,NS Subsample Dist,0.10181159420289831
2-4dyn_v_0dyn,NS Subsample Dist,0.1424776486841286
2-4dyn_v_0dyn,NS Subsample Dist,0.25728367928367923
2-4dyn_v_0dyn,NS Subsample Dist,0.5221517057604919
2-4dyn_v_0dyn,NS Subsample Dist,0.058837772397094534
2-4dyn_v_0dyn,NS Subsample Dist,0.21192642881217183
2-4dyn_v_0dyn,NS Subsample Dist,0.0782139429198252
2-4dyn_v_0dyn,NS Subsample Dist,0.004169952778643404
2-4dyn_v_0dyn,NS Subsample Dist,0.1706045400501599
2-4dyn_v_0dyn,NS Subsample Dist,0.1121385249292226
