Comparison,variable,value
Naive_v_Prime,NS Subsample Dist,0.24066433566433565
Naive_v_Prime,NS Subsample Dist,0.29005987861055016
Naive_v_Prime,NS Subsample Dist,0.26872397256836345
Naive_v_Prime,NS Subsample Dist,0.2862030265582354
Naive_v_Prime,NS Subsample Dist,0.21045653137286102
Naive_v_Prime,NS Subsample Dist,0.20696509875695357
Naive_v_Prime,NS Subsample Dist,0.21567501685600332
Naive_v_Prime,NS Subsample Dist,0.25986405682627645
Naive_v_Prime,NS Subsample Dist,0.2980678722719754
Naive_v_Prime,NS Subsample Dist,0.31670008894638957
Naive_v_Prime,NS Subsample Dist,0.3462060545393879
Naive_v_Prime,NS Subsample Dist,0.3016251251026447
Naive_v_Prime,NS Subsample Dist,0.33476865683520196
Naive_v_Prime,NS Subsample Dist,0.3632317087977466
Naive_v_Prime,NS Subsample Dist,0.42008549296780173
Naive_v_Prime,NS Subsample Dist,0.37818778790551777
Naive_v_Prime,NS Subsample Dist,0.16772519944029485
Naive_v_Prime,NS Subsample Dist,0.2784531195112354
Naive_v_Prime,NS Subsample Dist,0.3500821193075432
Naive_v_Prime,NS Subsample Dist,0.28108388786996996
Naive_v_Prime,NS Subsample Dist,0.3055449044533478
Naive_v_Prime,NS Subsample Dist,0.4154957160342718
Naive_v_Prime,NS Subsample Dist,0.24672393326036457
Naive_v_Prime,NS Subsample Dist,0.2566721939831149
Naive_v_Prime,NS Subsample Dist,0.279530280181834
Naive_v_Prime,NS Subsample Dist,0.2558298131376413
Naive_v_Prime,NS Subsample Dist,0.3824624698494692
Naive_v_Prime,NS Subsample Dist,0.19849493880632796
Naive_v_Prime,NS Subsample Dist,0.19828184047501196
Naive_v_Prime,NS Subsample Dist,0.23945659856580348
Naive_v_Prime,NS Subsample Dist,0.36912589042612454
Naive_v_Prime,NS Subsample Dist,0.2479647773982292
Naive_v_Prime,NS Subsample Dist,0.27618722486876623
Naive_v_Prime,NS Subsample Dist,0.22404803901224346
Naive_v_Prime,NS Subsample Dist,0.3029260582863118
Naive_v_Prime,NS Subsample Dist,0.35374489747764315
Naive_v_Prime,NS Subsample Dist,0.3129803140572822
Naive_v_Prime,NS Subsample Dist,0.24492385450302878
Naive_v_Prime,NS Subsample Dist,0.2766293951394063
Naive_v_Prime,NS Subsample Dist,0.3620375656719921
Naive_v_Prime,NS Subsample Dist,0.31375325800404785
Naive_v_Prime,NS Subsample Dist,0.12549974039460032
Naive_v_Prime,NS Subsample Dist,0.29237218808384724
Naive_v_Prime,NS Subsample Dist,0.37942782665363306
Naive_v_Prime,NS Subsample Dist,0.28833972221302795
Naive_v_Prime,NS Subsample Dist,0.27721976000405046
Naive_v_Prime,NS Subsample Dist,0.3771341882102517
Naive_v_Prime,NS Subsample Dist,0.2244093509402756
Naive_v_Prime,NS Subsample Dist,0.2799242424242423
Naive_v_Prime,NS Subsample Dist,0.27166741166066877
Naive_v_Prime,NS Subsample Dist,0.31864131649802196
Naive_v_Prime,NS Subsample Dist,0.29057521998698466
Naive_v_Prime,NS Subsample Dist,0.1698151825119747
Naive_v_Prime,NS Subsample Dist,0.2642920319456774
Naive_v_Prime,NS Subsample Dist,0.3222670962420733
Naive_v_Prime,NS Subsample Dist,0.31618114749832205
Naive_v_Prime,NS Subsample Dist,0.18624768892750887
Naive_v_Prime,NS Subsample Dist,0.23425610918761608
Naive_v_Prime,NS Subsample Dist,0.27753412883440576
Naive_v_Prime,NS Subsample Dist,0.3197301318725576
Naive_v_Prime,NS Subsample Dist,0.30953544011026035
Naive_v_Prime,NS Subsample Dist,0.21860118063593914
Naive_v_Prime,NS Subsample Dist,0.384848257193688
Naive_v_Prime,NS Subsample Dist,0.22388790139353465
Naive_v_Prime,NS Subsample Dist,0.2857676419658026
Naive_v_Prime,NS Subsample Dist,0.24822899468092396
Naive_v_Prime,NS Subsample Dist,0.24529895705310412
Naive_v_Prime,NS Subsample Dist,0.25658007119080706
Naive_v_Prime,NS Subsample Dist,0.22489234393605084
Naive_v_Prime,NS Subsample Dist,0.27732126586216843
Naive_v_Prime,NS Subsample Dist,0.2683863637904613
Naive_v_Prime,NS Subsample Dist,0.20076142906331595
Naive_v_Prime,NS Subsample Dist,0.2953936148331813
Naive_v_Prime,NS Subsample Dist,0.3103701842370685
Naive_v_Prime,NS Subsample Dist,0.25005217338222785
Naive_v_Prime,NS Subsample Dist,0.3067665059742004
Naive_v_Prime,NS Subsample Dist,0.2995615672864014
Naive_v_Prime,NS Subsample Dist,0.23827416266440649
Naive_v_Prime,NS Subsample Dist,0.16876836278475627
Naive_v_Prime,NS Subsample Dist,0.29639838822369624
Naive_v_Prime,NS Subsample Dist,0.1994270292687863
Naive_v_Prime,NS Subsample Dist,0.31372399046767363
Naive_v_Prime,NS Subsample Dist,0.2435337369785726
Naive_v_Prime,NS Subsample Dist,0.27804946908870565
Naive_v_Prime,NS Subsample Dist,0.2483932956225805
Naive_v_Prime,NS Subsample Dist,0.28747994326742066
Naive_v_Prime,NS Subsample Dist,0.30240946501761723
Naive_v_Prime,NS Subsample Dist,0.3329797560929637
Naive_v_Prime,NS Subsample Dist,0.32456571263147294
Naive_v_Prime,NS Subsample Dist,0.34242028924665746
Naive_v_Prime,NS Subsample Dist,0.169732961223785
Naive_v_Prime,NS Subsample Dist,0.20805028305028306
Naive_v_Prime,NS Subsample Dist,0.2585774484012957
Naive_v_Prime,NS Subsample Dist,0.28112244147246623
Naive_v_Prime,NS Subsample Dist,0.34693989757826293
Naive_v_Prime,NS Subsample Dist,0.23795653720076215
Naive_v_Prime,NS Subsample Dist,0.29338327642451656
Naive_v_Prime,NS Subsample Dist,0.3001504405759725
Naive_v_Prime,NS Subsample Dist,0.3548021285032348
Naive_v_Prime,NS Subsample Dist,0.3489149038471051
Prime_v_CK666,NS Subsample Dist,0.19433599759303943
Prime_v_CK666,NS Subsample Dist,0.2962536188684812
Prime_v_CK666,NS Subsample Dist,0.28109999868491986
Prime_v_CK666,NS Subsample Dist,0.257541878396228
Prime_v_CK666,NS Subsample Dist,0.3074888351055445
Prime_v_CK666,NS Subsample Dist,0.24952950906257376
Prime_v_CK666,NS Subsample Dist,0.2091784396372074
Prime_v_CK666,NS Subsample Dist,0.2437265235802213
Prime_v_CK666,NS Subsample Dist,0.24282393091916887
Prime_v_CK666,NS Subsample Dist,0.26045320246882375
Prime_v_CK666,NS Subsample Dist,0.18282098952915593
Prime_v_CK666,NS Subsample Dist,0.280695397047136
Prime_v_CK666,NS Subsample Dist,0.2809796717186237
Prime_v_CK666,NS Subsample Dist,0.3917132888560433
Prime_v_CK666,NS Subsample Dist,0.2941843301265037
Prime_v_CK666,NS Subsample Dist,0.3095923667570011
Prime_v_CK666,NS Subsample Dist,0.28803797915562623
Prime_v_CK666,NS Subsample Dist,0.28307717057717063
Prime_v_CK666,NS Subsample Dist,0.27497953303372547
Prime_v_CK666,NS Subsample Dist,0.20372130594035442
Prime_v_CK666,NS Subsample Dist,0.24415041172864482
Prime_v_CK666,NS Subsample Dist,0.26672315061252716
Prime_v_CK666,NS Subsample Dist,0.22572107092703408
Prime_v_CK666,NS Subsample Dist,0.2853041561817635
Prime_v_CK666,NS Subsample Dist,0.27761818849621567
Prime_v_CK666,NS Subsample Dist,0.23808420883955073
Prime_v_CK666,NS Subsample Dist,0.2362377061643235
Prime_v_CK666,NS Subsample Dist,0.17540495681773427
Prime_v_CK666,NS Subsample Dist,0.22751810001720774
Prime_v_CK666,NS Subsample Dist,0.24096453285787378
Prime_v_CK666,NS Subsample Dist,0.3270557441994033
Prime_v_CK666,NS Subsample Dist,0.242751867863634
Prime_v_CK666,NS Subsample Dist,0.19959227160038528
Prime_v_CK666,NS Subsample Dist,0.28463083495834574
Prime_v_CK666,NS Subsample Dist,0.2740456045216111
Prime_v_CK666,NS Subsample Dist,0.20270991255217496
Prime_v_CK666,NS Subsample Dist,0.30215065462590207
Prime_v_CK666,NS Subsample Dist,0.22168553068450736
Prime_v_CK666,NS Subsample Dist,0.3382847111450902
Prime_v_CK666,NS Subsample Dist,0.26218069481427864
Prime_v_CK666,NS Subsample Dist,0.36272600581890835
