Comparison,variable,value
Naive_v_CK666,NS_pval_dist,0.0009675404115489522
Naive_v_CK666,NS_pval_dist,0.534045455886413
Naive_v_CK666,NS_pval_dist,1.26510345841388e-07
Naive_v_CK666,NS_pval_dist,0.0003884601349725682
Naive_v_CK666,NS_pval_dist,0.9318490746981056
Naive_v_CK666,NS_pval_dist,3.342780527669459e-06
Naive_v_CK666,NS_pval_dist,0.958104080730776
Naive_v_CK666,NS_pval_dist,6.563502650488143e-20
Naive_v_CK666,NS_pval_dist,0.5008495525479996
Naive_v_CK666,NS_pval_dist,1.7238920906852344e-19
Naive_v_CK666,NS_pval_dist,0.7498309715295792
Naive_v_CK666,NS_pval_dist,1.1912998098983932e-07
Naive_v_CK666,NS_pval_dist,0.00013266304499914537
Naive_v_CK666,NS_pval_dist,3.429776364519515e-17
Naive_v_CK666,NS_pval_dist,0.13738939381145066
Naive_v_CK666,NS_pval_dist,0.02505274557137032
Naive_v_CK666,NS_pval_dist,0.019433863017563974
Naive_v_CK666,NS_pval_dist,0.04243433666492098
Naive_v_CK666,NS_pval_dist,0.9240827361068068
Naive_v_CK666,NS_pval_dist,0.00013939034029368739
Naive_v_CK666,NS_pval_dist,8.610719852232056e-07
Naive_v_CK666,NS_pval_dist,1.9068050767695417e-17
Naive_v_CK666,NS_pval_dist,0.3978800062551059
Naive_v_CK666,NS_pval_dist,0.19155516261260352
Naive_v_CK666,NS_pval_dist,0.9678412524003169
Naive_v_CK666,NS_pval_dist,9.610643852698172e-08
Naive_v_CK666,NS_pval_dist,0.2569064394329621
Naive_v_CK666,NS_pval_dist,2.6612028673793987e-19
Naive_v_CK666,NS_pval_dist,0.6805510149434488
Naive_v_CK666,NS_pval_dist,0.00034256160255892036
Naive_v_CK666,NS_pval_dist,0.11559285903029118
Naive_v_CK666,NS_pval_dist,0.0002172457727405116
Naive_v_CK666,NS_pval_dist,0.05252171084931659
Naive_v_CK666,NS_pval_dist,0.545352596843942
Naive_v_CK666,NS_pval_dist,1.4428871290756617e-11
Naive_v_CK666,NS_pval_dist,0.011642460487813958
Naive_v_CK666,NS_pval_dist,3.5198797183809407e-07
Naive_v_CK666,NS_pval_dist,6.968866880386843e-18
Naive_v_CK666,NS_pval_dist,0.89792900266191
Naive_v_CK666,NS_pval_dist,0.11989439052971619
Naive_v_CK666,NS_pval_dist,0.001302170496188377
