Comparison,variable,value
DHEP_v_THEP,NS_pval_dist,0.0004241411564598032
DHEP_v_THEP,NS_pval_dist,8.882024370997482e-24
DHEP_v_THEP,NS_pval_dist,0.08562819647540354
DHEP_v_THEP,NS_pval_dist,0.015828483039778407
DHEP_v_THEP,NS_pval_dist,0.0001049385631068
DHEP_v_THEP,NS_pval_dist,0.00846962841867384
DHEP_v_THEP,NS_pval_dist,2.3070288998665625e-10
DHEP_v_THEP,NS_pval_dist,1.5859510855512373e-07
DHEP_v_THEP,NS_pval_dist,0.00014008305060725802
DHEP_v_THEP,NS_pval_dist,0.22601071159633268
DHEP_v_THEP,NS_pval_dist,0.31350347224841457
DHEP_v_THEP,NS_pval_dist,8.664883518757973e-07
DHEP_v_THEP,NS_pval_dist,0.11196459346841711
DHEP_v_THEP,NS_pval_dist,9.681959104609738e-05
DHEP_v_THEP,NS_pval_dist,2.3610638823053727e-12
DHEP_v_THEP,NS_pval_dist,0.36402671795936914
DHEP_v_THEP,NS_pval_dist,7.688261318034911e-14
DHEP_v_THEP,NS_pval_dist,0.6949371035921466
DHEP_v_THEP,NS_pval_dist,7.07070948907163e-16
DHEP_v_THEP,NS_pval_dist,0.31350347224841457
DHEP_v_THEP,NS_pval_dist,1.389735115364916e-17
DHEP_v_THEP,NS_pval_dist,0.029934874575023678
DHEP_v_THEP,NS_pval_dist,3.469000691924374e-08
DHEP_v_THEP,NS_pval_dist,0.021700831178017597
DHEP_v_THEP,NS_pval_dist,1.007499224686158e-07
DHEP_v_THEP,NS_pval_dist,6.79156538316201e-15
DHEP_v_THEP,NS_pval_dist,0.028665614575666645
DHEP_v_THEP,NS_pval_dist,8.178152704956452e-18
DHEP_v_THEP,NS_pval_dist,0.14701633090062008
DHEP_v_THEP,NS_pval_dist,0.004505140611405914
DHEP_v_THEP,NS_pval_dist,2.405822861281891e-13
DHEP_v_THEP,NS_pval_dist,2.125427737947604e-08
DHEP_v_THEP,NS_pval_dist,3.468179317983564e-05
DHEP_v_THEP,NS_pval_dist,0.013272422666890302
DHEP_v_THEP,NS_pval_dist,5.942848677564043e-07
DHEP_v_THEP,NS_pval_dist,0.00011715578806680776
DHEP_v_THEP,NS_pval_dist,2.3371014602321813e-06
DHEP_v_THEP,NS_pval_dist,6.329408627513587e-12
DHEP_v_THEP,NS_pval_dist,0.004236587855981848
DHEP_v_THEP,NS_pval_dist,4.667750414051864e-07
DHEP_v_THEP,NS_pval_dist,1.4679603272572638e-13
DHEP_v_THEP,NS_pval_dist,7.131448631583938e-06
DHEP_v_THEP,NS_pval_dist,3.474432083955039e-18
DHEP_v_THEP,NS_pval_dist,6.753578546145334e-09
DHEP_v_THEP,NS_pval_dist,8.79957156109252e-20
DHEP_v_THEP,NS_pval_dist,0.00041638465346144685
DHEP_v_THEP,NS_pval_dist,0.5117920077253074
DHEP_v_THEP,NS_pval_dist,6.504490727316553e-05
DHEP_v_THEP,NS_pval_dist,0.033422573730036965
DHEP_v_THEP,NS_pval_dist,8.369023511348148e-06
DHEPsC_v_THEP,NS_pval_dist,0.4915699365396703
DHEPsC_v_THEP,NS_pval_dist,0.0022289305686276563
DHEPsC_v_THEP,NS_pval_dist,0.7646996047810372
DHEPsC_v_THEP,NS_pval_dist,4.756614417390974e-06
DHEPsC_v_THEP,NS_pval_dist,7.971863252312627e-16
DHEPsC_v_THEP,NS_pval_dist,0.1240209135223654
DHEPsC_v_THEP,NS_pval_dist,4.664530202943119e-11
DHEPsC_v_THEP,NS_pval_dist,3.3607503593385204e-23
DHEPsC_v_THEP,NS_pval_dist,0.21137502192082291
DHEPsC_v_THEP,NS_pval_dist,1.716306186111025e-17
DHEPsC_v_THEP,NS_pval_dist,4.439987451690113e-11
DHEPsC_v_THEP,NS_pval_dist,0.4292730068341283
DHEPsC_v_THEP,NS_pval_dist,2.0215981648683756e-05
DHEPsC_v_THEP,NS_pval_dist,0.0002605662243684299
DHEPsC_v_THEP,NS_pval_dist,0.061426322533283235
DHEPsC_v_THEP,NS_pval_dist,3.213715701788185e-19
DHEPsC_v_THEP,NS_pval_dist,0.8979290407300029
DHEPsC_v_THEP,NS_pval_dist,0.0434393357201973
DHEPsC_v_THEP,NS_pval_dist,0.20085688525574963
DHEPsC_v_THEP,NS_pval_dist,0.0010017914520778126
DHEPsC_v_THEP,NS_pval_dist,1.9588940656834238e-07
DHEPsC_v_THEP,NS_pval_dist,0.6967432156308929
DHEPsC_v_THEP,NS_pval_dist,1.4610158720183594e-09
DHEPsC_v_THEP,NS_pval_dist,2.453770739096413e-17
DHEPsC_v_THEP,NS_pval_dist,0.0047890252623393
DHEPsC_v_THEP,NS_pval_dist,0.0033276194585759
DHEPsC_v_THEP,NS_pval_dist,8.570476494201473e-08
DHEPsC_v_THEP,NS_pval_dist,3.939461248984008e-05
DHEPsC_v_THEP,NS_pval_dist,0.018562361278314933
DHEPsC_v_THEP,NS_pval_dist,0.009098847928603056
DHEPsC_v_THEP,NS_pval_dist,4.2846222793527454e-19
DHEPsC_v_THEP,NS_pval_dist,0.18907462771408678
DHEPsC_v_THEP,NS_pval_dist,2.0700650981795268e-11
DHEPsC_v_THEP,NS_pval_dist,1.3606664568693508e-17
DHEPsC_v_THEP,NS_pval_dist,0.29173538021435064
