Comparison,variable,value
DHEP_v_THEP,Network Separation,-0.07252475247524748
DHEPsC_v_THEP,Network Separation,-0.06044250139938434
DHEPsD_v_THEP,Network Separation,-0.016381914506955253
DHEP_v_THEP,NS Cohen,-4.261337287771082
DHEPsC_v_THEP,NS Cohen,-4.2359507672521355
DHEPsD_v_THEP,NS Cohen,-4.4587746445506244
DHEP_v_THEP,IQR Cohen,0.426276197033109
DHEPsC_v_THEP,IQR Cohen,0.33584415984327637
DHEPsD_v_THEP,IQR Cohen,-0.026648616444835443
DHEP_v_THEP,NS Statistic,9978.0
DHEPsC_v_THEP,NS Statistic,9999.0
DHEPsD_v_THEP,NS Statistic,9989.0
DHEP_v_THEP,NS p,4.955028575147726e-34
DHEPsC_v_THEP,NS p,2.640284031487027e-34
DHEPsD_v_THEP,NS p,3.564352686139979e-34
DHEP_v_THEP,IQR Statistic,3057.0
DHEPsC_v_THEP,IQR Statistic,2799.0
DHEPsD_v_THEP,IQR Statistic,3188.0
DHEP_v_THEP,IQR p,2.071888663023598e-06
DHEPsC_v_THEP,IQR p,7.587300469544136e-08
DHEPsD_v_THEP,IQR p,9.59080662481525e-06
DHEP_v_THEP,IQR p_log,5.683633585960411
DHEPsC_v_THEP,IQR p_log,7.119912716821512
DHEPsD_v_THEP,IQR p_log,5.0181448654075975
DHEP_v_THEP,NS p_log,33.304953836639214
DHEPsC_v_THEP,NS p_log,33.5783493509058
DHEPsD_v_THEP,NS p_log,33.4480193298691
DHEP_v_THEP,NS_FPR,0.0
DHEPsC_v_THEP,NS_FPR,0.0
DHEPsD_v_THEP,NS_FPR,0.0
DHEP_v_THEP,IQR_FPR,0.18
DHEPsC_v_THEP,IQR_FPR,0.12
DHEPsD_v_THEP,IQR_FPR,0.14
