Comparison,variable,value
DHEP_v_THEP,NS Subsample Dist,0.04547490801155529
DHEP_v_THEP,NS Subsample Dist,-0.01830110191051859
DHEP_v_THEP,NS Subsample Dist,-0.02885739433424961
DHEP_v_THEP,NS Subsample Dist,0.05941933596606708
DHEP_v_THEP,NS Subsample Dist,-0.0008136806024254817
DHEP_v_THEP,NS Subsample Dist,-0.10218341283824062
DHEP_v_THEP,NS Subsample Dist,0.1430085063251938
DHEP_v_THEP,NS Subsample Dist,0.12458255684789177
DHEP_v_THEP,NS Subsample Dist,-0.05697423908548971
DHEP_v_THEP,NS Subsample Dist,0.06037729164928418
DHEP_v_THEP,NS Subsample Dist,-0.08142122955771836
DHEP_v_THEP,NS Subsample Dist,0.02049258598556447
DHEP_v_THEP,NS Subsample Dist,-0.08077545239685402
DHEP_v_THEP,NS Subsample Dist,0.033356825762783204
DHEP_v_THEP,NS Subsample Dist,0.0052834891576341025
DHEP_v_THEP,NS Subsample Dist,0.07538458253256453
DHEP_v_THEP,NS Subsample Dist,-0.11631945085487194
DHEP_v_THEP,NS Subsample Dist,-0.050167969285616065
DHEP_v_THEP,NS Subsample Dist,0.039334244609025903
DHEP_v_THEP,NS Subsample Dist,0.013452005055469618
DHEP_v_THEP,NS Subsample Dist,-0.010013086471106991
DHEP_v_THEP,NS Subsample Dist,0.1756718592156996
DHEP_v_THEP,NS Subsample Dist,0.08529090491522529
DHEP_v_THEP,NS Subsample Dist,0.04226063585046358
DHEP_v_THEP,NS Subsample Dist,-0.14943515460696388
DHEP_v_THEP,NS Subsample Dist,-0.10299949052413804
DHEP_v_THEP,NS Subsample Dist,-0.03757483190276378
DHEP_v_THEP,NS Subsample Dist,-0.03808429647802547
DHEP_v_THEP,NS Subsample Dist,-0.10660390781616114
DHEP_v_THEP,NS Subsample Dist,-0.05146473904360338
DHEP_v_THEP,NS Subsample Dist,-0.059484919874208675
DHEP_v_THEP,NS Subsample Dist,-0.02250325204128467
DHEP_v_THEP,NS Subsample Dist,0.05615218729516758
DHEP_v_THEP,NS Subsample Dist,-0.06902974640265747
DHEP_v_THEP,NS Subsample Dist,0.10808481641814982
DHEP_v_THEP,NS Subsample Dist,0.040333862673926024
DHEP_v_THEP,NS Subsample Dist,-0.05643481687030549
DHEP_v_THEP,NS Subsample Dist,0.05764009058119024
DHEP_v_THEP,NS Subsample Dist,-0.07760539690302015
DHEP_v_THEP,NS Subsample Dist,0.08344183954950912
DHEP_v_THEP,NS Subsample Dist,-0.0978308855669201
DHEP_v_THEP,NS Subsample Dist,0.013060669040716455
DHEP_v_THEP,NS Subsample Dist,0.041101487340362786
DHEP_v_THEP,NS Subsample Dist,0.03920013896165098
DHEP_v_THEP,NS Subsample Dist,-0.06852076238517535
DHEP_v_THEP,NS Subsample Dist,0.01604014163221823
DHEP_v_THEP,NS Subsample Dist,0.061901533840309275
DHEP_v_THEP,NS Subsample Dist,-0.08052163715467398
DHEP_v_THEP,NS Subsample Dist,-0.07971651536868918
DHEP_v_THEP,NS Subsample Dist,-0.015723381465524877
DHEP_v_THEP,NS Subsample Dist,-0.023939264309964292
DHEP_v_THEP,NS Subsample Dist,0.02071759998643219
DHEP_v_THEP,NS Subsample Dist,-0.018523423293404617
DHEP_v_THEP,NS Subsample Dist,0.02685469807070473
DHEP_v_THEP,NS Subsample Dist,0.08437280063393637
DHEP_v_THEP,NS Subsample Dist,-0.03340643274853794
DHEP_v_THEP,NS Subsample Dist,-0.00011372292421918395
