Comparison,variable,value
DHEPsD_v_DHEPsC,NS_pval_dist,0.00011144231573442741
DHEPsD_v_DHEPsC,NS_pval_dist,0.11531089711001273
DHEPsD_v_DHEPsC,NS_pval_dist,0.005225486977040143
DHEPsD_v_DHEPsC,NS_pval_dist,0.11032014410953712
DHEPsD_v_DHEPsC,NS_pval_dist,2.1491360515885035e-16
DHEPsD_v_DHEPsC,NS_pval_dist,0.019307252750720795
DHEPsD_v_DHEPsC,NS_pval_dist,4.7277072370261827e-07
DHEPsD_v_DHEPsC,NS_pval_dist,8.398417266413162e-07
DHEPsD_v_DHEPsC,NS_pval_dist,3.113156276283988e-06
DHEPsD_v_DHEPsC,NS_pval_dist,2.3804995367672052e-05
DHEPsD_v_DHEPsC,NS_pval_dist,4.8673485315184216e-08
DHEPsD_v_DHEPsC,NS_pval_dist,0.2796083436809229
DHEPsD_v_DHEPsC,NS_pval_dist,0.0010923610400666378
DHEPsD_v_DHEPsC,NS_pval_dist,0.9163235959593014
DHEPsD_v_DHEPsC,NS_pval_dist,9.546895335423938e-08
DHEPsD_v_DHEPsC,NS_pval_dist,0.6940345867367337
DHEPsD_v_DHEPsC,NS_pval_dist,2.2301470999060553e-05
DHEPsD_v_DHEPsC,NS_pval_dist,0.0026419581091474314
DHEPsD_v_DHEPsC,NS_pval_dist,0.00569761242004585
DHEPsD_v_DHEPsC,NS_pval_dist,1.721630893683434e-11
DHEPsD_v_DHEPsC,NS_pval_dist,1.8518849331052233e-05
DHEPsD_v_DHEPsC,NS_pval_dist,2.1049317162561186e-11
DHEPsD_v_DHEPsC,NS_pval_dist,3.019569582599356e-13
DHEPsD_v_DHEPsC,NS_pval_dist,0.006909675588339155
DHEPsD_v_DHEPsC,NS_pval_dist,3.8688009781837274e-16
DHEPsD_v_DHEPsC,NS_pval_dist,0.45465483865114953
DHEPsD_v_DHEPsC,NS_pval_dist,2.6824295784924423e-18
DHEPsD_v_DHEPsC,NS_pval_dist,0.00013199881070232166
DHEPsD_v_DHEPsC,NS_pval_dist,0.0031362365375220452
DHEPsD_v_DHEPsC,NS_pval_dist,4.424242652090313e-05
DHEPsD_v_DHEPsC,NS_pval_dist,2.8562222575473595e-16
DHEPsD_v_DHEPsC,NS_pval_dist,1.1342700611645548e-13
DHEPsD_v_DHEPsC,NS_pval_dist,0.014112613477359594
DHEPsD_v_DHEPsC,NS_pval_dist,0.100345515594728
DHEPsD_v_DHEPsC,NS_pval_dist,0.06058344886705429
DHEPsD_v_DHEPsC,NS_pval_dist,0.4977460678407807
DHEPsD_v_DHEPsC,NS_pval_dist,0.8603535983968718
DHEPsD_v_DHEPsC,NS_pval_dist,1.228954296668163e-24
DHEPsD_v_DHEPsC,NS_pval_dist,0.019497371277998596
DHEPsD_v_DHEPsC,NS_pval_dist,1.528652152569236e-20
DHEPsD_v_DHEPsC,NS_pval_dist,0.9337917028067773
DHEPsD_v_DHEPsC,NS_pval_dist,8.887518134784449e-11
DHEPsD_v_DHEPsC,NS_pval_dist,0.1213553475937169
DHEPsD_v_DHEPsC,NS_pval_dist,0.03529295285010158
DHEPsD_v_DHEPsC,NS_pval_dist,1.8983290698442376e-08
DHEPsD_v_DHEPsC,NS_pval_dist,0.29736247131319926
DHEPsD_v_DHEPsC,NS_pval_dist,0.8135979348552973
DHEPsD_v_DHEPsC,NS_pval_dist,0.18018055680322875
DHEPsD_v_DHEPsC,NS_pval_dist,0.3711717407005094
