Comparison,variable,value
DHEPsD_v_DHEPsC,Network Separation,0.6700510374832664
DHEPsC_v_DHEP,Network Separation,0.36557603686635964
DHEPsD_v_DHEPsC,NS Cohen,0.5411948672776394
DHEPsC_v_DHEP,NS Cohen,-0.8867475189613225
DHEPsD_v_DHEPsC,IQR Cohen,0.042108512148805545
DHEPsC_v_DHEP,IQR Cohen,-0.3871733991401847
DHEPsD_v_DHEPsC,NS Statistic,3435.0
DHEPsC_v_DHEP,NS Statistic,7310.5
DHEPsD_v_DHEPsC,NS p,0.000132008023042732
DHEPsC_v_DHEP,NS p,1.6592171198268683e-08
DHEPsD_v_DHEPsC,IQR Statistic,3536.0
DHEPsC_v_DHEP,IQR Statistic,5893.0
DHEPsD_v_DHEPsC,IQR p,0.0003490255449799305
DHEPsC_v_DHEP,IQR p,0.02920258326843163
DHEPsD_v_DHEPsC,IQR p_log,3.457142786112938
DHEPsC_v_DHEP,IQR p_log,1.5345787290446669
DHEPsD_v_DHEPsC,NS p_log,3.879399672905514
DHEPsC_v_DHEP,NS p_log,7.780096779875007
DHEPsD_v_DHEPsC,NS_FPR,0.46
DHEPsC_v_DHEP,NS_FPR,0.1
DHEPsD_v_DHEPsC,IQR_FPR,0.2
DHEPsC_v_DHEP,IQR_FPR,0.5
