Comparison,variable,value
DHEPsD_v_DHEPsC,NS Subsample Dist,0.797916666666667
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8127798550523933
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7795404208194907
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7612299465240642
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8688986232790992
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7044380252100839
DHEPsD_v_DHEPsC,NS Subsample Dist,0.46399877526025746
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7942641286455916
DHEPsD_v_DHEPsC,NS Subsample Dist,0.6798795208424346
DHEPsD_v_DHEPsC,NS Subsample Dist,0.6250348092453355
DHEPsD_v_DHEPsC,NS Subsample Dist,0.9034721855586643
DHEPsD_v_DHEPsC,NS Subsample Dist,0.5491140215716488
DHEPsD_v_DHEPsC,NS Subsample Dist,0.6888415342890353
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8101265822784809
DHEPsD_v_DHEPsC,NS Subsample Dist,0.876334594367381
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7497076023391811
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8003126954346469
DHEPsD_v_DHEPsC,NS Subsample Dist,0.5803586391821685
DHEPsD_v_DHEPsC,NS Subsample Dist,0.9488255772959635
DHEPsD_v_DHEPsC,NS Subsample Dist,0.35057471264367823
DHEPsD_v_DHEPsC,NS Subsample Dist,1.0133333333333332
DHEPsD_v_DHEPsC,NS Subsample Dist,0.579798534798535
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8534322820037104
DHEPsD_v_DHEPsC,NS Subsample Dist,0.6497711682573906
DHEPsD_v_DHEPsC,NS Subsample Dist,0.4961871778612421
DHEPsD_v_DHEPsC,NS Subsample Dist,1.014855072463768
DHEPsD_v_DHEPsC,NS Subsample Dist,0.9041315916787616
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8601909325786079
DHEPsD_v_DHEPsC,NS Subsample Dist,0.5971971066907775
DHEPsD_v_DHEPsC,NS Subsample Dist,0.90338015125791
DHEPsD_v_DHEPsC,NS Subsample Dist,0.6522857889237201
DHEPsD_v_DHEPsC,NS Subsample Dist,0.618088805741404
DHEPsD_v_DHEPsC,NS Subsample Dist,0.43965517241379315
DHEPsD_v_DHEPsC,NS Subsample Dist,0.4542244804898705
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7605944502496227
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7335125448028674
DHEPsD_v_DHEPsC,NS Subsample Dist,0.6339014790833495
DHEPsD_v_DHEPsC,NS Subsample Dist,0.9724077130852342
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8736106951515756
DHEPsD_v_DHEPsC,NS Subsample Dist,0.9938271604938271
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8283953786906286
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7752775299831498
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7068480300187616
DHEPsD_v_DHEPsC,NS Subsample Dist,0.48628855336172405
DHEPsD_v_DHEPsC,NS Subsample Dist,0.5963317384370015
DHEPsD_v_DHEPsC,NS Subsample Dist,0.6668974749573005
DHEPsD_v_DHEPsC,NS Subsample Dist,0.6845715431320887
DHEPsD_v_DHEPsC,NS Subsample Dist,1.2089180526680527
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7153009169572515
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7962492437991531
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7227286585365853
DHEPsD_v_DHEPsC,NS Subsample Dist,0.6301965553912163
DHEPsD_v_DHEPsC,NS Subsample Dist,0.6794134560092009
DHEPsD_v_DHEPsC,NS Subsample Dist,0.903183621933622
DHEPsD_v_DHEPsC,NS Subsample Dist,1.0277777777777781
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8784633998790077
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8643493761140819
DHEPsD_v_DHEPsC,NS Subsample Dist,0.6308243987250073
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8574100046750819
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8685949375039255
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8603174603174604
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7179487179487181
DHEPsD_v_DHEPsC,NS Subsample Dist,0.570545294985839
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7258064516129032
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8418640183346067
DHEPsD_v_DHEPsC,NS Subsample Dist,0.786675824175824
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8431105931105929
DHEPsD_v_DHEPsC,NS Subsample Dist,1.0801282051282053
DHEPsD_v_DHEPsC,NS Subsample Dist,0.5763299953058989
DHEPsD_v_DHEPsC,NS Subsample Dist,0.6629365484702565
DHEPsD_v_DHEPsC,NS Subsample Dist,0.5940860215053765
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8932094943240454
DHEPsD_v_DHEPsC,NS Subsample Dist,0.6941798941798942
DHEPsD_v_DHEPsC,NS Subsample Dist,0.8179259634888438
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7728701825557804
DHEPsD_v_DHEPsC,NS Subsample Dist,0.939173998044966
DHEPsD_v_DHEPsC,NS Subsample Dist,0.7440476190476191
