Comparison,variable,value
CR1_v_CAR1,NS_pval_dist,1.1816086154319694e-26
CR1_v_CAR1,NS_pval_dist,1.208578099697716e-11
CR1_v_CAR1,NS_pval_dist,0.07427825541247417
CR1_v_CAR1,NS_pval_dist,1.150621416838545e-18
CR1_v_CAR1,NS_pval_dist,0.17083695259079545
CR1_v_CAR1,NS_pval_dist,2.1475169964128998e-07
CR1_v_CAR1,NS_pval_dist,0.016586724505379076
CR1_v_CAR1,NS_pval_dist,0.14769875523546358
CR1_v_CAR1,NS_pval_dist,1.4930908005160807e-14
CR1_v_CAR1,NS_pval_dist,0.905668039847628
CR1_v_CAR1,NS_pval_dist,0.04268378289466042
CR1_v_CAR1,NS_pval_dist,0.2699446272428945
CR1_v_CAR1,NS_pval_dist,0.011402053442170518
CR1_v_CAR1,NS_pval_dist,9.699975702395717e-06
CR1_v_CAR1,NS_pval_dist,0.3917722490252986
CR1_v_CAR1,NS_pval_dist,0.0015881189483334293
CR1_v_CAR1,NS_pval_dist,3.4636282926203816e-06
CR1_v_CAR1,NS_pval_dist,4.1569802350357377e-11
CR1_v_CAR1,NS_pval_dist,0.5372639499452108
CR1_v_CAR1,NS_pval_dist,0.1313517827680994
CR1_v_CAR1,NS_pval_dist,0.04877043221604436
CR1_v_CAR1,NS_pval_dist,0.389075818571608
CR1_v_CAR1,NS_pval_dist,0.00266326930337557
CR1_v_CAR1,NS_pval_dist,0.010192672082708996
CR1_v_CAR1,NS_pval_dist,2.5161700476520574e-08
CR1_v_CAR1,NS_pval_dist,1.4149719666985643e-13
CR1_v_CAR1,NS_pval_dist,7.3809299795056045e-06
CR1_v_CAR1,NS_pval_dist,0.1965889162577361
CR1_v_CAR1,NS_pval_dist,8.476232401995568e-22
CR1_v_CAR1,NS_pval_dist,1.1528980304317495e-06
CR1_v_CAR1,NS_pval_dist,0.44804864121259835
CR1_v_CAR1,NS_pval_dist,0.4977460678407807
CR1_v_CAR1,NS_pval_dist,7.062450670436058e-05
CR1_v_CAR1,NS_pval_dist,0.04849140097714208
CR1_v_CAR1,NS_pval_dist,1.2262477598709158e-06
CR1_v_CAR1,NS_pval_dist,0.00018252512795017116
CR1_v_CAR1,NS_pval_dist,0.41794970721149316
CR1_v_CAR1,NS_pval_dist,8.98596383087819e-16
CR1_v_CAR1,NS_pval_dist,0.7313756854272451
CR1_v_CAR1,NS_pval_dist,4.862614453119176e-05
CR1_v_CAR1,NS_pval_dist,1.0078482297831524e-16
CR1_v_CAR1,NS_pval_dist,2.2006614778802577e-06
CR1_v_CAR1,NS_pval_dist,0.0006679214472064402
CR1_v_CAR1,NS_pval_dist,1.7173772255668796e-16
CR1_v_CAR1,NS_pval_dist,6.370054020165041e-19
CR1_v_CAR1,NS_pval_dist,8.224884010414658e-20
CR1_v_CAR1,NS_pval_dist,0.14769875523546358
CR1_v_CAR1,NS_pval_dist,0.00024844102740395835
CR1_v_CAR1,NS_pval_dist,1.7722050470533993e-05
CR1_v_CAR1,NS_pval_dist,1.5859510855512373e-07
CR3_v_CAR3,NS_pval_dist,0.9250531761491314
CR3_v_CAR3,NS_pval_dist,0.003301504610981251
CR3_v_CAR3,NS_pval_dist,1.208578099697716e-11
CR3_v_CAR3,NS_pval_dist,8.954441628483052e-13
CR3_v_CAR3,NS_pval_dist,0.08607409866811909
CR3_v_CAR3,NS_pval_dist,0.00018975702278925598
CR3_v_CAR3,NS_pval_dist,0.000440060573747999
CR3_v_CAR3,NS_pval_dist,9.68111758612979e-10
CR3_v_CAR3,NS_pval_dist,1.1616634921269652e-05
CR3_v_CAR3,NS_pval_dist,2.7166720254841896e-07
CR3_v_CAR3,NS_pval_dist,1.441637384536202e-19
CR3_v_CAR3,NS_pval_dist,0.17702484898655113
CR3_v_CAR3,NS_pval_dist,1.3138590515244752e-05
CR3_v_CAR3,NS_pval_dist,0.00014572246750757867
CR3_v_CAR3,NS_pval_dist,0.113071411018179
CR3_v_CAR3,NS_pval_dist,0.20344990527873452
CR3_v_CAR3,NS_pval_dist,0.14297231582603784
CR3_v_CAR3,NS_pval_dist,0.34999641268090165
CR3_v_CAR3,NS_pval_dist,1.3749691904384845e-09
CR3_v_CAR3,NS_pval_dist,1.9225996162037513e-20
CR3_v_CAR3,NS_pval_dist,0.48390799726891964
CR3_v_CAR3,NS_pval_dist,0.00018975702278925598
CR3_v_CAR3,NS_pval_dist,0.9289359237357739
CR3_v_CAR3,NS_pval_dist,0.00010814560436108225
CR3_v_CAR3,NS_pval_dist,2.8913389244942145e-05
CR3_v_CAR3,NS_pval_dist,0.005245271829109666
CR3_v_CAR3,NS_pval_dist,2.3127364089115685e-14
CR3_v_CAR3,NS_pval_dist,0.19155549571936326
CR3_v_CAR3,NS_pval_dist,0.0071677268093841345
CR3_v_CAR3,NS_pval_dist,0.31940517848134053
CR3_v_CAR3,NS_pval_dist,4.6081452084925734e-15
CR3_v_CAR3,NS_pval_dist,7.135297323569385e-05
CR3_v_CAR3,NS_pval_dist,0.0006560757632132154
CR3_v_CAR3,NS_pval_dist,0.6207510115239732
CR3_v_CAR3,NS_pval_dist,2.3091795425045313e-06
CR3_v_CAR3,NS_pval_dist,0.025937319264657428
CR3_v_CAR3,NS_pval_dist,0.000833767662128039
CR3_v_CAR3,NS_pval_dist,0.02975064481931883
CR3_v_CAR3,NS_pval_dist,0.003921346535459923
CR3_v_CAR3,NS_pval_dist,0.13966797576356013
