Comparison,variable,value
CR1_v_CAR1,Network Separation,0.08911080551950423
CR3_v_CAR3,Network Separation,0.18448886874883796
CAR1_v_CAR3,Network Separation,0.6753649586276307
CR1_v_CAR1,NS Cohen,-2.3837793845790447
CR3_v_CAR3,NS Cohen,-2.0859746234896153
CAR1_v_CAR3,NS Cohen,-0.43437672235247665
CR1_v_CAR1,IQR Cohen,1.2430453846595113
CR3_v_CAR3,IQR Cohen,0.0968680007496866
CAR1_v_CAR3,IQR Cohen,0.9219259042623297
CR1_v_CAR1,NS Statistic,9522.0
CR3_v_CAR3,NS Statistic,9387.0
CAR1_v_CAR3,NS Statistic,6289.0
CR1_v_CAR1,NS p,2.2469568335618604e-28
CR3_v_CAR3,NS p,8.38633168520029e-27
CAR1_v_CAR3,NS p,0.0016421936072559048
CR1_v_CAR1,IQR Statistic,950.0
CR3_v_CAR3,IQR Statistic,2650.0
CAR1_v_CAR3,IQR Statistic,2715.0
CR1_v_CAR1,IQR p,4.397880999662065e-23
CR3_v_CAR3,IQR p,9.426250363564863e-09
CAR1_v_CAR3,IQR p,2.378751813531447e-08
CR1_v_CAR1,IQR p_log,22.35675652620063
CR3_v_CAR3,IQR p_log,8.025661029453245
CAR1_v_CAR3,IQR p_log,7.623650867603967
CR1_v_CAR1,NS p_log,27.648405270761096
CR3_v_CAR3,NS p_log,26.076427964946575
CAR1_v_CAR3,NS p_log,2.784575642827892
CR1_v_CAR1,NS_FPR,0.0
CR3_v_CAR3,NS_FPR,0.0
CAR1_v_CAR3,NS_FPR,0.64
CR1_v_CAR1,IQR_FPR,0.0
CR3_v_CAR3,IQR_FPR,0.06
CAR1_v_CAR3,IQR_FPR,0.0
