Comparison,variable,value
CR1_v_CAR1,NS Subsample Dist,0.23131065074168888
CR1_v_CAR1,NS Subsample Dist,0.1959718332081657
CR1_v_CAR1,NS Subsample Dist,0.09980869923303626
CR1_v_CAR1,NS Subsample Dist,0.10273943536138663
CR1_v_CAR1,NS Subsample Dist,0.2953251580380838
CR1_v_CAR1,NS Subsample Dist,0.12778597121968516
CR1_v_CAR1,NS Subsample Dist,0.16637601771468202
CR1_v_CAR1,NS Subsample Dist,0.1228162611513619
CR1_v_CAR1,NS Subsample Dist,0.12068118809490391
CR1_v_CAR1,NS Subsample Dist,0.07488972800677174
CR1_v_CAR1,NS Subsample Dist,0.10819436616605338
CR1_v_CAR1,NS Subsample Dist,0.1926462393042081
CR1_v_CAR1,NS Subsample Dist,0.1853690364878684
CR1_v_CAR1,NS Subsample Dist,0.13662703553419053
CR1_v_CAR1,NS Subsample Dist,0.27766428204517135
CR1_v_CAR1,NS Subsample Dist,0.2008393141831033
CR1_v_CAR1,NS Subsample Dist,0.17887582248632095
CR1_v_CAR1,NS Subsample Dist,0.13057610939112485
CR1_v_CAR1,NS Subsample Dist,0.1965194858223327
CR1_v_CAR1,NS Subsample Dist,0.11297420764607624
CR1_v_CAR1,NS Subsample Dist,0.15943371455245647
CR1_v_CAR1,NS Subsample Dist,0.33285144975590053
CR1_v_CAR1,NS Subsample Dist,0.1280694420446924
CR1_v_CAR1,NS Subsample Dist,0.034567507528923125
CR1_v_CAR1,NS Subsample Dist,0.22724905415348529
CR1_v_CAR1,NS Subsample Dist,0.0971905973893108
CR1_v_CAR1,NS Subsample Dist,0.1076997953376928
CR1_v_CAR1,NS Subsample Dist,0.00586173023019998
CR1_v_CAR1,NS Subsample Dist,0.1692299328006066
CR1_v_CAR1,NS Subsample Dist,0.30389598779095195
CR1_v_CAR1,NS Subsample Dist,0.20149432970042014
CR1_v_CAR1,NS Subsample Dist,0.1977275123305
CR1_v_CAR1,NS Subsample Dist,0.2865762742425406
CR1_v_CAR1,NS Subsample Dist,0.14458670601734513
CR1_v_CAR1,NS Subsample Dist,0.19681317911702112
CR1_v_CAR1,NS Subsample Dist,0.13508817085082248
CR1_v_CAR1,NS Subsample Dist,0.22091819185255557
CR1_v_CAR1,NS Subsample Dist,0.18418992344461982
CR1_v_CAR1,NS Subsample Dist,0.10887377224790962
CR1_v_CAR1,NS Subsample Dist,0.09858872695798304
CR1_v_CAR1,NS Subsample Dist,0.028062666325043395
CR1_v_CAR1,NS Subsample Dist,0.19542686697382838
CR1_v_CAR1,NS Subsample Dist,0.24266544192788642
CR1_v_CAR1,NS Subsample Dist,0.1480747934236306
CR1_v_CAR1,NS Subsample Dist,0.21240346962250256
CR1_v_CAR1,NS Subsample Dist,0.1840494005697535
CR1_v_CAR1,NS Subsample Dist,0.13544721705672358
CR1_v_CAR1,NS Subsample Dist,0.08592341046007435
CR1_v_CAR1,NS Subsample Dist,0.0224430635908901
CR1_v_CAR1,NS Subsample Dist,0.246781395227192
CR1_v_CAR1,NS Subsample Dist,0.025301682156394723
CR1_v_CAR1,NS Subsample Dist,0.29765650367815844
CR1_v_CAR1,NS Subsample Dist,0.18053190950786324
CR1_v_CAR1,NS Subsample Dist,0.1918086916085715
CR1_v_CAR1,NS Subsample Dist,0.08170278092552996
CR1_v_CAR1,NS Subsample Dist,0.06211536754324931
CR1_v_CAR1,NS Subsample Dist,0.3066169191737087
CR1_v_CAR1,NS Subsample Dist,0.056615125195363714
CR1_v_CAR1,NS Subsample Dist,0.10677858468878143
CR1_v_CAR1,NS Subsample Dist,0.21632851858826396
CR1_v_CAR1,NS Subsample Dist,0.31529029631906424
CR1_v_CAR1,NS Subsample Dist,0.22018131852153422
CR1_v_CAR1,NS Subsample Dist,0.08780847649972512
CR1_v_CAR1,NS Subsample Dist,0.2256129762353829
CR1_v_CAR1,NS Subsample Dist,0.10439245082922666
CR1_v_CAR1,NS Subsample Dist,0.2828899578343276
CR1_v_CAR1,NS Subsample Dist,0.34667414923017414
CR1_v_CAR1,NS Subsample Dist,0.18203326587971125
CR1_v_CAR1,NS Subsample Dist,0.16146831323328992
CR1_v_CAR1,NS Subsample Dist,0.17601249730018287
CR1_v_CAR1,NS Subsample Dist,0.060349360746043024
CR1_v_CAR1,NS Subsample Dist,0.08053849219178777
CR1_v_CAR1,NS Subsample Dist,0.18649272948393802
CR1_v_CAR1,NS Subsample Dist,0.18406586804173908
CR1_v_CAR1,NS Subsample Dist,0.10963979724370265
CR1_v_CAR1,NS Subsample Dist,0.1267326456454574
CR1_v_CAR1,NS Subsample Dist,0.14766346984907908
CR1_v_CAR1,NS Subsample Dist,0.22930653612457252
CR1_v_CAR1,NS Subsample Dist,0.0685137407917753
CR1_v_CAR1,NS Subsample Dist,0.08159722222222232
CR1_v_CAR1,NS Subsample Dist,0.16226876594925144
CR1_v_CAR1,NS Subsample Dist,0.07232999486389313
CR1_v_CAR1,NS Subsample Dist,0.20320764506811018
CR1_v_CAR1,NS Subsample Dist,0.019910963866829556
CR1_v_CAR1,NS Subsample Dist,0.15271299831965202
CR1_v_CAR1,NS Subsample Dist,0.1992360225250458
CR1_v_CAR1,NS Subsample Dist,0.10792311650950226
CR1_v_CAR1,NS Subsample Dist,0.16957285061341287
CR1_v_CAR1,NS Subsample Dist,0.13439241635446564
CR1_v_CAR1,NS Subsample Dist,0.22087968290499949
CR1_v_CAR1,NS Subsample Dist,0.2640496367029963
CR1_v_CAR1,NS Subsample Dist,0.17959467943379703
CR1_v_CAR1,NS Subsample Dist,0.13946038701260255
CR1_v_CAR1,NS Subsample Dist,0.07983409819347309
CR1_v_CAR1,NS Subsample Dist,0.11511567810780399
CR1_v_CAR1,NS Subsample Dist,0.16222933385373595
CR1_v_CAR1,NS Subsample Dist,0.06459220437496871
CR1_v_CAR1,NS Subsample Dist,0.20094040769599264
CR1_v_CAR1,NS Subsample Dist,0.22039155049673442
CR1_v_CAR1,NS Subsample Dist,0.1581641567518095
CR3_v_CAR3,NS Subsample Dist,0.30793902479949
CR3_v_CAR3,NS Subsample Dist,0.2980573393135231
CR3_v_CAR3,NS Subsample Dist,0.3385819588381258
CR3_v_CAR3,NS Subsample Dist,0.2275288755229874
CR3_v_CAR3,NS Subsample Dist,0.3031393625883516
CR3_v_CAR3,NS Subsample Dist,0.2880623452950497
CR3_v_CAR3,NS Subsample Dist,0.22158914826782294
CR3_v_CAR3,NS Subsample Dist,0.27341281116587357
CR3_v_CAR3,NS Subsample Dist,0.3585726195538568
CR3_v_CAR3,NS Subsample Dist,0.20523744722425774
CR3_v_CAR3,NS Subsample Dist,0.32752320985384675
CR3_v_CAR3,NS Subsample Dist,0.273485311129978
CR3_v_CAR3,NS Subsample Dist,0.3016467247883796
CR3_v_CAR3,NS Subsample Dist,0.38600881125692377
CR3_v_CAR3,NS Subsample Dist,0.30741511940162813
CR3_v_CAR3,NS Subsample Dist,0.2212577966774869
CR3_v_CAR3,NS Subsample Dist,0.340899122786257
CR3_v_CAR3,NS Subsample Dist,0.314263129602246
CR3_v_CAR3,NS Subsample Dist,0.2538016093196105
CR3_v_CAR3,NS Subsample Dist,0.1449243227610142
CR3_v_CAR3,NS Subsample Dist,0.30256533988619094
CR3_v_CAR3,NS Subsample Dist,0.23064685046100042
CR3_v_CAR3,NS Subsample Dist,0.2882066573527675
CR3_v_CAR3,NS Subsample Dist,0.27436690935174246
CR3_v_CAR3,NS Subsample Dist,0.24856807719452134
CR3_v_CAR3,NS Subsample Dist,0.21357528518653845
CR3_v_CAR3,NS Subsample Dist,0.19617549255288202
CR3_v_CAR3,NS Subsample Dist,0.22130607110414435
CR3_v_CAR3,NS Subsample Dist,0.24179407707536105
CR3_v_CAR3,NS Subsample Dist,0.32695266194252004
CR3_v_CAR3,NS Subsample Dist,0.29166281437419483
CR3_v_CAR3,NS Subsample Dist,0.3564397351443669
CR3_v_CAR3,NS Subsample Dist,0.1692736104466337
CR3_v_CAR3,NS Subsample Dist,0.209233611436346
CR3_v_CAR3,NS Subsample Dist,0.22218339759046013
CR3_v_CAR3,NS Subsample Dist,0.22729820893728592
CR3_v_CAR3,NS Subsample Dist,0.3769429233813191
CR3_v_CAR3,NS Subsample Dist,0.13780295209848203
CR3_v_CAR3,NS Subsample Dist,0.28254935779071877
CR3_v_CAR3,NS Subsample Dist,0.23404106202972552
CR3_v_CAR3,NS Subsample Dist,0.3287852316839477
CR3_v_CAR3,NS Subsample Dist,0.26684889046291493
CR3_v_CAR3,NS Subsample Dist,0.2517982226090967
CR3_v_CAR3,NS Subsample Dist,0.1942381796301691
CR3_v_CAR3,NS Subsample Dist,0.34138207870410864
CR3_v_CAR3,NS Subsample Dist,0.1988880312485719
CR3_v_CAR3,NS Subsample Dist,0.38109164994062716
CR3_v_CAR3,NS Subsample Dist,0.2679870188175837
CR3_v_CAR3,NS Subsample Dist,0.3184004223100654
CR3_v_CAR3,NS Subsample Dist,0.3699843829266596
CR3_v_CAR3,NS Subsample Dist,0.13202737016162214
CR3_v_CAR3,NS Subsample Dist,0.15881327306748316
CR3_v_CAR3,NS Subsample Dist,0.2681922320845209
CR3_v_CAR3,NS Subsample Dist,0.2300530052970029
CR3_v_CAR3,NS Subsample Dist,0.37480733422533685
CR3_v_CAR3,NS Subsample Dist,0.1848461174513416
CR3_v_CAR3,NS Subsample Dist,0.2702032266116283
CR3_v_CAR3,NS Subsample Dist,0.2804697638259981
CR3_v_CAR3,NS Subsample Dist,0.1877287121745248
CR3_v_CAR3,NS Subsample Dist,0.19754269455149043
CR3_v_CAR3,NS Subsample Dist,0.3278330702629164
CR3_v_CAR3,NS Subsample Dist,0.24886768519956481
CR3_v_CAR3,NS Subsample Dist,0.2369530563294251
CR3_v_CAR3,NS Subsample Dist,0.2315412078008945
CR3_v_CAR3,NS Subsample Dist,0.2639579424640399
CR3_v_CAR3,NS Subsample Dist,0.20982606221471767
CR3_v_CAR3,NS Subsample Dist,0.36133921829023774
CR3_v_CAR3,NS Subsample Dist,0.2609905356738982
CR3_v_CAR3,NS Subsample Dist,0.20655404145353806
CR3_v_CAR3,NS Subsample Dist,0.2288687165422416
CR3_v_CAR3,NS Subsample Dist,0.17162127683324524
CR3_v_CAR3,NS Subsample Dist,0.2293144099738489
CR3_v_CAR3,NS Subsample Dist,0.2658312562313061
CR3_v_CAR3,NS Subsample Dist,0.2632376907104039
CR3_v_CAR3,NS Subsample Dist,0.24484862070711166
CR3_v_CAR3,NS Subsample Dist,0.2456868921308577
CR3_v_CAR3,NS Subsample Dist,0.19341297499692356
CR3_v_CAR3,NS Subsample Dist,0.2311215268204514
CR3_v_CAR3,NS Subsample Dist,0.27437344821758103
CR3_v_CAR3,NS Subsample Dist,0.16904850312855846
CR3_v_CAR3,NS Subsample Dist,0.37274408374327805
CR3_v_CAR3,NS Subsample Dist,0.4181448089863933
CR3_v_CAR3,NS Subsample Dist,0.3058538380469382
