Comparison,variable,value
H3122_v_CR2,NS_pval_dist,0.16112930528046
H3122_v_CR2,NS_pval_dist,0.5782990636257237
H3122_v_CR2,NS_pval_dist,0.7076157001394945
H3122_v_CR2,NS_pval_dist,0.02975064481931883
H3122_v_CR2,NS_pval_dist,3.2913881305716134e-16
H3122_v_CR2,NS_pval_dist,0.8154945749098557
H3122_v_CR2,NS_pval_dist,7.213699145144275e-06
H3122_v_CR2,NS_pval_dist,4.085008612129294e-06
H3122_v_CR2,NS_pval_dist,2.7944843587667574e-11
H3122_v_CR2,NS_pval_dist,4.513633979746254e-11
H3122_v_CR2,NS_pval_dist,0.574962692776253
H3122_v_CR2,NS_pval_dist,9.490607449695289e-18
H3122_v_CR2,NS_pval_dist,0.3474828025256529
H3122_v_CR2,NS_pval_dist,0.9639457466173483
H3122_v_CR2,NS_pval_dist,4.962480098484163e-13
H3122_v_CR2,NS_pval_dist,2.4654204473425004e-15
H3122_v_CR2,NS_pval_dist,0.0007633082478268143
H3122_v_CR2,NS_pval_dist,0.4931101022305394
H3122_v_CR2,NS_pval_dist,0.8288007406269458
H3122_v_CR2,NS_pval_dist,2.878869953552822e-10
H3122_v_CR2,NS_pval_dist,1.2853667629388694e-15
H3122_v_CR2,NS_pval_dist,0.006371116856740689
H3122_v_CR2,NS_pval_dist,0.336314129985382
H3122_v_CR2,NS_pval_dist,7.28209913771206e-24
H3122_v_CR2,NS_pval_dist,1.9269023454225425e-06
H3122_v_CR2,NS_pval_dist,4.2962043586161226e-11
H3122_v_CR2,NS_pval_dist,3.6576426244209216e-05
H3122_v_CR2,NS_pval_dist,0.8098079425548466
H3122_v_CR2,NS_pval_dist,4.829918967196736e-10
H3122_v_CR2,NS_pval_dist,2.0700650981795268e-11
H3122_v_CR2,NS_pval_dist,1.1602940807409776e-10
H3122_v_CR2,NS_pval_dist,0.006859078162016455
H3122_v_CR2,NS_pval_dist,1.3697385961929444e-06
H3122_v_CR2,NS_pval_dist,0.02643106995278852
H3122_v_CR2,NS_pval_dist,1.642533038398293e-14
H3122_v_CR2,NS_pval_dist,0.6138680472096156
H3122_v_CR2,NS_pval_dist,0.5766297403498815
H3122_v_CR2,NS_pval_dist,1.464631640661374e-07
H3122_v_CR2,NS_pval_dist,0.02404123475249789
H3122_v_CR2,NS_pval_dist,0.0011702151763688883
H3122_v_CR2,NS_pval_dist,0.0017264885889391286
H3122_v_CR2,NS_pval_dist,7.626122928016905e-15
H3122_v_CR2,NS_pval_dist,0.5008495525479996
H3122_v_CR2,NS_pval_dist,0.009428842903180414
H3122_v_CR2,NS_pval_dist,6.379517104522393e-13
