Comparison,variable,value
H3122_v_CR2,Network Separation,0.1882867312158778
H3122_v_CR3,Network Separation,0.36183485826342965
CR1_v_CR2,Network Separation,0.6796311628278018
CR1_v_CR3,Network Separation,0.7563456151691448
H3122_v_CR2,NS Cohen,-2.0831099672914957
H3122_v_CR3,NS Cohen,-1.0294688520943114
CR1_v_CR2,NS Cohen,-0.1530950082187524
CR1_v_CR3,NS Cohen,-0.2864735921452403
H3122_v_CR2,IQR Cohen,0.25321272421799945
H3122_v_CR3,IQR Cohen,-0.27844194566288455
CR1_v_CR2,IQR Cohen,0.7763951703185008
CR1_v_CR3,IQR Cohen,0.14454515501118342
H3122_v_CR2,NS Statistic,9264.0
H3122_v_CR3,NS Statistic,7645.0
CR1_v_CR2,NS Statistic,5405.0
CR1_v_CR3,NS Statistic,5844.0
H3122_v_CR2,NS p,2.0654668743619013e-25
H3122_v_CR3,NS p,1.0364144082111865e-10
CR1_v_CR2,NS p,0.32298087183735025
CR1_v_CR3,NS p,0.03930318068000123
H3122_v_CR2,IQR Statistic,3805.0
H3122_v_CR3,IQR Statistic,5789.0
CR1_v_CR2,IQR Statistic,1482.0
CR1_v_CR3,IQR Statistic,4142.0
H3122_v_CR2,IQR p,0.0035157547318462523
H3122_v_CR3,IQR p,0.05402798489285436
CR1_v_CR2,IQR p,8.35404883845159e-18
CR1_v_CR3,IQR p,0.03615268674584341
H3122_v_CR2,IQR p_log,2.4539814300491134
H3122_v_CR3,IQR p_log,1.2673812302441474
CR1_v_CR2,IQR p_log,17.078102990142476
CR1_v_CR3,IQR p_log,1.4418594218677843
H3122_v_CR2,NS p_log,24.684981765779238
H3122_v_CR3,NS p_log,9.984466558091542
CR1_v_CR2,NS p_log,0.49082319748771014
CR1_v_CR3,NS p_log,1.4055723021467732
H3122_v_CR2,NS_FPR,0.0
H3122_v_CR3,NS_FPR,0.36
CR1_v_CR2,NS_FPR,0.8
CR1_v_CR3,NS_FPR,0.76
H3122_v_CR2,IQR_FPR,0.28
H3122_v_CR3,IQR_FPR,0.58
CR1_v_CR2,IQR_FPR,0.0
CR1_v_CR3,IQR_FPR,0.64
