Comparison,variable,value
H3122_v_CR2,NS Subsample Dist,0.48027055192748946
H3122_v_CR2,NS Subsample Dist,0.6105231972770933
H3122_v_CR2,NS Subsample Dist,0.4326360192837466
H3122_v_CR2,NS Subsample Dist,0.5541117450324609
H3122_v_CR2,NS Subsample Dist,0.40201465201465236
H3122_v_CR2,NS Subsample Dist,0.25219134263875054
H3122_v_CR2,NS Subsample Dist,0.45888868671245975
H3122_v_CR2,NS Subsample Dist,0.6363580659536545
H3122_v_CR2,NS Subsample Dist,0.18168307078182955
H3122_v_CR2,NS Subsample Dist,0.3391653246137123
H3122_v_CR2,NS Subsample Dist,0.14181406828465626
H3122_v_CR2,NS Subsample Dist,0.4097781500332882
H3122_v_CR2,NS Subsample Dist,0.7305952380952383
H3122_v_CR2,NS Subsample Dist,0.292364324691911
H3122_v_CR2,NS Subsample Dist,0.5630939902166316
H3122_v_CR2,NS Subsample Dist,0.5991625615763545
H3122_v_CR2,NS Subsample Dist,0.3245519713261653
H3122_v_CR2,NS Subsample Dist,0.6596784678467849
H3122_v_CR2,NS Subsample Dist,0.6191214470284236
H3122_v_CR2,NS Subsample Dist,0.28288696882110553
H3122_v_CR2,NS Subsample Dist,0.4156611515316577
H3122_v_CR2,NS Subsample Dist,0.18726373945914498
H3122_v_CR2,NS Subsample Dist,0.18272577996715889
H3122_v_CR2,NS Subsample Dist,0.31429048892284195
H3122_v_CR2,NS Subsample Dist,0.18881300908983611
H3122_v_CR2,NS Subsample Dist,0.2894863874403515
H3122_v_CR2,NS Subsample Dist,0.0994567897264389
H3122_v_CR2,NS Subsample Dist,0.434145439098919
H3122_v_CR2,NS Subsample Dist,0.7346507087683558
H3122_v_CR2,NS Subsample Dist,0.21896720812526071
H3122_v_CR2,NS Subsample Dist,0.12675213675213648
H3122_v_CR2,NS Subsample Dist,0.27829710144927544
H3122_v_CR2,NS Subsample Dist,0.22524776874354036
H3122_v_CR2,NS Subsample Dist,-0.08452954427308956
H3122_v_CR2,NS Subsample Dist,0.1592946958886734
H3122_v_CR2,NS Subsample Dist,0.383643377245273
H3122_v_CR2,NS Subsample Dist,0.4752787819038229
H3122_v_CR2,NS Subsample Dist,0.39408736256320287
H3122_v_CR2,NS Subsample Dist,0.6546321569361622
H3122_v_CR2,NS Subsample Dist,-0.1585118806989172
H3122_v_CR2,NS Subsample Dist,0.6540748412331245
H3122_v_CR2,NS Subsample Dist,0.21521728117369343
H3122_v_CR2,NS Subsample Dist,0.3543779862044034
H3122_v_CR2,NS Subsample Dist,0.11482001853194701
H3122_v_CR2,NS Subsample Dist,0.5491799566243651
H3122_v_CR2,NS Subsample Dist,0.03340749281097244
H3122_v_CR2,NS Subsample Dist,0.418752572924018
H3122_v_CR2,NS Subsample Dist,0.2257052905586041
H3122_v_CR2,NS Subsample Dist,0.2081189083820667
H3122_v_CR2,NS Subsample Dist,0.23338522746929602
H3122_v_CR2,NS Subsample Dist,0.1957417582417582
H3122_v_CR2,NS Subsample Dist,0.25295634973670866
H3122_v_CR2,NS Subsample Dist,-0.11138390555727362
H3122_v_CR2,NS Subsample Dist,0.2036924487663403
H3122_v_CR2,NS Subsample Dist,0.3268244575936885
H3122_v_CR2,NS Subsample Dist,0.8158088235294119
H3122_v_CR2,NS Subsample Dist,0.361940836940837
H3122_v_CR2,NS Subsample Dist,-0.023004871915762948
H3122_v_CR2,NS Subsample Dist,0.4115679824561407
H3122_v_CR2,NS Subsample Dist,0.25353578775555907
H3122_v_CR2,NS Subsample Dist,0.6723974671778783
H3122_v_CR2,NS Subsample Dist,-0.0819594145597442
H3122_v_CR2,NS Subsample Dist,0.23495061639391546
H3122_v_CR2,NS Subsample Dist,0.17622306804344312
H3122_v_CR2,NS Subsample Dist,0.17814045929987965
H3122_v_CR2,NS Subsample Dist,0.526294174064875
H3122_v_CR2,NS Subsample Dist,-0.003620985623346229
H3122_v_CR2,NS Subsample Dist,0.38490736316823293
H3122_v_CR2,NS Subsample Dist,-0.03136426633639999
H3122_v_CR2,NS Subsample Dist,0.32596178309832746
H3122_v_CR2,NS Subsample Dist,0.4907967505077333
H3122_v_CR2,NS Subsample Dist,0.9390215978711551
H3122_v_CR2,NS Subsample Dist,0.6399404760574772
H3122_v_CR2,NS Subsample Dist,0.4851213601213602
H3122_v_CR2,NS Subsample Dist,0.19022729945895067
H3122_v_CR2,NS Subsample Dist,0.1865819209039552
H3122_v_CR2,NS Subsample Dist,-0.03550116550116522
H3122_v_CR2,NS Subsample Dist,0.5529585798816568
H3122_v_CR2,NS Subsample Dist,0.7361081380560837
H3122_v_CR2,NS Subsample Dist,0.528811595573631
H3122_v_CR2,NS Subsample Dist,0.4032721741870948
H3122_v_CR2,NS Subsample Dist,0.3355231724796943
H3122_v_CR2,NS Subsample Dist,0.03567737846319208
H3122_v_CR2,NS Subsample Dist,0.4382872029930849
H3122_v_CR2,NS Subsample Dist,0.154353964436182
H3122_v_CR2,NS Subsample Dist,0.2133252818035425
H3122_v_CR2,NS Subsample Dist,0.641544399628236
H3122_v_CR2,NS Subsample Dist,0.3235699727846322
H3122_v_CR2,NS Subsample Dist,0.2192725659791528
H3122_v_CR2,NS Subsample Dist,0.48941015769313045
H3122_v_CR2,NS Subsample Dist,0.31956467661691557
H3122_v_CR2,NS Subsample Dist,0.4074893213099191
H3122_v_CR2,NS Subsample Dist,0.6500686813186813
H3122_v_CR2,NS Subsample Dist,0.3084859584859583
H3122_v_CR2,NS Subsample Dist,0.7584662000129625
H3122_v_CR2,NS Subsample Dist,0.4360395670026129
H3122_v_CR2,NS Subsample Dist,0.04644990510438518
H3122_v_CR2,NS Subsample Dist,0.21898411574581766
H3122_v_CR2,NS Subsample Dist,0.4332250807358755
H3122_v_CR2,NS Subsample Dist,0.18841587286214656
H3122_v_CR3,NS Subsample Dist,0.4874999999999998
H3122_v_CR3,NS Subsample Dist,0.5420969564061671
H3122_v_CR3,NS Subsample Dist,0.4506453992255208
H3122_v_CR3,NS Subsample Dist,0.5157297508803964
H3122_v_CR3,NS Subsample Dist,0.5191022460685382
H3122_v_CR3,NS Subsample Dist,0.2358974358974355
H3122_v_CR3,NS Subsample Dist,0.4315487842011396
H3122_v_CR3,NS Subsample Dist,0.3449734300734595
H3122_v_CR3,NS Subsample Dist,0.6373084886128364
H3122_v_CR3,NS Subsample Dist,0.5940149651923803
H3122_v_CR3,NS Subsample Dist,0.43437328954570287
H3122_v_CR3,NS Subsample Dist,0.6863077363077363
H3122_v_CR3,NS Subsample Dist,0.537982316690218
H3122_v_CR3,NS Subsample Dist,0.3125539863072673
H3122_v_CR3,NS Subsample Dist,0.652504105090312
H3122_v_CR3,NS Subsample Dist,0.41991071428571436
H3122_v_CR3,NS Subsample Dist,0.608592438012447
H3122_v_CR3,NS Subsample Dist,0.844983714879985
H3122_v_CR3,NS Subsample Dist,0.5138056631094159
H3122_v_CR3,NS Subsample Dist,0.45999006951340604
H3122_v_CR3,NS Subsample Dist,0.5008593671014054
H3122_v_CR3,NS Subsample Dist,0.35510775862068966
H3122_v_CR3,NS Subsample Dist,0.3993765923566879
H3122_v_CR3,NS Subsample Dist,0.5860631480701599
H3122_v_CR3,NS Subsample Dist,0.6360464210056467
H3122_v_CR3,NS Subsample Dist,0.4359375000000001
H3122_v_CR3,NS Subsample Dist,0.5804024934585192
H3122_v_CR3,NS Subsample Dist,0.6007831743155629
H3122_v_CR3,NS Subsample Dist,0.45534549023234794
H3122_v_CR3,NS Subsample Dist,1.089936889094128
H3122_v_CR3,NS Subsample Dist,0.718417945690673
H3122_v_CR3,NS Subsample Dist,0.5702821963631184
H3122_v_CR3,NS Subsample Dist,0.4738095238095239
H3122_v_CR3,NS Subsample Dist,0.8060132712090673
H3122_v_CR3,NS Subsample Dist,0.5914705319556064
H3122_v_CR3,NS Subsample Dist,0.31769288712637067
H3122_v_CR3,NS Subsample Dist,0.36269318580962384
H3122_v_CR3,NS Subsample Dist,0.8043256807791694
H3122_v_CR3,NS Subsample Dist,0.06326129600911878
H3122_v_CR3,NS Subsample Dist,0.036615527994837915
H3122_v_CR3,NS Subsample Dist,0.6625069683893212
H3122_v_CR3,NS Subsample Dist,0.487619201777735
H3122_v_CR3,NS Subsample Dist,0.15479189996267273
H3122_v_CR3,NS Subsample Dist,0.5904678110560462
H3122_v_CR3,NS Subsample Dist,0.4804510913276201
H3122_v_CR3,NS Subsample Dist,0.8009282235088686
H3122_v_CR3,NS Subsample Dist,0.41539730003442
H3122_v_CR3,NS Subsample Dist,0.5896829810901003
H3122_v_CR3,NS Subsample Dist,0.6130682632079281
H3122_v_CR3,NS Subsample Dist,0.41058826494606304
H3122_v_CR3,NS Subsample Dist,0.3043578462183114
H3122_v_CR3,NS Subsample Dist,0.6230952794774172
H3122_v_CR3,NS Subsample Dist,0.4935729847494552
H3122_v_CR3,NS Subsample Dist,0.45579051292648254
H3122_v_CR3,NS Subsample Dist,0.6502413868773316
H3122_v_CR3,NS Subsample Dist,0.6040983867984104
H3122_v_CR3,NS Subsample Dist,0.5998466566113627
H3122_v_CR3,NS Subsample Dist,0.40670490349466815
H3122_v_CR3,NS Subsample Dist,0.4432944832944834
H3122_v_CR3,NS Subsample Dist,0.44829767621205097
H3122_v_CR3,NS Subsample Dist,0.6847369526409746
H3122_v_CR3,NS Subsample Dist,0.6718448709599154
H3122_v_CR3,NS Subsample Dist,0.608661216725733
H3122_v_CR3,NS Subsample Dist,0.42312546997529266
H3122_v_CR3,NS Subsample Dist,0.3078296218652907
H3122_v_CR3,NS Subsample Dist,0.696929441564635
H3122_v_CR3,NS Subsample Dist,0.1589019237684286
H3122_v_CR3,NS Subsample Dist,0.48207484866064254
H3122_v_CR3,NS Subsample Dist,0.26251448513757536
H3122_v_CR3,NS Subsample Dist,0.6944039222998541
H3122_v_CR3,NS Subsample Dist,0.6113825757575757
H3122_v_CR3,NS Subsample Dist,0.7178609241174427
