Comparison,variable,value
H3122_v_CAR1,NS_pval_dist,0.31116301331310536
H3122_v_CAR1,NS_pval_dist,8.758735497455564e-06
H3122_v_CAR1,NS_pval_dist,4.512406670085656e-08
H3122_v_CAR1,NS_pval_dist,0.08518416314361253
H3122_v_CAR1,NS_pval_dist,0.12106227061307948
H3122_v_CAR1,NS_pval_dist,1.5859510855512373e-07
H3122_v_CAR1,NS_pval_dist,0.034243176813619075
H3122_v_CAR1,NS_pval_dist,0.000841135883158783
H3122_v_CAR1,NS_pval_dist,1.7886973770728047e-10
H3122_v_CAR1,NS_pval_dist,0.21496804845074768
H3122_v_CAR1,NS_pval_dist,0.07467552065079264
H3122_v_CAR1,NS_pval_dist,8.463962987047253e-16
H3122_v_CAR1,NS_pval_dist,1.3530310584616059e-06
H3122_v_CAR1,NS_pval_dist,4.080223768376371e-20
H3122_v_CAR1,NS_pval_dist,7.180599662131853e-07
H3122_v_CAR1,NS_pval_dist,0.9386499961780551
H3122_v_CAR1,NS_pval_dist,0.0009182129299275226
H3122_v_CAR1,NS_pval_dist,0.013827476273406542
H3122_v_CAR1,NS_pval_dist,0.18743392626597755
H3122_v_CAR1,NS_pval_dist,0.1039336368052851
H3122_v_CAR1,NS_pval_dist,3.431422267235914e-05
H3122_v_CAR1,NS_pval_dist,0.0026847375035832033
H3122_v_CAR1,NS_pval_dist,0.005245271829109666
H3122_v_CAR1,NS_pval_dist,5.73102580326861e-10
H3122_v_CAR1,NS_pval_dist,1.331795249037845e-20
H3122_v_CAR1,NS_pval_dist,4.0829183332959684e-33
H3122_v_CAR1,NS_pval_dist,1.9848247010680556e-07
H3122_v_CAR1,NS_pval_dist,0.0003589356867915221
H3122_v_CAR1,NS_pval_dist,0.3944799878658759
H3122_v_CAR1,NS_pval_dist,0.9347631898776791
H3122_v_CAR1,NS_pval_dist,3.066250379878827e-10
H3122_v_CAR1,NS_pval_dist,0.0013529516343376827
H3122_v_CAR1,NS_pval_dist,0.000679965733895833
H3122_v_CAR1,NS_pval_dist,1.1231707864045033e-05
H3122_v_CAR1,NS_pval_dist,0.5469775484511399
H3122_v_CAR1,NS_pval_dist,0.041205978378426815
H3122_v_CAR1,NS_pval_dist,4.329487928071491e-08
H3122_v_CAR1,NS_pval_dist,3.289445190314585e-17
H3122_v_CAR1,NS_pval_dist,0.024659456842677844
H3122_v_CAR1,NS_pval_dist,1.9080115489678165e-07
H3122_v_CAR1,NS_pval_dist,0.462803477720954
H3122_v_CAR1,NS_pval_dist,6.155087533736279e-13
H3122_v_CAR1,NS_pval_dist,0.00018075807822141382
H3122_v_CAR1,NS_pval_dist,0.0013301632978761715
H3122_v_CAR1,NS_pval_dist,3.9244769303010725e-09
H3122_v_CAR1,NS_pval_dist,5.6270908721837485e-05
H3122_v_CAR1,NS_pval_dist,2.625281786081726e-18
H3122_v_CAR1,NS_pval_dist,2.7507012984396634e-21
H3122_v_CAR1,NS_pval_dist,0.1685587404827954
H3122_v_CAR1,NS_pval_dist,3.57676048871692e-15
H3122_v_CAR3,NS_pval_dist,9.255505192338243e-14
H3122_v_CAR3,NS_pval_dist,0.10655815243287416
H3122_v_CAR3,NS_pval_dist,0.462803477720954
H3122_v_CAR3,NS_pval_dist,6.3567922963426425e-06
H3122_v_CAR3,NS_pval_dist,7.617500029194767e-11
H3122_v_CAR3,NS_pval_dist,0.003921346535459923
H3122_v_CAR3,NS_pval_dist,1.6054780329802232e-12
H3122_v_CAR3,NS_pval_dist,6.004000823037372e-10
H3122_v_CAR3,NS_pval_dist,0.003249834162436657
H3122_v_CAR3,NS_pval_dist,0.05975037357568837
H3122_v_CAR3,NS_pval_dist,1.4407996852858025e-25
H3122_v_CAR3,NS_pval_dist,3.5831983021563954e-11
H3122_v_CAR3,NS_pval_dist,0.047116277950033134
H3122_v_CAR3,NS_pval_dist,0.12461935714246979
H3122_v_CAR3,NS_pval_dist,8.119161341211817e-08
H3122_v_CAR3,NS_pval_dist,0.00853075071636079
H3122_v_CAR3,NS_pval_dist,0.5633576490749412
H3122_v_CAR3,NS_pval_dist,1.1109344927254952e-06
H3122_v_CAR3,NS_pval_dist,1.4742521243997771e-19
H3122_v_CAR3,NS_pval_dist,3.3588878883584294e-17
H3122_v_CAR3,NS_pval_dist,2.0889794794092895e-05
H3122_v_CAR3,NS_pval_dist,0.0707800430546007
H3122_v_CAR3,NS_pval_dist,0.006048372185519501
H3122_v_CAR3,NS_pval_dist,2.1305889938789332e-09
H3122_v_CAR3,NS_pval_dist,0.7796554828297351
H3122_v_CAR3,NS_pval_dist,0.02240994155579531
H3122_v_CAR3,NS_pval_dist,0.7313756854272451
H3122_v_CAR3,NS_pval_dist,0.003921346535459923
H3122_v_CAR3,NS_pval_dist,0.17236852380964063
H3122_v_CAR3,NS_pval_dist,0.0005283671551317282
H3122_v_CAR3,NS_pval_dist,0.23648356491644518
H3122_v_CAR3,NS_pval_dist,0.02902344253894277
H3122_v_CAR3,NS_pval_dist,0.009631925706165195
H3122_v_CAR3,NS_pval_dist,0.6381032940322198
H3122_v_CAR3,NS_pval_dist,2.752235548149545e-07
H3122_v_CAR3,NS_pval_dist,1.6957982813609315e-05
H3122_v_CAR3,NS_pval_dist,2.4872556422768075e-11
H3122_v_CAR3,NS_pval_dist,0.00023235257480712335
H3122_v_CAR3,NS_pval_dist,0.9425382646537456
H3122_v_CAR3,NS_pval_dist,0.27744078626148483
H3122_v_CAR3,NS_pval_dist,0.4702813106502177
H3122_v_CAR3,NS_pval_dist,0.010557725369518895
H3122_v_CAR3,NS_pval_dist,6.165307290368623e-15
H3122_v_CAR3,NS_pval_dist,0.25537214066557345
H3122_v_CAR3,NS_pval_dist,1.7528061287276155e-16
H3122_v_CAR3,NS_pval_dist,0.015828483039778407
H3122_v_CAR3,NS_pval_dist,9.095751452710015e-18
