Comparison,variable,value
H3122_v_CAR1,Network Separation,-0.05573622446709847
H3122_v_CAR3,Network Separation,0.06372298646844765
H3122_v_CAR1,NS Cohen,-4.077354866516571
H3122_v_CAR3,NS Cohen,-2.971136698186016
H3122_v_CAR1,IQR Cohen,-0.08188824756225725
H3122_v_CAR3,IQR Cohen,0.18516281371552065
H3122_v_CAR1,NS Statistic,9973.0
H3122_v_CAR3,NS Statistic,9874.0
H3122_v_CAR1,NS p,5.754040238176737e-34
H3122_v_CAR3,NS p,1.0771158924754184e-32
H3122_v_CAR1,IQR Statistic,2285.0
H3122_v_CAR3,IQR Statistic,2840.0
H3122_v_CAR1,IQR p,3.298713831369266e-11
H3122_v_CAR3,IQR p,1.3167573287636146e-07
H3122_v_CAR1,IQR p_log,10.481655358552223
H3122_v_CAR3,IQR p_log,6.880494255782147
H3122_v_CAR1,NS p_log,33.24002710540068
H3122_v_CAR3,NS p_log,31.967737566196206
H3122_v_CAR1,NS_FPR,0.0
H3122_v_CAR3,NS_FPR,0.0
H3122_v_CAR1,IQR_FPR,0.02
H3122_v_CAR3,IQR_FPR,0.06
