Comparison,variable,value
H3122_v_CAR1,NS Subsample Dist,0.18539817443130246
H3122_v_CAR1,NS Subsample Dist,0.07750522582697816
H3122_v_CAR1,NS Subsample Dist,0.0251033949819921
H3122_v_CAR1,NS Subsample Dist,0.15196901137094332
H3122_v_CAR1,NS Subsample Dist,-0.02919793169793161
H3122_v_CAR1,NS Subsample Dist,0.05734483158400727
H3122_v_CAR1,NS Subsample Dist,-0.042874399902590454
H3122_v_CAR1,NS Subsample Dist,0.05564324720981917
H3122_v_CAR1,NS Subsample Dist,0.02295978860279768
H3122_v_CAR1,NS Subsample Dist,0.0360916524934205
H3122_v_CAR1,NS Subsample Dist,-0.020024864093016292
H3122_v_CAR1,NS Subsample Dist,0.055923893335761754
H3122_v_CAR1,NS Subsample Dist,0.12593329853400959
H3122_v_CAR1,NS Subsample Dist,0.009465368560183096
H3122_v_CAR1,NS Subsample Dist,0.0033572717070784464
H3122_v_CAR1,NS Subsample Dist,-0.04786858067499966
H3122_v_CAR1,NS Subsample Dist,0.024667377888488717
H3122_v_CAR1,NS Subsample Dist,0.19609486189854097
H3122_v_CAR1,NS Subsample Dist,0.12389462500232629
H3122_v_CAR1,NS Subsample Dist,0.015549119118459576
H3122_v_CAR1,NS Subsample Dist,0.04591945369652173
H3122_v_CAR1,NS Subsample Dist,0.09674635177131363
H3122_v_CAR1,NS Subsample Dist,0.031622584902420314
H3122_v_CAR1,NS Subsample Dist,-0.009478589885566713
H3122_v_CAR1,NS Subsample Dist,0.08950551516985938
H3122_v_CAR1,NS Subsample Dist,0.07936455217574157
H3122_v_CAR1,NS Subsample Dist,0.1040739259851613
H3122_v_CAR1,NS Subsample Dist,0.08894270815276295
H3122_v_CAR1,NS Subsample Dist,0.03311072642077617
H3122_v_CAR1,NS Subsample Dist,-0.021295973011162372
H3122_v_CAR1,NS Subsample Dist,0.01551587303461921
H3122_v_CAR1,NS Subsample Dist,0.16698730293504593
H3122_v_CAR1,NS Subsample Dist,-0.0331103092083751
H3122_v_CAR1,NS Subsample Dist,0.10109486351263564
H3122_v_CAR1,NS Subsample Dist,0.08511507155791098
H3122_v_CAR1,NS Subsample Dist,0.06615260349592345
H3122_v_CAR1,NS Subsample Dist,0.03869275151841256
H3122_v_CAR1,NS Subsample Dist,-0.05813279363255508
H3122_v_CAR1,NS Subsample Dist,-0.010877697923407759
H3122_v_CAR1,NS Subsample Dist,0.10026703806443438
H3122_v_CAR1,NS Subsample Dist,-0.07377521353870109
H3122_v_CAR1,NS Subsample Dist,0.21110053191017708
H3122_v_CAR1,NS Subsample Dist,0.05985312599040116
H3122_v_CAR1,NS Subsample Dist,0.03438554390236548
H3122_v_CAR1,NS Subsample Dist,0.027428873099470064
H3122_v_CAR1,NS Subsample Dist,0.06950484010720581
H3122_v_CAR1,NS Subsample Dist,0.011468271519133877
H3122_v_CAR1,NS Subsample Dist,0.15340212390176955
H3122_v_CAR1,NS Subsample Dist,-0.016991031192513883
H3122_v_CAR1,NS Subsample Dist,0.06062278770612095
H3122_v_CAR1,NS Subsample Dist,0.024078041125007887
H3122_v_CAR1,NS Subsample Dist,0.05576508115207779
H3122_v_CAR1,NS Subsample Dist,-0.06543762772594897
H3122_v_CAR1,NS Subsample Dist,0.02949742478793982
H3122_v_CAR1,NS Subsample Dist,0.055088691457531924
H3122_v_CAR1,NS Subsample Dist,-0.0025152439024389572
H3122_v_CAR1,NS Subsample Dist,0.08844489308175163
H3122_v_CAR1,NS Subsample Dist,0.06306532732218839
H3122_v_CAR1,NS Subsample Dist,-0.04942640614757687
H3122_v_CAR1,NS Subsample Dist,0.10355141018756586
H3122_v_CAR1,NS Subsample Dist,0.07538660974650035
H3122_v_CAR1,NS Subsample Dist,0.12893989896359548
H3122_v_CAR1,NS Subsample Dist,0.1680864469967891
H3122_v_CAR1,NS Subsample Dist,0.05812529378929421
H3122_v_CAR1,NS Subsample Dist,0.047635569354755436
H3122_v_CAR1,NS Subsample Dist,0.14493519029233304
H3122_v_CAR1,NS Subsample Dist,0.14510899393174004
H3122_v_CAR1,NS Subsample Dist,0.08066490040639929
H3122_v_CAR1,NS Subsample Dist,0.19496985362281616
H3122_v_CAR1,NS Subsample Dist,-0.1431371675328168
H3122_v_CAR1,NS Subsample Dist,0.10534862650033272
H3122_v_CAR1,NS Subsample Dist,0.14476198318549782
H3122_v_CAR1,NS Subsample Dist,0.10702925614690328
H3122_v_CAR1,NS Subsample Dist,0.04161550663202518
H3122_v_CAR1,NS Subsample Dist,0.2789137806528541
H3122_v_CAR1,NS Subsample Dist,0.010452616552889538
H3122_v_CAR1,NS Subsample Dist,0.04395106449526964
H3122_v_CAR1,NS Subsample Dist,-0.04583040578498854
H3122_v_CAR1,NS Subsample Dist,0.05324547632818333
H3122_v_CAR1,NS Subsample Dist,0.057535611466539294
H3122_v_CAR1,NS Subsample Dist,0.0349558603483795
H3122_v_CAR1,NS Subsample Dist,0.021671581905242432
H3122_v_CAR1,NS Subsample Dist,0.03377523132472615
H3122_v_CAR1,NS Subsample Dist,-0.11998523008268469
H3122_v_CAR1,NS Subsample Dist,0.0436404430412749
H3122_v_CAR1,NS Subsample Dist,0.10663599965925563
H3122_v_CAR1,NS Subsample Dist,0.010631152224773732
H3122_v_CAR1,NS Subsample Dist,-0.011136217374375201
H3122_v_CAR1,NS Subsample Dist,0.05201343917199974
H3122_v_CAR1,NS Subsample Dist,-0.030178916163746683
H3122_v_CAR1,NS Subsample Dist,0.09385515588662985
H3122_v_CAR1,NS Subsample Dist,0.03160808589935771
H3122_v_CAR1,NS Subsample Dist,0.17140957419585034
H3122_v_CAR1,NS Subsample Dist,0.09331028692517762
H3122_v_CAR1,NS Subsample Dist,0.05802373088746382
