Comparison,variable,value
soft_stiff,NS Subsample Dist,0.2748878225168556
soft_stiff,NS Subsample Dist,0.5373870338156053
soft_stiff,NS Subsample Dist,0.21973203624561455
soft_stiff,NS Subsample Dist,0.26756922566738517
soft_stiff,NS Subsample Dist,0.40221473702552646
soft_stiff,NS Subsample Dist,0.27466569174724786
soft_stiff,NS Subsample Dist,0.36058572853937587
soft_stiff,NS Subsample Dist,0.27552851998613614
soft_stiff,NS Subsample Dist,0.28467794730340334
soft_stiff,NS Subsample Dist,0.2653734014166864
soft_stiff,NS Subsample Dist,0.339825767312556
soft_stiff,NS Subsample Dist,0.4025874255100246
soft_stiff,NS Subsample Dist,0.36782899617198206
soft_stiff,NS Subsample Dist,0.34634821700039087
soft_stiff,NS Subsample Dist,0.3506492150214784
soft_stiff,NS Subsample Dist,0.403994483179541
soft_stiff,NS Subsample Dist,0.22228989559964596
soft_stiff,NS Subsample Dist,0.43846009711184974
soft_stiff,NS Subsample Dist,0.2870847048833016
soft_stiff,NS Subsample Dist,0.2917483548004982
soft_stiff,NS Subsample Dist,0.3524429099052657
soft_stiff,NS Subsample Dist,0.29420109642392167
soft_stiff,NS Subsample Dist,0.34997776229607647
soft_stiff,NS Subsample Dist,0.38095677064667255
soft_stiff,NS Subsample Dist,0.38183587701835897
soft_stiff,NS Subsample Dist,0.34980529293837037
soft_stiff,NS Subsample Dist,0.4352377874733109
soft_stiff,NS Subsample Dist,0.3496676166947361
soft_stiff,NS Subsample Dist,0.2735382970411038
soft_stiff,NS Subsample Dist,0.3495715281914702
soft_stiff,NS Subsample Dist,0.4013453979683057
soft_stiff,NS Subsample Dist,0.3596558782179262
soft_stiff,NS Subsample Dist,0.248872723006063
soft_stiff,NS Subsample Dist,0.2630812851832982
soft_stiff,NS Subsample Dist,0.3413343016083532
soft_stiff,NS Subsample Dist,0.46067425288070485
soft_stiff,NS Subsample Dist,0.2091311028510976
soft_stiff,NS Subsample Dist,0.2849117023880283
soft_stiff,NS Subsample Dist,0.26681861321906464
soft_stiff,NS Subsample Dist,0.3739450293296447
soft_stiff,NS Subsample Dist,0.338916164507582
soft_stiff,NS Subsample Dist,0.2667399095007874
soft_stiff,NS Subsample Dist,0.3543811034737008
soft_stiff,NS Subsample Dist,0.33201004995225314
soft_stiff,NS Subsample Dist,0.39316669083775
soft_stiff,NS Subsample Dist,0.31135233165374254
soft_stiff,NS Subsample Dist,0.28055858116180254
soft_stiff,NS Subsample Dist,0.32976668949065835
soft_stiff,NS Subsample Dist,0.28293749254012046
soft_stiff,NS Subsample Dist,0.3586386705542144
soft_stiff,NS Subsample Dist,0.4664893494862652
soft_stiff,NS Subsample Dist,0.2704256937582814
soft_stiff,NS Subsample Dist,0.40909035408900274
soft_stiff,NS Subsample Dist,0.3065024591571621
soft_stiff,NS Subsample Dist,0.22444242470367382
soft_stiff,NS Subsample Dist,0.3396673527495997
soft_stiff,NS Subsample Dist,0.44083680165502814
soft_stiff,NS Subsample Dist,0.3130353643427415
soft_stiff,NS Subsample Dist,0.32192571049851915
soft_stiff,NS Subsample Dist,0.3885391122808479
soft_stiff,NS Subsample Dist,0.27015799605466295
soft_stiff,NS Subsample Dist,0.27074173669467805
soft_stiff,NS Subsample Dist,0.23038175926208115
soft_stiff,NS Subsample Dist,0.22283628361918084
soft_stiff,NS Subsample Dist,0.33403707900992696
soft_stiff,NS Subsample Dist,0.40295703116144943
soft_stiff,NS Subsample Dist,0.20146905439211094
soft_stiff,NS Subsample Dist,0.3298642720676239
soft_stiff,NS Subsample Dist,0.27349907097190984
soft_stiff,NS Subsample Dist,0.24788576998050682
soft_stiff,NS Subsample Dist,0.23635653509980803
soft_stiff,NS Subsample Dist,0.27980971237184793
soft_stiff,NS Subsample Dist,0.4127209438906416
soft_stiff,NS Subsample Dist,0.3853430324949312
soft_stiff,NS Subsample Dist,0.35949100441924164
soft_stiff,NS Subsample Dist,0.3098318182362825
soft_stiff,NS Subsample Dist,0.35873049568329507
soft_stiff,NS Subsample Dist,0.26394623283189955
soft_stiff,NS Subsample Dist,0.38940069987889236
soft_stiff,NS Subsample Dist,0.22802565075487768
soft_stiff,NS Subsample Dist,0.3708814529760689
soft_stiff,NS Subsample Dist,0.3717429597712165
soft_stiff,NS Subsample Dist,0.3249522574378574
soft_stiff,NS Subsample Dist,0.3893086080586081
soft_stiff,NS Subsample Dist,0.2738737617257414
soft_stiff,NS Subsample Dist,0.3212809732863804
soft_stiff,NS Subsample Dist,0.3764402245414904
soft_stiff,NS Subsample Dist,0.2271703042194031
soft_stiff,NS Subsample Dist,0.308981072953582
soft_stiff,NS Subsample Dist,0.4341785088113117
soft_stiff,NS Subsample Dist,0.4054489377069517
soft_stiff,NS Subsample Dist,0.37088117003701515
soft_stiff,NS Subsample Dist,0.25877271520835166
soft_stiff,NS Subsample Dist,0.3447565617993533
soft_stiff,NS Subsample Dist,0.29376581550494607
soft_stiff,NS Subsample Dist,0.266541827406934
soft_stiff,NS Subsample Dist,0.27602774007898034
soft_stiff,NS Subsample Dist,0.26070196240913024
soft_stiff,NS Subsample Dist,0.35978741907853884
soft_stiff,NS Subsample Dist,0.33282716674076696
soft_stiff,NS Random Dist,0.6321718718258686
soft_stiff,NS Random Dist,0.6223287312112669
soft_stiff,NS Random Dist,0.6539496437711836
soft_stiff,NS Random Dist,0.5768477819074713
soft_stiff,NS Random Dist,0.6643779935992227
soft_stiff,NS Random Dist,0.4023405407102718
soft_stiff,NS Random Dist,0.617185312055659
