Comparison,variable,value
CRT35_v_CRT34,NS_pval_dist,0.03593613137762092
CRT35_v_CRT34,NS_pval_dist,0.00743439587475115
CRT35_v_CRT34,NS_pval_dist,0.28950456955837156
CRT35_v_CRT34,NS_pval_dist,0.04961562573399288
CRT35_v_CRT34,NS_pval_dist,0.00033620978538620027
CRT35_v_CRT34,NS_pval_dist,2.1758563641633147e-07
CRT35_v_CRT34,NS_pval_dist,1.6070937679841606e-07
CRT35_v_CRT34,NS_pval_dist,0.00011951648724234196
CRT35_v_CRT34,NS_pval_dist,0.8268967545989556
CRT35_v_CRT34,NS_pval_dist,0.5633576490749412
CRT35_v_CRT34,NS_pval_dist,5.597787450528856e-06
CRT35_v_CRT34,NS_pval_dist,3.299889044305608e-07
CRT35_v_CRT34,NS_pval_dist,1.6647673753991723e-11
CRT35_v_CRT34,NS_pval_dist,0.014798198830421919
CRT35_v_CRT34,NS_pval_dist,0.2752847025742021
CRT35_v_CRT34,NS_pval_dist,0.025937319264657428
CRT35_v_CRT34,NS_pval_dist,0.00022360355775589614
CRT35_v_CRT34,NS_pval_dist,0.13072832653518557
CRT35_v_CRT34,NS_pval_dist,0.000710965371020141
CRT35_v_CRT34,NS_pval_dist,0.7665644247812666
CRT35_v_CRT34,NS_pval_dist,0.0007367051404631699
CRT35_v_CRT34,NS_pval_dist,0.8940631319544825
CRT35_v_CRT34,NS_pval_dist,0.6451008206764677
CRT35_v_CRT34,NS_pval_dist,0.031831743001159304
CRT35_v_CRT34,NS_pval_dist,4.450616625976098e-08
CRT35_v_CRT34,NS_pval_dist,0.04169368953918196
CRT35_v_CRT34,NS_pval_dist,8.954441628483052e-13
CRT35_v_CRT34,NS_pval_dist,1.3389950976614946e-13
CRT35_v_CRT34,NS_pval_dist,3.439233550391124e-14
CRT35_v_CRT34,NS_pval_dist,0.8383355473388268
CRT35_v_CRT34,NS_pval_dist,3.218532115022022e-05
CRT35_v_CRT34,NS_pval_dist,2.5418308012827766e-06
CRT35_v_CRT34,NS_pval_dist,3.891647840513533e-11
CRT35_v_CRT34,NS_pval_dist,2.4728624817072634e-27
CRT35_v_CRT34,NS_pval_dist,4.667750414051864e-07
CRT35_v_CRT34,NS_pval_dist,0.011481705244575428
CRT35_v_CRT34,NS_pval_dist,0.1497605554233568
CRT35_v_CRT34,NS_pval_dist,0.19238775008716802
CRT35_v_CRT34,NS_pval_dist,5.406343078590311e-06
CRT35_v_CRT34,NS_pval_dist,0.1731381503061773
CRT35_v_CRT34,NS_pval_dist,4.085008612129294e-06
CRT35_v_CRT34,NS_pval_dist,0.00027066355968931094
CRT35_v_CRT34,NS_pval_dist,0.5917347427049353
CRT35_v_CRT34,NS_pval_dist,0.056829271871421026
CRT35_v_CRT34,NS_pval_dist,0.0002811267698046309
CRT35_v_CRT34,NS_pval_dist,3.3843157192728103e-09
CRT35_v_CRT34,NS_pval_dist,0.9795320515638306
CRT35_v_CRT34,NS_pval_dist,4.608527338280841e-07
CRT35_v_CRT34,NS_pval_dist,1.0617080997730321e-05
CRT35_v_CRT34,NS_pval_dist,0.5070871586493029
CRT34_v_CRT34drug,NS_pval_dist,0.0012531641033614181
CRT34_v_CRT34drug,NS_pval_dist,0.5070871586493029
CRT34_v_CRT34drug,NS_pval_dist,1.3111113775228703e-15
CRT34_v_CRT34drug,NS_pval_dist,2.9860198436659786e-05
CRT34_v_CRT34drug,NS_pval_dist,2.446853907346142e-21
CRT34_v_CRT34drug,NS_pval_dist,4.905760945401716e-10
CRT34_v_CRT34drug,NS_pval_dist,0.0634886499611221
CRT34_v_CRT34drug,NS_pval_dist,7.090886408303293e-07
CRT34_v_CRT34drug,NS_pval_dist,2.2055345231913926e-20
CRT34_v_CRT34drug,NS_pval_dist,0.001497415899770529
CRT34_v_CRT34drug,NS_pval_dist,5.820643816124032e-10
CRT34_v_CRT34drug,NS_pval_dist,0.17938786098826875
CRT34_v_CRT34drug,NS_pval_dist,0.0002655699074194651
CRT34_v_CRT34drug,NS_pval_dist,0.0017554594391612688
CRT34_v_CRT34drug,NS_pval_dist,0.7871645064163719
CRT34_v_CRT34drug,NS_pval_dist,8.472577878807795e-19
CRT34_v_CRT34drug,NS_pval_dist,1.5061064661910368e-15
CRT34_v_CRT34drug,NS_pval_dist,5.938413979429665e-13
CRT34_v_CRT34drug,NS_pval_dist,8.005912901744115e-18
CRT34_v_CRT34drug,NS_pval_dist,3.142104193351925e-09
CRT34_v_CRT34drug,NS_pval_dist,5.004806292282321e-18
CRT34_v_CRT34drug,NS_pval_dist,9.454764440462676e-07
CRT34_v_CRT34drug,NS_pval_dist,0.37708226150598145
CRT34_v_CRT34drug,NS_pval_dist,5.406343078590311e-06
CRT34_v_CRT34drug,NS_pval_dist,0.00016395058897560435
CRT34_v_CRT34drug,NS_pval_dist,0.00011951648724234196
CRT34_v_CRT34drug,NS_pval_dist,0.9717375498391241
CRT34_v_CRT34drug,NS_pval_dist,2.108368190139229e-23
CRT34_v_CRT34drug,NS_pval_dist,5.528225423249322e-22
CRT34_v_CRT34drug,NS_pval_dist,8.176746360439757e-10
CRT34_v_CRT34drug,NS_pval_dist,5.2211762617860324e-06
CRT34_v_CRT34drug,NS_pval_dist,6.430777713936246e-24
CRT34_v_CRT34drug,NS_pval_dist,8.224884010414658e-20
CRT34_v_CRT34drug,NS_pval_dist,0.11362804365806684
CRT34_v_CRT34drug,NS_pval_dist,0.00675888084402814
CRT34_v_CRT34drug,NS_pval_dist,0.012913417898559274
CRT34_v_CRT34drug,NS_pval_dist,0.21587314314741302
CRT34_v_CRT34drug,NS_pval_dist,0.4717848447031493
CRT34_v_CRT34drug,NS_pval_dist,0.853640162315834
CRT34_v_CRT34drug,NS_pval_dist,3.468179317983564e-05
CRT34_v_CRT34drug,NS_pval_dist,1.5825862492423672e-16
CRT34_v_CRT34drug,NS_pval_dist,0.0034339708196835387
CRT34_v_CRT34drug,NS_pval_dist,0.8117023871766316
CRT34_v_CRT34drug,NS_pval_dist,0.00018792421586294035
CRT34_v_CRT34drug,NS_pval_dist,0.30421095844675183
CRT34_v_CRT34drug,NS_pval_dist,6.251162365852802e-07
CRT34_v_CRT34drug,NS_pval_dist,0.0026419581091474314
CRT34_v_CRT34drug,NS_pval_dist,0.4747998460102033
CRT34_v_CRT34drug,NS_pval_dist,0.7076157001394945
CRT34_v_CRT34drug,NS_pval_dist,1.1963845796982346e-06
CRT35_v_CRT35drug,NS_pval_dist,0.016809143002701
CRT35_v_CRT35drug,NS_pval_dist,0.08255891840495476
CRT35_v_CRT35drug,NS_pval_dist,1.2929981473788066e-08
CRT35_v_CRT35drug,NS_pval_dist,0.0010923657636225622
