Comparison,variable,value
CRT35_v_CRT34,Network Separation,0.008448783407619453
CRT34_v_CRT34drug,Network Separation,0.2789197009886666
CRT35_v_CRT35drug,Network Separation,0.155875458863856
CRT35_v_CRT34,NS Cohen,-3.28046133370512
CRT34_v_CRT34drug,NS Cohen,0.11328411100084183
CRT35_v_CRT35drug,NS Cohen,-1.6413003985448187
CRT35_v_CRT34,IQR Cohen,0.5695106101239513
CRT34_v_CRT34drug,IQR Cohen,-0.1714464231550282
CRT35_v_CRT35drug,IQR Cohen,0.5018348259290468
CRT35_v_CRT34,NS Statistic,9852.0
CRT34_v_CRT34drug,NS Statistic,4660.0
CRT35_v_CRT35drug,NS Statistic,8808.0
CRT35_v_CRT34,NS p,2.049111324311157e-32
CRT34_v_CRT34drug,NS p,0.4068042701198439
CRT35_v_CRT35drug,NS p,1.3627695098623653e-20
CRT35_v_CRT34,IQR Statistic,2365.0
CRT34_v_CRT34drug,IQR Statistic,3538.0
CRT35_v_CRT35drug,IQR Statistic,1013.0
CRT35_v_CRT34,IQR p,1.2177127419285665e-10
CRT34_v_CRT34drug,IQR p,0.00035560343485106804
CRT35_v_CRT35drug,IQR p,2.024161566883109e-22
CRT35_v_CRT34,IQR p_log,9.914455149559412
CRT34_v_CRT34drug,IQR p_log,3.4490340527365246
CRT35_v_CRT35drug,IQR p_log,21.693754825426428
CRT35_v_CRT34,NS p_log,31.688434446566742
CRT34_v_CRT34drug,NS p_log,0.39061449704783735
CRT35_v_CRT35drug,NS p_log,19.865577591751254
CRT35_v_CRT34,NS_FPR,0.0
CRT34_v_CRT34drug,NS_FPR,0.84
CRT35_v_CRT35drug,NS_FPR,0.02
CRT35_v_CRT34,IQR_FPR,0.04
CRT34_v_CRT34drug,IQR_FPR,0.24
CRT35_v_CRT35drug,IQR_FPR,0.0
