Comparison,variable,value
CRT35_v_CRT34,NS Subsample Dist,0.13623491196120896
CRT35_v_CRT34,NS Subsample Dist,0.10476458239616115
CRT35_v_CRT34,NS Subsample Dist,0.022004387591150643
CRT35_v_CRT34,NS Subsample Dist,0.09667446074474983
CRT35_v_CRT34,NS Subsample Dist,0.0574977601743456
CRT35_v_CRT34,NS Subsample Dist,0.09710298205714363
CRT35_v_CRT34,NS Subsample Dist,0.1356923210189389
CRT35_v_CRT34,NS Subsample Dist,0.08716846272775602
CRT35_v_CRT34,NS Subsample Dist,0.07578278263010074
CRT35_v_CRT34,NS Subsample Dist,0.11684583054884445
CRT35_v_CRT34,NS Subsample Dist,0.02417178540019327
CRT35_v_CRT34,NS Subsample Dist,0.0575385865826461
CRT35_v_CRT34,NS Subsample Dist,0.015558830787874234
CRT35_v_CRT34,NS Subsample Dist,0.05808706386867346
CRT35_v_CRT34,NS Subsample Dist,0.07683450724512442
CRT35_v_CRT34,NS Subsample Dist,0.049020901879795575
CRT35_v_CRT34,NS Subsample Dist,0.03242675727306921
CRT35_v_CRT34,NS Subsample Dist,0.18036375180192588
CRT35_v_CRT34,NS Subsample Dist,0.1136380036288902
CRT35_v_CRT34,NS Subsample Dist,0.08417195426246327
CRT35_v_CRT34,NS Subsample Dist,0.07982135506198595
CRT35_v_CRT34,NS Subsample Dist,0.10813351064977228
CRT35_v_CRT34,NS Subsample Dist,0.036258103997170554
CRT35_v_CRT34,NS Subsample Dist,0.052109755005818714
CRT35_v_CRT34,NS Subsample Dist,0.06782404397685404
CRT35_v_CRT34,NS Subsample Dist,0.055756806907455214
CRT35_v_CRT34,NS Subsample Dist,0.023977562149191334
CRT35_v_CRT34,NS Subsample Dist,0.09985443022704898
CRT35_v_CRT34,NS Subsample Dist,0.09345126892650879
CRT35_v_CRT34,NS Subsample Dist,0.037088748948493455
CRT35_v_CRT34,NS Subsample Dist,0.019400076158406998
CRT35_v_CRT34,NS Subsample Dist,0.05528705369253473
CRT35_v_CRT34,NS Subsample Dist,0.10573336532811384
CRT35_v_CRT34,NS Subsample Dist,0.025539380926385746
CRT35_v_CRT34,NS Subsample Dist,0.033972905742025716
CRT35_v_CRT34,NS Subsample Dist,0.09160047901634982
CRT35_v_CRT34,NS Subsample Dist,0.07024627295439512
CRT35_v_CRT34,NS Subsample Dist,0.13601176171223384
CRT35_v_CRT34,NS Subsample Dist,0.07693815987933617
CRT35_v_CRT34,NS Subsample Dist,0.08192596277619679
CRT35_v_CRT34,NS Subsample Dist,0.06582633405843796
CRT35_v_CRT34,NS Subsample Dist,0.0334476380969837
CRT35_v_CRT34,NS Subsample Dist,0.039315237780661816
CRT35_v_CRT34,NS Subsample Dist,0.059484156856860926
CRT35_v_CRT34,NS Subsample Dist,0.05323511453276897
CRT35_v_CRT34,NS Subsample Dist,0.07011674748114616
CRT35_v_CRT34,NS Subsample Dist,0.11015987143446893
CRT35_v_CRT34,NS Subsample Dist,0.11578615947053694
