Comparison,variable,value
CRT34_v_A375,NS_pval_dist,0.06852383782197251
CRT34_v_A375,NS_pval_dist,0.007654101554906155
CRT34_v_A375,NS_pval_dist,0.0003148357167386354
CRT34_v_A375,NS_pval_dist,0.006093558186915948
CRT34_v_A375,NS_pval_dist,0.643348458724508
CRT34_v_A375,NS_pval_dist,0.1560777362816081
CRT34_v_A375,NS_pval_dist,1.38664445053773e-06
CRT34_v_A375,NS_pval_dist,0.002931548077864092
CRT34_v_A375,NS_pval_dist,5.931363450182417e-06
CRT34_v_A375,NS_pval_dist,7.639366276621679e-12
CRT34_v_A375,NS_pval_dist,1.178417411190413e-19
CRT34_v_A375,NS_pval_dist,0.0004649884310517811
CRT34_v_A375,NS_pval_dist,0.1532455793808323
CRT34_v_A375,NS_pval_dist,0.20344990527873452
CRT34_v_A375,NS_pval_dist,0.00016395058897560435
CRT34_v_A375,NS_pval_dist,0.2720720693312323
CRT34_v_A375,NS_pval_dist,0.23745238444310246
CRT34_v_A375,NS_pval_dist,0.026764730483947615
CRT34_v_A375,NS_pval_dist,7.494611614508473e-11
CRT34_v_A375,NS_pval_dist,0.01760835837271116
CRT34_v_A375,NS_pval_dist,0.27636131078465165
CRT34_v_A375,NS_pval_dist,4.356179974491011e-22
CRT34_v_A375,NS_pval_dist,1.5671180485680479e-06
CRT34_v_A375,NS_pval_dist,8.796530219532901e-13
CRT34_v_A375,NS_pval_dist,0.28288121265383315
CRT34_v_A375,NS_pval_dist,0.16481250437398054
CRT34_v_A375,NS_pval_dist,6.382650555767866e-14
CRT34_v_A375,NS_pval_dist,1.231784773167216e-07
CRT34_v_A375,NS_pval_dist,2.04701746253798e-06
CRT34_v_A375,NS_pval_dist,4.329487928071491e-08
CRT34_v_A375,NS_pval_dist,9.046039698239723e-08
CRT34_v_A375,NS_pval_dist,6.444854672682564e-08
CRT34_v_A375,NS_pval_dist,1.3496474742800245e-08
CRT34_v_A375,NS_pval_dist,4.154321779083958e-26
CRT34_v_A375,NS_pval_dist,0.0014477531130725374
CRT34_v_A375,NS_pval_dist,1.706347192404751e-14
CRT34_v_A375,NS_pval_dist,0.0003866642474877251
CRT34_v_A375,NS_pval_dist,2.8942802745252505e-08
CRT34_v_A375,NS_pval_dist,0.07874439489089179
CRT34_v_A375,NS_pval_dist,0.5934242336531825
CRT34_v_A375,NS_pval_dist,0.00010706645374200521
CRT34_v_A375,NS_pval_dist,4.3073560912682475e-18
CRT34_v_A375,NS_pval_dist,1.6771929751350863e-05
CRT34_v_A375,NS_pval_dist,1.0313734348075294e-06
CRT34_v_A375,NS_pval_dist,0.21048358861102923
CRT34_v_A375,NS_pval_dist,0.7890448884723166
CRT34_v_A375,NS_pval_dist,1.9588940656834238e-07
CRT34_v_A375,NS_pval_dist,0.0012531641033614181
CRT34_v_A375,NS_pval_dist,6.198389986945296e-18
CRT34_v_A375,NS_pval_dist,0.0005188448055070472
CRT35_v_A375,NS_pval_dist,1.7146001688570448e-05
CRT35_v_A375,NS_pval_dist,0.9990252291079427
CRT35_v_A375,NS_pval_dist,3.1226680014912184e-23
CRT35_v_A375,NS_pval_dist,2.2486295770036248e-08
CRT35_v_A375,NS_pval_dist,1.126714460426848e-19
CRT35_v_A375,NS_pval_dist,4.681652419484007e-10
CRT35_v_A375,NS_pval_dist,3.696696377818654e-05
CRT35_v_A375,NS_pval_dist,0.0634886499611221
CRT35_v_A375,NS_pval_dist,1.6091106285606937e-13
CRT35_v_A375,NS_pval_dist,3.129907337623457e-14
CRT35_v_A375,NS_pval_dist,1.2930959378280727e-11
CRT35_v_A375,NS_pval_dist,0.00034256160255892036
CRT35_v_A375,NS_pval_dist,2.104967893613893e-11
CRT35_v_A375,NS_pval_dist,0.015617518683048639
CRT35_v_A375,NS_pval_dist,5.832903162477635e-13
CRT35_v_A375,NS_pval_dist,1.7325137420147556e-10
CRT35_v_A375,NS_pval_dist,4.180763401913262e-15
CRT35_v_A375,NS_pval_dist,6.367605626613921e-11
CRT35_v_A375,NS_pval_dist,0.1560777362816081
CRT35_v_A375,NS_pval_dist,0.2503026951213584
CRT35_v_A375,NS_pval_dist,9.426250363564863e-09
CRT35_v_A375,NS_pval_dist,2.2486295770036248e-08
CRT35_v_A375,NS_pval_dist,0.00020306487391525945
CRT35_v_A375,NS_pval_dist,0.00016556270914424217
CRT35_v_A375,NS_pval_dist,0.358884607038336
CRT35_v_A375,NS_pval_dist,5.4542621873088256e-05
CRT35_v_A375,NS_pval_dist,6.241413016599734e-05
CRT35_v_A375,NS_pval_dist,0.802241407574119
CRT35_v_A375,NS_pval_dist,0.06596666177209563
CRT35_v_A375,NS_pval_dist,0.057467923185599144
CRT35_v_A375,NS_pval_dist,0.008716490841559921
CRT35_v_A375,NS_pval_dist,3.446154641468221e-24
CRT35_v_A375,NS_pval_dist,0.321786085060103
CRT35_v_A375,NS_pval_dist,1.6046989241810055e-05
CRT35_v_A375,NS_pval_dist,4.241808262043799e-05
CRT35_v_A375,NS_pval_dist,1.3602573183423358e-11
CRT35_v_A375,NS_pval_dist,1.5870477014744547e-05
CRT35_v_A375,NS_pval_dist,8.319348485595564e-12
CRT35_v_A375,NS_pval_dist,0.12522005048293378
CRT35_v_A375,NS_pval_dist,0.12106227061307948
CRT35_v_A375,NS_pval_dist,0.34999641268090165
CRT35_v_A375,NS_pval_dist,2.5680167479936855e-05
CRT35_v_A375,NS_pval_dist,0.09017217365092015
CRT35_v_A375,NS_pval_dist,4.5884752541755516e-11
CRT35_v_A375,NS_pval_dist,2.4592106977133438e-05
