Comparison,variable,value
CRT34_v_A375,Network Separation,0.09359070876188813
CRT35_v_A375,Network Separation,0.033353070200300206
CRT34_v_A375,NS Cohen,-4.130056773429209
CRT35_v_A375,NS Cohen,-3.4919689854290965
CRT34_v_A375,IQR Cohen,1.624747047209014
CRT35_v_A375,IQR Cohen,0.08687261656405867
CRT34_v_A375,NS Statistic,9939.0
CRT35_v_A375,NS Statistic,9948.0
CRT34_v_A375,NS p,1.5840426755453e-33
CRT35_v_A375,NS p,1.2123851247621634e-33
CRT34_v_A375,IQR Statistic,762.0
CRT35_v_A375,IQR Statistic,2750.0
CRT34_v_A375,IQR p,4.0194450383001086e-25
CRT35_v_A375,IQR p,3.876154820130671e-08
CRT34_v_A375,IQR p_log,24.39583390548311
CRT35_v_A375,IQR p_log,7.411598884824154
CRT34_v_A375,NS p_log,32.80023312230197
CRT35_v_A375,NS p_log,32.91635940080437
CRT34_v_A375,NS_FPR,0.0
CRT35_v_A375,NS_FPR,0.0
CRT34_v_A375,IQR_FPR,0.0
CRT35_v_A375,IQR_FPR,0.04
