Comparison,variable,value
CRT34_v_A375,NS Subsample Dist,0.13338159022776153
CRT34_v_A375,NS Subsample Dist,0.16111278397334816
CRT34_v_A375,NS Subsample Dist,0.1484615228538646
CRT34_v_A375,NS Subsample Dist,0.15291262135922334
CRT34_v_A375,NS Subsample Dist,0.07130445312263478
CRT34_v_A375,NS Subsample Dist,0.18685972148240815
CRT34_v_A375,NS Subsample Dist,0.122922434246443
CRT34_v_A375,NS Subsample Dist,0.1325188642130002
CRT34_v_A375,NS Subsample Dist,0.10157328580251268
CRT34_v_A375,NS Subsample Dist,0.15315210647140298
CRT34_v_A375,NS Subsample Dist,0.19046826620899204
CRT34_v_A375,NS Subsample Dist,0.1279177677858474
CRT34_v_A375,NS Subsample Dist,0.08587826334747861
CRT34_v_A375,NS Subsample Dist,0.07326538715390774
CRT34_v_A375,NS Subsample Dist,0.15198917519247934
CRT34_v_A375,NS Subsample Dist,0.12612639702611883
CRT34_v_A375,NS Subsample Dist,0.10488505534269499
CRT34_v_A375,NS Subsample Dist,0.09887198575011347
CRT34_v_A375,NS Subsample Dist,0.15199507969940163
CRT34_v_A375,NS Subsample Dist,0.11028870695935233
CRT34_v_A375,NS Subsample Dist,0.20096098547530494
CRT34_v_A375,NS Subsample Dist,0.2393933517876723
CRT34_v_A375,NS Subsample Dist,0.20062731786293897
CRT34_v_A375,NS Subsample Dist,0.10041767066969642
CRT34_v_A375,NS Subsample Dist,0.0639733690963109
CRT34_v_A375,NS Subsample Dist,0.11696763194379822
CRT34_v_A375,NS Subsample Dist,0.16661508552077953
CRT34_v_A375,NS Subsample Dist,0.15396447279863246
CRT34_v_A375,NS Subsample Dist,0.2020509665179715
CRT34_v_A375,NS Subsample Dist,0.4165972445708186
CRT34_v_A375,NS Subsample Dist,0.15278830768149154
CRT34_v_A375,NS Subsample Dist,0.13370706790362896
CRT34_v_A375,NS Subsample Dist,0.11952825215102592
CRT34_v_A375,NS Subsample Dist,0.07886618967440251
CRT34_v_A375,NS Subsample Dist,0.13935821971981643
CRT34_v_A375,NS Subsample Dist,0.13646528462030183
CRT34_v_A375,NS Subsample Dist,0.05520478296213582
CRT34_v_A375,NS Subsample Dist,0.11949392556331828
CRT34_v_A375,NS Subsample Dist,0.13816886654095972
CRT34_v_A375,NS Subsample Dist,0.07697330082198506
CRT34_v_A375,NS Subsample Dist,0.15161696901104116
CRT34_v_A375,NS Subsample Dist,0.1356239057877977
CRT34_v_A375,NS Subsample Dist,0.07737436282327925
CRT34_v_A375,NS Subsample Dist,0.17341106165422993
CRT34_v_A375,NS Subsample Dist,0.17821104744059513
CRT34_v_A375,NS Subsample Dist,0.038629798385895864
CRT34_v_A375,NS Subsample Dist,0.11511615975522727
CRT34_v_A375,NS Subsample Dist,0.1454974977467416
CRT34_v_A375,NS Subsample Dist,0.2111340661643617
CRT34_v_A375,NS Subsample Dist,0.09646611400132499
CRT34_v_A375,NS Subsample Dist,0.33331730762584844
CRT34_v_A375,NS Subsample Dist,0.09014451818220892
CRT34_v_A375,NS Subsample Dist,0.06781749044569763
CRT34_v_A375,NS Subsample Dist,0.15534267171949878
CRT34_v_A375,NS Subsample Dist,0.09026696981716009
CRT34_v_A375,NS Subsample Dist,0.1289543394227184
CRT34_v_A375,NS Subsample Dist,0.1870044409751599
CRT34_v_A375,NS Subsample Dist,0.16275326439694782
CRT34_v_A375,NS Subsample Dist,0.1486889955164905
CRT34_v_A375,NS Subsample Dist,0.2058949860378363
CRT34_v_A375,NS Subsample Dist,0.08893585089428457
CRT34_v_A375,NS Subsample Dist,0.1835737300944964
CRT34_v_A375,NS Subsample Dist,0.10941393213489059
CRT34_v_A375,NS Subsample Dist,0.0843560219366859
CRT34_v_A375,NS Subsample Dist,0.15998964351985712
CRT34_v_A375,NS Subsample Dist,0.16230378829668024
CRT34_v_A375,NS Subsample Dist,0.3743605344786447
CRT34_v_A375,NS Subsample Dist,0.09023308252600315
CRT34_v_A375,NS Subsample Dist,0.11464722345107448
CRT34_v_A375,NS Subsample Dist,0.13630586573309067
CRT34_v_A375,NS Subsample Dist,0.18303887400118124
CRT34_v_A375,NS Subsample Dist,0.0993217582174637
CRT34_v_A375,NS Subsample Dist,0.06444199725417166
CRT34_v_A375,NS Subsample Dist,0.07642405810197528
CRT34_v_A375,NS Subsample Dist,0.11324652262819934
CRT34_v_A375,NS Subsample Dist,0.11828140902099227
CRT34_v_A375,NS Subsample Dist,0.11504065040650402
CRT34_v_A375,NS Subsample Dist,0.10312235989862018
CRT34_v_A375,NS Subsample Dist,0.13608577469042604
CRT34_v_A375,NS Subsample Dist,0.13301426267744
CRT34_v_A375,NS Subsample Dist,0.1163451132593547
CRT34_v_A375,NS Subsample Dist,0.1798964057608623
CRT34_v_A375,NS Subsample Dist,0.12668230760642096
CRT34_v_A375,NS Subsample Dist,0.11296813207737988
CRT34_v_A375,NS Subsample Dist,0.09302464385769804
CRT34_v_A375,NS Subsample Dist,0.1499070541769305
CRT34_v_A375,NS Subsample Dist,0.07235775284128754
CRT34_v_A375,NS Subsample Dist,0.19910040265021722
CRT34_v_A375,NS Subsample Dist,0.10737382597465994
CRT34_v_A375,NS Subsample Dist,0.22385047368674837
CRT34_v_A375,NS Subsample Dist,0.23478216723530032
CRT34_v_A375,NS Subsample Dist,0.11537693774720426
CRT34_v_A375,NS Subsample Dist,0.14786650748649333
CRT34_v_A375,NS Subsample Dist,0.06956180773854848
CRT34_v_A375,NS Subsample Dist,0.06845738161718606
CRT34_v_A375,NS Subsample Dist,0.18890269722912634
CRT34_v_A375,NS Subsample Dist,0.09932158762855736
CRT34_v_A375,NS Subsample Dist,0.14640880142988522
CRT34_v_A375,NS Subsample Dist,0.2403163078505859
CRT34_v_A375,NS Subsample Dist,0.21279031749644695
CRT35_v_A375,NS Subsample Dist,0.015097082657776317
CRT35_v_A375,NS Subsample Dist,0.14086459428937315
CRT35_v_A375,NS Subsample Dist,-0.008118437362014674
CRT35_v_A375,NS Subsample Dist,0.09458736274498114
CRT35_v_A375,NS Subsample Dist,0.16178997844925314
CRT35_v_A375,NS Subsample Dist,0.12597601056628283
CRT35_v_A375,NS Subsample Dist,0.09165325810198222
CRT35_v_A375,NS Subsample Dist,0.19402379324543317
CRT35_v_A375,NS Subsample Dist,0.13641201654383983
CRT35_v_A375,NS Subsample Dist,0.15381065240642244
CRT35_v_A375,NS Subsample Dist,0.04573249631926668
CRT35_v_A375,NS Subsample Dist,0.144106906318912
CRT35_v_A375,NS Subsample Dist,0.17705082845297637
CRT35_v_A375,NS Subsample Dist,0.18907378192739754
CRT35_v_A375,NS Subsample Dist,0.17783849070885926
