Comparison,variable,value
CRT34_v_4-11,NS_pval_dist,0.0012531641033614181
CRT34_v_4-11,NS_pval_dist,2.864394902081406e-06
CRT34_v_4-11,NS_pval_dist,0.014898498266527825
CRT34_v_4-11,NS_pval_dist,1.0858975749936168e-05
CRT34_v_4-11,NS_pval_dist,1.0612132754195215e-09
CRT34_v_4-11,NS_pval_dist,0.6311378610429
CRT34_v_4-11,NS_pval_dist,3.18915552059438e-09
CRT34_v_4-11,NS_pval_dist,0.0002811267698046309
CRT34_v_4-11,NS_pval_dist,0.29963399966443016
CRT34_v_4-11,NS_pval_dist,3.0714099498635964e-14
CRT34_v_4-11,NS_pval_dist,0.0023981038386860862
CRT34_v_4-11,NS_pval_dist,0.8670772459715413
CRT34_v_4-11,NS_pval_dist,1.3338186743847272e-09
CRT34_v_4-11,NS_pval_dist,0.43643970510105246
CRT34_v_4-11,NS_pval_dist,9.112357148703227e-05
CRT34_v_4-11,NS_pval_dist,0.4235892177260626
CRT34_v_4-11,NS_pval_dist,0.7076157001394945
CRT34_v_4-11,NS_pval_dist,0.3797276039463664
CRT34_v_4-11,NS_pval_dist,0.11989439052971619
CRT34_v_4-11,NS_pval_dist,0.07309681167608911
CRT34_v_4-11,NS_pval_dist,0.31585548722984635
CRT34_v_4-11,NS_pval_dist,0.5584188665370016
CRT34_v_4-11,NS_pval_dist,0.0007908010240586223
CRT34_v_4-11,NS_pval_dist,0.002037038169396453
CRT34_v_4-11,NS_pval_dist,7.93874703995548e-07
CRT34_v_4-11,NS_pval_dist,6.17266935189311e-07
CRT34_v_4-11,NS_pval_dist,4.849857137401802e-07
CRT34_v_4-11,NS_pval_dist,1.6647673753991723e-11
CRT34_v_4-11,NS_pval_dist,6.805783611771366e-08
CRT34_v_4-11,NS_pval_dist,0.0015228315477654574
CRT34_v_4-11,NS_pval_dist,0.24135569121181089
CRT34_v_4-11,NS_pval_dist,5.865610176270625e-05
CRT34_v_4-11,NS_pval_dist,0.1204772228303031
CRT34_v_4-11,NS_pval_dist,1.6387918762223936e-25
CRT34_v_4-11,NS_pval_dist,5.017638760562268e-05
CRT34_v_4-11,NS_pval_dist,5.234845226493466e-07
CRT34_v_4-11,NS_pval_dist,0.03383074785101314
CRT34_v_4-11,NS_pval_dist,5.5859418725308365e-09
CRT34_v_4-11,NS_pval_dist,0.0005048607844422627
CRT34_v_4-11,NS_pval_dist,0.7834074729414255
CRT34_v_4-11,NS_pval_dist,0.9931766852280953
CRT34_v_4-11,NS_pval_dist,4.182061569278096e-06
CRT34_v_4-11,NS_pval_dist,0.002020367455801542
CRT34_v_4-11,NS_pval_dist,8.839570537855716e-05
CRT34_v_4-11,NS_pval_dist,0.0022289305686276563
CRT34_v_4-11,NS_pval_dist,3.708172140950044e-14
CRT34_v_4-11,NS_pval_dist,2.066284940154391e-05
CRT34_v_4-11,NS_pval_dist,0.3999293200655857
CRT34_v_4-11,NS_pval_dist,1.283160793659201e-18
CRT34_v_4-11,NS_pval_dist,0.03144433244507643
CRT34_v_2-18,NS_pval_dist,0.7461280495108832
CRT34_v_2-18,NS_pval_dist,0.8459805909058978
CRT34_v_2-18,NS_pval_dist,3.018318228491984e-10
CRT34_v_2-18,NS_pval_dist,0.03769994261714362
CRT34_v_2-18,NS_pval_dist,6.952376584135165e-17
CRT34_v_2-18,NS_pval_dist,3.480143481909753e-20
CRT34_v_2-18,NS_pval_dist,0.0003060706238289137
CRT34_v_2-18,NS_pval_dist,2.479865630380161e-07
CRT34_v_2-18,NS_pval_dist,2.3664251677120005e-09
CRT34_v_2-18,NS_pval_dist,0.29963399966443016
