Comparison,variable,value
CRT34_v_4-11,Network Separation,0.08667081246631314
CRT34_v_2-18,Network Separation,-0.025716614358118894
CRT35_v_4-11,Network Separation,0.0779714560267657
CRT35_v_2-18,Network Separation,0.0047601359739781746
CRT34_v_4-11,NS Cohen,-3.7887165749019394
CRT34_v_2-18,NS Cohen,-4.584562798692402
CRT35_v_4-11,NS Cohen,-4.2418299705291105
CRT35_v_2-18,NS Cohen,-3.502935998069931
CRT34_v_4-11,IQR Cohen,1.1229068088890843
CRT34_v_2-18,IQR Cohen,1.2945267910327267
CRT35_v_4-11,IQR Cohen,0.6259377886977281
CRT35_v_2-18,IQR Cohen,0.6840659178282337
CRT34_v_4-11,NS Statistic,9965.0
CRT34_v_2-18,NS Statistic,9989.0
CRT35_v_4-11,NS Statistic,9993.0
CRT35_v_2-18,NS Statistic,9963.0
CRT34_v_4-11,NS p,7.30670741953597e-34
CRT34_v_2-18,NS p,3.564352686139979e-34
CRT35_v_4-11,NS p,3.1614009124474834e-34
CRT35_v_2-18,NS p,7.755917204836392e-34
CRT34_v_4-11,IQR Statistic,2231.0
CRT34_v_2-18,IQR Statistic,926.0
CRT35_v_4-11,IQR Statistic,3661.0
CRT35_v_2-18,IQR Statistic,4258.0
CRT34_v_4-11,IQR p,1.3374991222999116e-11
CRT34_v_2-18,IQR p,2.443378548790298e-23
CRT35_v_4-11,IQR p,0.001073666427048903
CRT35_v_2-18,IQR p,0.0700213003206784
CRT34_v_4-11,IQR p_log,10.873706494301448
CRT34_v_2-18,IQR p_log,22.6120092432538
CRT35_v_4-11,IQR p_log,2.969130626824545
CRT35_v_2-18,IQR p_log,1.154769828491698
CRT34_v_4-11,NS p_log,33.13627828264042
CRT34_v_2-18,NS p_log,33.4480193298691
CRT35_v_4-11,NS p_log,33.500120425696934
CRT35_v_2-18,NS p_log,33.110366835704035
CRT34_v_4-11,NS_FPR,0.0
CRT34_v_2-18,NS_FPR,0.0
CRT35_v_4-11,NS_FPR,0.0
CRT35_v_2-18,NS_FPR,0.0
CRT34_v_4-11,IQR_FPR,0.0
CRT34_v_2-18,IQR_FPR,0.0
CRT35_v_4-11,IQR_FPR,0.38
CRT35_v_2-18,IQR_FPR,0.54
