Comparison,variable,value
CRT34_v_4-11,NS Subsample Dist,0.19713589449788982
CRT34_v_4-11,NS Subsample Dist,0.15182479312885033
CRT34_v_4-11,NS Subsample Dist,0.1763401435798948
CRT34_v_4-11,NS Subsample Dist,0.1877342084547613
CRT34_v_4-11,NS Subsample Dist,0.11459432020452076
CRT34_v_4-11,NS Subsample Dist,0.0976047647179521
CRT34_v_4-11,NS Subsample Dist,0.09289861361169138
CRT34_v_4-11,NS Subsample Dist,0.16257008098632442
CRT34_v_4-11,NS Subsample Dist,0.12340409458161727
CRT34_v_4-11,NS Subsample Dist,0.07175724188707666
CRT34_v_4-11,NS Subsample Dist,0.1569523131957069
CRT34_v_4-11,NS Subsample Dist,0.14669518020616734
CRT34_v_4-11,NS Subsample Dist,0.14192636252792723
CRT34_v_4-11,NS Subsample Dist,0.19161300329279252
CRT34_v_4-11,NS Subsample Dist,0.13983647939011767
CRT34_v_4-11,NS Subsample Dist,0.08594322260180509
CRT34_v_4-11,NS Subsample Dist,0.12975015428188308
CRT34_v_4-11,NS Subsample Dist,0.19912788824476135
CRT34_v_4-11,NS Subsample Dist,0.20398601403031336
CRT34_v_4-11,NS Subsample Dist,0.13547619143949752
CRT34_v_4-11,NS Subsample Dist,0.20808669925256762
CRT34_v_4-11,NS Subsample Dist,0.06757363505747116
CRT34_v_4-11,NS Subsample Dist,0.16043439618847088
CRT34_v_4-11,NS Subsample Dist,0.07928579252718326
CRT34_v_4-11,NS Subsample Dist,0.12938044174799757
CRT34_v_4-11,NS Subsample Dist,0.14929133366633351
CRT34_v_4-11,NS Subsample Dist,0.27985470611008645
CRT34_v_4-11,NS Subsample Dist,0.2611115758738589
CRT34_v_4-11,NS Subsample Dist,0.16742062138788305
CRT34_v_4-11,NS Subsample Dist,0.1684930706944876
CRT34_v_4-11,NS Subsample Dist,0.25018763307969016
CRT34_v_4-11,NS Subsample Dist,0.15314293891777941
CRT34_v_4-11,NS Subsample Dist,0.1212681874331416
CRT34_v_4-11,NS Subsample Dist,0.18440756738482822
CRT34_v_4-11,NS Subsample Dist,0.18617976321720664
CRT34_v_4-11,NS Subsample Dist,0.13718234175680744
CRT34_v_4-11,NS Subsample Dist,0.1429491187223706
CRT34_v_4-11,NS Subsample Dist,0.13072334899236604
CRT34_v_4-11,NS Subsample Dist,0.16293662564938738
CRT34_v_4-11,NS Subsample Dist,0.18190090490916866
CRT34_v_4-11,NS Subsample Dist,0.15698401213262536
CRT34_v_4-11,NS Subsample Dist,0.1382792477856214
CRT34_v_4-11,NS Subsample Dist,0.2441730383742038
CRT34_v_4-11,NS Subsample Dist,0.18311020184707938
CRT34_v_4-11,NS Subsample Dist,0.06895141220948986
CRT34_v_4-11,NS Subsample Dist,0.21352361971246991
CRT34_v_4-11,NS Subsample Dist,0.14523313907938706
CRT34_v_4-11,NS Subsample Dist,0.11374475994275146
CRT34_v_4-11,NS Subsample Dist,0.13668318498411303
CRT34_v_4-11,NS Subsample Dist,0.17003437304180147
CRT34_v_4-11,NS Subsample Dist,0.20831065773178636
CRT34_v_4-11,NS Subsample Dist,0.18938775510204064
CRT34_v_4-11,NS Subsample Dist,0.1312370418623321
CRT34_v_4-11,NS Subsample Dist,0.11497343212093991
CRT34_v_4-11,NS Subsample Dist,0.09403824716870224
CRT34_v_4-11,NS Subsample Dist,0.15243254032263542
CRT34_v_4-11,NS Subsample Dist,0.13281360834769607
CRT34_v_4-11,NS Subsample Dist,0.15218430111925518
CRT34_v_4-11,NS Subsample Dist,0.11187954443393444
CRT34_v_4-11,NS Subsample Dist,0.11474093984546063
CRT34_v_4-11,NS Subsample Dist,0.1344864555570613
CRT34_v_4-11,NS Subsample Dist,0.12908324357595813
CRT34_v_4-11,NS Subsample Dist,0.16930411240828902
CRT34_v_4-11,NS Subsample Dist,0.12646231112123196
CRT34_v_4-11,NS Subsample Dist,0.13724258133894418
CRT34_v_4-11,NS Subsample Dist,0.23270618852291824
CRT34_v_4-11,NS Subsample Dist,0.16287878787878807
CRT34_v_4-11,NS Subsample Dist,0.1576652782701169
CRT34_v_4-11,NS Subsample Dist,0.20054751284317374
CRT34_v_4-11,NS Subsample Dist,0.14983467209994195
CRT34_v_4-11,NS Subsample Dist,0.151811414247236
CRT34_v_4-11,NS Subsample Dist,0.18862956102147366
CRT34_v_4-11,NS Subsample Dist,0.11846305012757719
CRT34_v_4-11,NS Subsample Dist,0.1454540350202862
CRT34_v_4-11,NS Subsample Dist,0.15132396414039695
CRT34_v_4-11,NS Subsample Dist,0.1589259677772108
CRT34_v_4-11,NS Subsample Dist,0.12910227523641526
CRT34_v_4-11,NS Subsample Dist,0.10534127816282712
CRT34_v_4-11,NS Subsample Dist,0.08705899566026098
CRT34_v_4-11,NS Subsample Dist,0.15862144430104608
CRT34_v_4-11,NS Subsample Dist,0.206516529303028
CRT34_v_4-11,NS Subsample Dist,0.18517573563351353
CRT34_v_4-11,NS Subsample Dist,0.14545466273923457
CRT34_v_4-11,NS Subsample Dist,0.25590422557013115
CRT34_v_4-11,NS Subsample Dist,0.16965658832534158
CRT34_v_4-11,NS Subsample Dist,0.16545219638242892
CRT34_v_4-11,NS Subsample Dist,0.13296947159354233
CRT34_v_4-11,NS Subsample Dist,0.11048924552452721
CRT34_v_4-11,NS Subsample Dist,0.12645809782204953
CRT34_v_4-11,NS Subsample Dist,0.14640877966563082
CRT34_v_4-11,NS Subsample Dist,0.1747953471062953
CRT34_v_4-11,NS Subsample Dist,0.08286426198640551
CRT34_v_4-11,NS Subsample Dist,0.12191055739645673
CRT34_v_4-11,NS Subsample Dist,0.12645909717982629
CRT34_v_4-11,NS Subsample Dist,0.050968110575717596
CRT34_v_4-11,NS Subsample Dist,0.16567230880956374
CRT34_v_4-11,NS Subsample Dist,0.10949039912194536
CRT34_v_4-11,NS Subsample Dist,0.11917707694392465
CRT34_v_4-11,NS Subsample Dist,0.1000736689587498
CRT34_v_4-11,NS Subsample Dist,0.12660137969239416
CRT34_v_2-18,NS Subsample Dist,0.046254502576722256
CRT34_v_2-18,NS Subsample Dist,0.06284347267568369
CRT34_v_2-18,NS Subsample Dist,0.010501907541715205
CRT34_v_2-18,NS Subsample Dist,0.05049623699626293
CRT34_v_2-18,NS Subsample Dist,0.03476759166904153
CRT34_v_2-18,NS Subsample Dist,0.07483681432537703
CRT34_v_2-18,NS Subsample Dist,0.06909722222222237
