Comparison,variable,value
4-11_v_A375,NS_pval_dist,4.380288216491539e-19
4-11_v_A375,NS_pval_dist,6.045797903079287e-13
4-11_v_A375,NS_pval_dist,6.533884966513985e-15
4-11_v_A375,NS_pval_dist,0.001614947973831225
4-11_v_A375,NS_pval_dist,0.8555572425669135
4-11_v_A375,NS_pval_dist,0.22694888246472467
4-11_v_A375,NS_pval_dist,0.01318185390361583
4-11_v_A375,NS_pval_dist,0.033422573730036965
4-11_v_A375,NS_pval_dist,0.00010080194462220556
4-11_v_A375,NS_pval_dist,0.6734012666087617
4-11_v_A375,NS_pval_dist,9.058529775212367e-12
4-11_v_A375,NS_pval_dist,0.05192972502689164
4-11_v_A375,NS_pval_dist,7.38289573965306e-12
4-11_v_A375,NS_pval_dist,0.00031188823874464864
4-11_v_A375,NS_pval_dist,2.7368475617910366e-08
4-11_v_A375,NS_pval_dist,7.905156467939652e-06
4-11_v_A375,NS_pval_dist,0.6931327213563807
4-11_v_A375,NS_pval_dist,0.321786085060103
4-11_v_A375,NS_pval_dist,3.5198797183809407e-07
4-11_v_A375,NS_pval_dist,0.0012966441323298433
4-11_v_A375,NS_pval_dist,0.08127110497427777
4-11_v_A375,NS_pval_dist,0.06245044523295058
4-11_v_A375,NS_pval_dist,3.359015228977957e-05
4-11_v_A375,NS_pval_dist,0.0013529516343376827
4-11_v_A375,NS_pval_dist,3.004121101685687e-06
4-11_v_A375,NS_pval_dist,0.009838899011825625
4-11_v_A375,NS_pval_dist,0.462803477720954
4-11_v_A375,NS_pval_dist,1.2373649294473853e-21
4-11_v_A375,NS_pval_dist,4.461340357451547e-22
4-11_v_A375,NS_pval_dist,0.021284806363117907
4-11_v_A375,NS_pval_dist,2.577505936196468e-10
4-11_v_A375,NS_pval_dist,0.0006386730731825682
4-11_v_A375,NS_pval_dist,2.924407428044138e-18
4-11_v_A375,NS_pval_dist,3.639059528378316e-14
4-11_v_A375,NS_pval_dist,4.566084129501287e-05
4-11_v_A375,NS_pval_dist,1.8413796822718672e-14
4-11_v_A375,NS_pval_dist,0.044206156123623504
4-11_v_A375,NS_pval_dist,0.30883410926230626
4-11_v_A375,NS_pval_dist,0.0010552635688740857
4-11_v_A375,NS_pval_dist,9.1151343317422e-13
4-11_v_A375,NS_pval_dist,2.6034178570274487e-06
4-11_v_A375,NS_pval_dist,2.5879726851903696e-20
4-11_v_A375,NS_pval_dist,0.4869649760501821
4-11_v_A375,NS_pval_dist,0.5833206187533874
4-11_v_A375,NS_pval_dist,6.118546734154591e-24
4-11_v_A375,NS_pval_dist,0.02626559159447367
4-11_v_A375,NS_pval_dist,0.03593613137762092
4-11_v_A375,NS_pval_dist,0.6070189413331756
4-11_v_A375,NS_pval_dist,0.007063485809794635
4-11_v_A375,NS_pval_dist,0.018684735696569203
2-18_v_A375,NS_pval_dist,6.713757679212352e-08
2-18_v_A375,NS_pval_dist,1.551118290250048e-13
2-18_v_A375,NS_pval_dist,1.1010508010614525e-17
2-18_v_A375,NS_pval_dist,4.6882757201950354e-17
2-18_v_A375,NS_pval_dist,1.748681461694559e-06
2-18_v_A375,NS_pval_dist,1.6115123590779768e-14
2-18_v_A375,NS_pval_dist,2.4948171733376514e-14
2-18_v_A375,NS_pval_dist,8.725306465608261e-17
2-18_v_A375,NS_pval_dist,3.3034415270615196e-06
2-18_v_A375,NS_pval_dist,9.699975702395717e-06
2-18_v_A375,NS_pval_dist,0.008111050081624934
2-18_v_A375,NS_pval_dist,3.257512626532595e-07
2-18_v_A375,NS_pval_dist,0.03680903931134758
2-18_v_A375,NS_pval_dist,0.031060973559986476
2-18_v_A375,NS_pval_dist,3.736145807143565e-05
2-18_v_A375,NS_pval_dist,7.593177639897255e-19
2-18_v_A375,NS_pval_dist,2.824716345493447e-07
2-18_v_A375,NS_pval_dist,0.033018620202176066
2-18_v_A375,NS_pval_dist,0.012913417898559274
2-18_v_A375,NS_pval_dist,1.6243922784220951e-09
2-18_v_A375,NS_pval_dist,0.13706707673461474
2-18_v_A375,NS_pval_dist,0.0847419934798197
2-18_v_A375,NS_pval_dist,2.631970373490767e-19
2-18_v_A375,NS_pval_dist,0.46878042676095766
2-18_v_A375,NS_pval_dist,2.2131693427867832e-11
2-18_v_A375,NS_pval_dist,2.7104704187739095e-05
2-18_v_A375,NS_pval_dist,2.7309162078789415e-06
2-18_v_A375,NS_pval_dist,1.7518536604522557e-09
2-18_v_A375,NS_pval_dist,0.24332419302775132
2-18_v_A375,NS_pval_dist,4.2250125606418417e-17
2-18_v_A375,NS_pval_dist,2.352929628541088e-17
2-18_v_A375,NS_pval_dist,5.558955818178448e-16
2-18_v_A375,NS_pval_dist,0.05372396932073795
2-18_v_A375,NS_pval_dist,8.769468955442506e-09
2-18_v_A375,NS_pval_dist,6.07005095470709e-06
2-18_v_A375,NS_pval_dist,7.022154995700607e-11
2-18_v_A375,NS_pval_dist,0.10341494880909963
2-18_v_A375,NS_pval_dist,3.8668922316054e-09
2-18_v_A375,NS_pval_dist,7.79586646228168e-08
2-18_v_A375,NS_pval_dist,0.7928093311454317
2-18_v_A375,NS_pval_dist,1.0572640435108027e-06
2-18_v_A375,NS_pval_dist,2.3127364089115685e-14
2-18_v_A375,NS_pval_dist,2.5115641120403476e-06
2-18_v_A375,NS_pval_dist,6.278815899112971e-09
2-18_v_A375,NS_pval_dist,5.267991763717718e-09
2-18_v_A375,NS_pval_dist,0.5968098243358897
2-18_v_A375,NS_pval_dist,0.0008944288267255211
2-18_v_A375,NS_pval_dist,4.767988732851196e-08
2-18_v_A375,NS_pval_dist,4.31845688685252e-30
2-18_v_A375,NS_pval_dist,1.6339730543512185e-12
4-11_v_2-18,NS_pval_dist,0.7167219817726203
4-11_v_2-18,NS_pval_dist,1.5182762640931756e-05
4-11_v_2-18,NS_pval_dist,6.0236174347853e-16
4-11_v_2-18,NS_pval_dist,9.046039698239723e-08
4-11_v_2-18,NS_pval_dist,0.0003178092558640246
4-11_v_2-18,NS_pval_dist,0.844067940562893
4-11_v_2-18,NS_pval_dist,2.5680167479936855e-05
4-11_v_2-18,NS_pval_dist,1.9848247010680556e-07
4-11_v_2-18,NS_pval_dist,2.5641582915442364e-15
4-11_v_2-18,NS_pval_dist,1.5305335115667785e-11
4-11_v_2-18,NS_pval_dist,6.464691612602593e-09
4-11_v_2-18,NS_pval_dist,0.054333434980032944
4-11_v_2-18,NS_pval_dist,2.228716144537414e-09
4-11_v_2-18,NS_pval_dist,9.979210732470409e-05
4-11_v_2-18,NS_pval_dist,0.11474778170598705
4-11_v_2-18,NS_pval_dist,9.04773830697311e-19
4-11_v_2-18,NS_pval_dist,9.445056475208677e-13
4-11_v_2-18,NS_pval_dist,1.4307562992457335e-18
4-11_v_2-18,NS_pval_dist,1.8948039170673232e-29
4-11_v_2-18,NS_pval_dist,0.23263624632035296
4-11_v_2-18,NS_pval_dist,0.0035157547318462523
4-11_v_2-18,NS_pval_dist,0.0008048894595223766
4-11_v_2-18,NS_pval_dist,0.9192324293875613
4-11_v_2-18,NS_pval_dist,0.0006051484849656224
4-11_v_2-18,NS_pval_dist,0.001614947973831225
4-11_v_2-18,NS_pval_dist,0.24135569121181089
4-11_v_2-18,NS_pval_dist,0.14431072600618322
4-11_v_2-18,NS_pval_dist,1.0451119386953381e-09
4-11_v_2-18,NS_pval_dist,0.0645410738009712
4-11_v_2-18,NS_pval_dist,2.7995162837239653e-05
4-11_v_2-18,NS_pval_dist,4.0676226221228823e-10
4-11_v_2-18,NS_pval_dist,1.0886007282658608e-12
4-11_v_2-18,NS_pval_dist,2.9752481197047727e-07
4-11_v_2-18,NS_pval_dist,0.020473553101713574
4-11_v_2-18,NS_pval_dist,0.003921346535459923
4-11_v_2-18,NS_pval_dist,1.642533038398293e-14
4-11_v_2-18,NS_pval_dist,3.093200551056536e-07
4-11_v_2-18,NS_pval_dist,6.187837887084988e-09
4-11_v_2-18,NS_pval_dist,6.411044439874284e-07
4-11_v_2-18,NS_pval_dist,8.436183455090821e-14
4-11_v_2-18,NS_pval_dist,7.283128252982304e-05
4-11_v_2-18,NS_pval_dist,2.9541368287985656e-05
4-11_v_2-18,NS_pval_dist,0.09636726767783872
4-11_v_2-18,NS_pval_dist,1.425407505723736e-21
4-11_v_2-18,NS_pval_dist,0.5600627871384757
4-11_v_2-18,NS_pval_dist,1.725605456281674e-09
4-11_v_2-18,NS_pval_dist,0.1560777362816081
4-11_v_2-18,NS_pval_dist,0.08697153040540566
4-11_v_2-18,NS_pval_dist,1.2014134553617133e-05
4-11_v_2-18,NS_pval_dist,0.7203758883709399
