Comparison,variable,value
4-11_v_A375,Network Separation,0.03679030585461596
2-18_v_A375,Network Separation,0.27505663089565346
4-11_v_2-18,Network Separation,0.5151992276776298
4-11_v_A375,NS Cohen,-2.8946122777829566
2-18_v_A375,NS Cohen,-0.47737358242680594
4-11_v_2-18,NS Cohen,0.20640162157052247
4-11_v_A375,IQR Cohen,0.5127303292442092
2-18_v_A375,IQR Cohen,0.7249003698109894
4-11_v_2-18,IQR Cohen,1.0446578599312661
4-11_v_A375,NS Statistic,9834.0
2-18_v_A375,NS Statistic,6547.0
4-11_v_2-18,NS Statistic,4310.0
4-11_v_A375,NS p,3.460662523873655e-32
2-18_v_A375,NS p,0.0001576486309267672
4-11_v_2-18,NS p,0.09204325495955121
4-11_v_A375,IQR Statistic,1095.0
2-18_v_A375,IQR Statistic,1598.0
4-11_v_2-18,IQR Statistic,2154.0
4-11_v_A375,IQR p,1.425407505723736e-21
2-18_v_A375,IQR p,9.474923742909514e-17
4-11_v_2-18,IQR p,3.5845408375257138e-12
4-11_v_A375,IQR p_log,20.84606095868217
2-18_v_A375,IQR p_log,16.02342427668093
4-11_v_2-18,IQR p_log,11.445566467471822
4-11_v_A375,NS p_log,31.4608407500747
2-18_v_A375,NS p_log,3.8023097964576693
4-11_v_2-18,NS p_log,1.036008031615991
4-11_v_A375,NS_FPR,0.0
2-18_v_A375,NS_FPR,0.72
4-11_v_2-18,NS_FPR,0.78
4-11_v_A375,IQR_FPR,0.0
2-18_v_A375,IQR_FPR,0.0
4-11_v_2-18,IQR_FPR,0.0
