Comparison,variable,value
4-11_v_A375,NS Subsample Dist,0.060361503523449045
4-11_v_A375,NS Subsample Dist,0.11266522528744516
4-11_v_A375,NS Subsample Dist,0.06860985904005279
4-11_v_A375,NS Subsample Dist,0.1870881336611636
4-11_v_A375,NS Subsample Dist,0.16133197942188504
4-11_v_A375,NS Subsample Dist,0.09587999088016952
4-11_v_A375,NS Subsample Dist,0.2758786993887308
4-11_v_A375,NS Subsample Dist,0.046473409818072575
4-11_v_A375,NS Subsample Dist,0.09324552859070301
4-11_v_A375,NS Subsample Dist,0.09921351091354969
4-11_v_A375,NS Subsample Dist,0.11781698725397716
4-11_v_A375,NS Subsample Dist,0.04713995607587007
4-11_v_A375,NS Subsample Dist,0.1971429589279059
4-11_v_A375,NS Subsample Dist,0.2837682670856412
4-11_v_A375,NS Subsample Dist,0.15934272526039428
4-11_v_A375,NS Subsample Dist,0.12331219312602282
4-11_v_A375,NS Subsample Dist,0.03247315983539001
4-11_v_A375,NS Subsample Dist,0.12920015494942994
4-11_v_A375,NS Subsample Dist,0.11422430592391075
4-11_v_A375,NS Subsample Dist,0.08472505574165679
4-11_v_A375,NS Subsample Dist,0.06248652295423485
4-11_v_A375,NS Subsample Dist,0.023741179719349637
4-11_v_A375,NS Subsample Dist,0.16275597348016246
4-11_v_A375,NS Subsample Dist,0.09021990634916577
4-11_v_A375,NS Subsample Dist,0.06142478795364825
4-11_v_A375,NS Subsample Dist,0.13184998221058386
4-11_v_A375,NS Subsample Dist,0.08760460280364835
4-11_v_A375,NS Subsample Dist,0.04525787178711127
4-11_v_A375,NS Subsample Dist,0.18050834688270911
4-11_v_A375,NS Subsample Dist,0.035779676474049005
4-11_v_A375,NS Subsample Dist,0.04517049865210088
4-11_v_A375,NS Subsample Dist,0.03327168757262022
4-11_v_A375,NS Subsample Dist,0.07486115841574215
4-11_v_A375,NS Subsample Dist,0.051204466194552545
4-11_v_A375,NS Subsample Dist,0.05464525110542806
4-11_v_A375,NS Subsample Dist,0.24548475338621945
4-11_v_A375,NS Subsample Dist,0.11693932948939945
4-11_v_A375,NS Subsample Dist,0.04066320014595881
4-11_v_A375,NS Subsample Dist,0.11464723326061388
4-11_v_A375,NS Subsample Dist,0.06999680772934047
4-11_v_A375,NS Subsample Dist,0.2154857223080613
