,name,h_gene,t_gene,h_uniprot,t_uniprot,h_chr,t_chr,h_pos,t_pos,h_strand,t_strand,id,h_contribution,t_contribution,domain_architecture,dansy_impact,Novel_Architecture
0,FYN--FAM131B,ENSG00000010810,ENSG00000159784,P06241,Q86XD5,6,7,111780566,143360040,,,DANSY_00000,,,,No Annotation,False
1,KIF26A--DKK4,ENSG00000066735,ENSG00000104371,Q9ULI4,Q9UBT3,14,8,104138587,42375680,,,DANSY_00001,,IPR006796|IPR047299,IPR006796|IPR047299,Pre-existing,False
2,MVB12A--VGLL2,ENSG00000141971,ENSG00000170162,Q96EY5,Q8N8G2,19,6,17424621,117272454,,,DANSY_00002,IPR023341,,IPR023341,Pre-existing,False
3,PRAMEF13--KCNK16,ENSG00000279169,ENSG00000095981,Q5VWM6,Q96T55,1,6,13201332,39317786,,,DANSY_00003,,IPR013099,IPR013099,Pre-existing,False
4,ABHD16A--BRD8,ENSG00000204427,ENSG00000112983,O95870,Q9H0E9,6,5,31686955,138164087,,,DANSY_00004,IPR054518|IPR000073,IPR001487|IPR001487,IPR054518|IPR000073|IPR001487|IPR001487,Novel,True
5,OR52E6--ABCA6,ENSG00000205409,ENSG00000154262,Q96RD3,Q8N139,11,17,5840928,69110801,,,DANSY_00005,IPR017452,IPR013525|IPR003439|IPR056264,IPR017452|IPR013525|IPR003439|IPR056264,Novel,True
6,SPRED1--RAB6B,ENSG00000166068,ENSG00000154917,Q7Z699,Q9NRW1,15,3,38339737,133838166,,,DANSY_00006,IPR000697,,IPR000697,Pre-existing,False
7,NDE1--ITCH,ENSG00000072864,ENSG00000078747,Q9NXR1,Q96J02,16,20,15664736,34369394,,,DANSY_00007,,IPR000008|IPR001202|IPR001202|IPR001202|IPR001202|IPR000569,IPR000008|IPR001202|IPR001202|IPR001202|IPR001202|IPR000569,Pre-existing,False
8,TRDMT1--HPGD,ENSG00000107614,ENSG00000164120,O14717,P15428,10,4,17160305,174522359,,,DANSY_00008,,,,No Annotation,False
9,CYP7B1--TPST2,ENSG00000172817,ENSG00000128294,O75881,O60704,8,22,64615026,26528214,,,DANSY_00009,,,,No Annotation,False
10,C1QBP--PI3,ENSG00000108561,ENSG00000124102,Q07021,P19957,17,20,5438123,45175861,,,DANSY_00010,,IPR008197,IPR008197,Pre-existing,False
11,UBOX5--FAM110A,ENSG00000185019,ENSG00000125898,O94941,Q9BQ89,20,20,3107573,833715,,,DANSY_00011,IPR045696|IPR003613|IPR001841,IPR025739|IPR025741,IPR045696|IPR003613|IPR001841|IPR025739|IPR025741,Novel,True
12,SOX14--SNTG2,ENSG00000168875,ENSG00000172554,O95416,Q9NY99,3,2,137764315,1367343,,,DANSY_00012,IPR009071,,IPR009071,Pre-existing,False
13,PRMT5--SEPHS1,ENSG00000100462,ENSG00000086475,O14744,P49903,14,10,22920529,13338705,,,DANSY_00013,IPR035247|IPR035075|IPR035248,IPR016188|IPR010918,IPR035247|IPR035075|IPR035248|IPR016188|IPR010918,Novel,True
14,MMP20--IGLV1-47,ENSG00000137674,ENSG00000211648,O60882,P01700,11,22,102579039,22357739,,,DANSY_00014,IPR002477|IPR001818,IPR003599,IPR002477|IPR001818|IPR003599,Novel,True
15,CTNNB1--TNRC6C,ENSG00000168036,ENSG00000078687,P35222,Q9HCJ0,3,17,41199505,78075136,,,DANSY_00015,,IPR026805|IPR032226|IPR000504,IPR026805|IPR032226|IPR000504,Pre-existing,False
16,IGLV3-12--RASAL1,ENSG00000211667,ENSG00000111344,A0A075B6K2,O95294,22,12,22772282,113101889,,,DANSY_00016,IPR003599,,IPR003599,Pre-existing,False
17,PTMS--TMEM241,ENSG00000159335,ENSG00000134490,P20962,Q24JQ0,12,18,6769603,23421367,,,DANSY_00017,,,,No Annotation,False
18,MVB12B--FITM1,ENSG00000196814,ENSG00000139914,Q9H7P6,A5D6W6,9,14,126386562,24132211,,,DANSY_00018,,,,No Annotation,False
19,PVR--TRBV9,ENSG00000073008,ENSG00000211716,P15151,A0A0B4J1U6,19,7,44647223,142391891,,,DANSY_00019,IPR003599,IPR007110,IPR003599|IPR007110,Pre-existing,False
20,SMCO2--COMMD1,ENSG00000165935,ENSG00000173163,A6NFE2,Q8N668,12,2,27446736,62000701,,,DANSY_00020,,IPR017920,IPR017920,Pre-existing,False
21,OR8D4--COA4,ENSG00000181518,ENSG00000181924,Q8NGM9,Q9NYJ1,11,11,123902167,73876757,,,DANSY_00021,,IPR010625,IPR010625,Pre-existing,False
22,WWC2--MRE11,ENSG00000151718,ENSG00000020922,Q6AWC2,P49959,4,11,183265865,94493791,,,DANSY_00022,IPR001202|IPR001202|IPR057747,IPR004843|IPR007281,IPR001202|IPR001202|IPR057747|IPR004843|IPR007281,Novel,True
23,NFATC2IP--HYOU1,ENSG00000176953,ENSG00000149428,Q8NCF5,Q9Y4L1,16,11,28952132,119049556,,,DANSY_00023,,,,No Annotation,False
24,SPRR5--RAMACL,ENSG00000283227,ENSG00000235272,A0A1B0GTR4,A0A3B3IU46,1,6,152947206,166583009,,,DANSY_00024,,,,No Annotation,False
25,POP7--ERCC5,ENSG00000172336,ENSG00000134899,O75817,P28715,7,13,100706121,102875307,,,DANSY_00025,,,,No Annotation,False
26,EPPIN--ZNF530,ENSG00000101448,ENSG00000183647,O95925,Q6P9A1,20,19,45545639,57604277,,,DANSY_00026,IPR008197,IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,IPR008197|IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Novel,True
27,SLA--CARMIL2,ENSG00000155926,ENSG00000159753,Q13239,Q6F5E8,8,16,133060100,67651685,,,DANSY_00027,,IPR031943,IPR031943,Pre-existing,False
28,NAT10--A2ML1,ENSG00000135372,ENSG00000166535,Q9H0A0,A8K2U0,11,12,34127463,8867842,,,DANSY_00028,IPR013562,IPR009048,IPR013562|IPR009048,Novel,True
29,CHD2--RGS7BP,ENSG00000173575,ENSG00000186479,O14647,Q6MZT1,15,5,92985498,64598365,,,DANSY_00029,IPR000953|IPR000953|IPR000330|IPR001650,,IPR000953|IPR000953|IPR000330|IPR001650,Pre-existing,False
30,C12orf57--ALDH3A2,ENSG00000111678,ENSG00000072210,Q99622,P51648,12,17,6944476,19675558,,,DANSY_00030,,,,No Annotation,False
31,SMIM34--WDR49,ENSG00000243627,ENSG00000174776,A8MWV9,Q8IV35,21,3,34423833,167529052,,,DANSY_00031,,,,No Annotation,False
32,AAR2--VIL1,ENSG00000131043,ENSG00000127831,Q9Y312,P09327,20,2,36239821,218432793,,,DANSY_00032,IPR033647,IPR007123|IPR007123|IPR003128,IPR033647|IPR007123|IPR007123|IPR003128,Novel,True
33,IFT140--PDK2,ENSG00000187535,ENSG00000005882,Q96RY7,Q15119,16,17,1520131,50108319,,,DANSY_00033,IPR056154|IPR056155|IPR056168,,IPR056154|IPR056155|IPR056168,Pre-existing,False
34,MCAT--LIMCH1,ENSG00000100294,ENSG00000064042,Q8IVS2,Q9UPQ0,22,4,43142926,41662821,,,DANSY_00034,,,,No Annotation,False
35,ZNF865--HTR5A,ENSG00000261221,ENSG00000157219,P0CJ78,P47898,19,7,55605647,155070324,,,DANSY_00035,,IPR017452,IPR017452,Pre-existing,False
36,ZBTB14--CFAP99,ENSG00000198081,ENSG00000206113,O43829,D6REC4,18,4,5289022,2438070,,,DANSY_00036,IPR000210|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,,IPR000210|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Pre-existing,False
37,COPS8--TCL1B,ENSG00000198612,ENSG00000213231,Q99627,O95988,2,14,237085889,95690736,,,DANSY_00037,,,,No Annotation,False
38,IL15--NIP7,ENSG00000164136,ENSG00000132603,P40933,Q9Y221,4,16,141721924,69339772,,,DANSY_00038,,IPR040598|IPR002478,IPR040598|IPR002478,Pre-existing,False
39,MOAP1--MBNL3,ENSG00000165943,ENSG00000076770,Q96BY2,Q9NUK0,14,X,93184559,132384663,,,DANSY_00039,,,,No Annotation,False
40,FAM25G--NFXL1,ENSG00000189090,ENSG00000170448,B3EWG6,Q6ZNB6,10,4,47487219,47879096,,,DANSY_00040,,IPR000967|IPR000967|IPR000967,IPR000967|IPR000967|IPR000967,Pre-existing,False
41,RBBP7--XAB2,ENSG00000102054,ENSG00000076924,Q16576,Q9HCS7,X,19,16845828,7619747,,,DANSY_00041,IPR022052,,IPR022052,Pre-existing,False
42,POC1A--FAM186A,ENSG00000164087,ENSG00000185958,Q8NBT0,A6NE01,3,12,52075226,50333911,,,DANSY_00042,,,,No Annotation,False
43,PORCN--PLP2,ENSG00000102312,ENSG00000102007,Q9H237,Q04941,X,X,48508992,49173388,,,DANSY_00043,,,,No Annotation,False
44,BRD7--IGLV6-57,ENSG00000166164,ENSG00000211640,Q9NPI1,P01721,16,22,50320248,22195799,,,DANSY_00044,IPR001487,IPR003599,IPR001487|IPR003599,Novel,True
45,CES4A--SCFD2,ENSG00000172824,ENSG00000184178,Q5XG92,Q8WU76,16,4,67004793,53273826,,,DANSY_00045,,,,No Annotation,False
46,GRSF1--NPNT,ENSG00000132463,ENSG00000168743,Q12849,Q6UXI9,4,4,70815783,105958471,,,DANSY_00046,IPR000504|IPR000504|IPR000504,IPR000998,IPR000504|IPR000504|IPR000504|IPR000998,Novel,True
47,TWF1--DEK,ENSG00000151239,ENSG00000124795,Q12792,P35659,12,6,43800435,18263843,,,DANSY_00047,,IPR003034|IPR014876,IPR003034|IPR014876,Pre-existing,False
48,AGTRAP--GRID2,ENSG00000177674,ENSG00000152208,Q6RW13,O43424,1,4,11745803,93626269,,,DANSY_00048,,,,No Annotation,False
49,ZBTB14--PLAAT3,ENSG00000198081,ENSG00000176485,O43829,P53816,18,11,5293972,63614000,,,DANSY_00049,,IPR007053,IPR007053,Pre-existing,False
50,MS4A15--SHCBP1L,ENSG00000166961,ENSG00000157060,Q8N5U1,Q9BZQ2,11,1,60773392,182929647,,,DANSY_00050,,IPR006633|IPR039448,IPR006633|IPR039448,Pre-existing,False
51,GLB1L--TMEM69,ENSG00000163521,ENSG00000159596,Q6UWU2,Q5SWH9,2,1,219238250,45693204,,,DANSY_00051,IPR031330,,IPR031330,Pre-existing,False
52,OR6C2--SMC1A,ENSG00000179695,ENSG00000072501,Q9NZP2,Q14683,12,X,55444076,53374149,,,DANSY_00052,,,,No Annotation,False
53,RFX3--SPATA31H1,ENSG00000080298,ENSG00000221843,P48380,Q68DN1,9,2,3395472,27566289,,,DANSY_00053,,,,No Annotation,False
54,UBA1--SMIM32,ENSG00000130985,ENSG00000271824,P22314,A0A1B0GUA5,X,5,47202156,136191468,,,DANSY_00054,IPR032418,,IPR032418,Pre-existing,False
55,MRPL35--STX11,ENSG00000132313,ENSG00000135604,Q9NZE8,O75558,2,6,86199457,144150517,,,DANSY_00055,,IPR006011|IPR000727,IPR006011|IPR000727,Pre-existing,False
56,WNT5B--MTX3,ENSG00000111186,ENSG00000177034,Q9H1J7,Q5HYI7,12,5,1629231,79988239,,,DANSY_00056,,IPR033468,IPR033468,Pre-existing,False
57,MTLN--MSMP,ENSG00000175701,ENSG00000215183,Q8NCU8,Q1L6U9,2,9,110211529,35753660,,,DANSY_00057,,,,No Annotation,False
58,TBXA2R--EGLN2,ENSG00000006638,ENSG00000269858,P21731,Q96KS0,19,19,3594507,40807484,,,DANSY_00058,IPR017452,,IPR017452,Pre-existing,False
59,RAB40AL--LYZL6,ENSG00000102128,ENSG00000275722,P0C0E4,O75951,X,17,102937272,35934518,,,DANSY_00059,IPR005225|IPR001496,,IPR005225|IPR001496,Pre-existing,False
60,RFC4--STK4,ENSG00000163918,ENSG00000101109,P35249,Q13043,3,20,186790142,44995090,,,DANSY_00060,IPR003593|IPR047854,IPR011524,IPR003593|IPR047854|IPR011524,Novel,True
