,0
A0A024R1R8,
A0A075B6L2,AF-A0A075B6L2-F1-model_v4_TED01:2.60.40.10:33:116
A0A075B6S0,
A0A075B6Y3,
A0A075B6Y9,
A0A075B700,
A0A075B706,
A0A075B734,AF-A0A075B734-F1-model_v4_TED01:1.20.1080.10:22:282
A0A087WTH1,AF-A0A087WTH1-F1-model_v4_TED01:1.10.287:22:108
A0A087WWA1,
A0A087WWS6,AF-A0A087WWS6-F1-model_v4_TED01:1.20.1250.10:36:190
A0A087WXM9,
A0A087X1C5,AF-A0A087X1C5-F1-model_v4_TED01:1.10.630.10:32:515
A0A096LNP1,AF-A0A096LNP1-F1-model_v4_TED01:-:29:62
A0A096LP01,AF-A0A096LP01-F1-model_v4_TED01:1.10.287:1:43
A0A096LP49,
A0A096LP55,AF-A0A096LP55-F1-model_v4_TED01:1.10.287.20:29:91
A0A096LPI5,
A0A0A0MT70,
A0A0A0MT76,
A0A0A0MT87,
A0A0A0MT94,
A0A0A0MTA7,
A0A0B4J1W7,
A0A0B4J200,
A0A0B4J2F0,AF-A0A0B4J2F0-F1-model_v4_TED01:1.20.5:30:54
A0A0C4DGP1,
A0A0C4DH62,
A0A0C5B5G6,
A0A0D9SF12,AF-A0A0D9SF12-F1-model_v4_TED01:1.20.5:67:107
A0A0G2JMD5,AF-A0A0G2JMD5-F1-model_v4_TED01:-:10:119;AF-A0A0G2JMD5-F1-model_v4_TED02:3.80.10.10:186:454
A0A0J9YWP8,
A0A0J9YWX3,
A0A0J9YXG5,
A0A0J9YXM7,
A0A0J9YXV3,
A0A0U1RQE8,AF-A0A0U1RQE8-F1-model_v4_TED02:3.40.630.30:151:261;AF-A0A0U1RQE8-F1-model_v4_TED01:3.40.630:3:297
A0A0U1RQF7,
A0A0U1RQG5,
A0A0U1RQS6,
A0A0U1RR11,AF-A0A0U1RR11-F1-model_v4_TED01:2.170.150.70:131:240
A0A0U1RR37,
A0A0U1RRA0,AF-A0A0U1RRA0-F1-model_v4_TED01:1.20.5:6:57
A0A0U1RRE5,
A0A0U1RRI6,AF-A0A0U1RRI6-F1-model_v4_TED01:2.170.150.70:123:261
A0A0U1RRK4,
A0A0U1RRL7,
A0A0U1RRN3,
A0A183,
A0A1B0GTB2,
A0A1B0GTC6,AF-A0A1B0GTC6-F1-model_v4_TED02:1.20.5:49:85
A0A1B0GTD5,AF-A0A1B0GTD5-F1-model_v4_TED01:-:42:118
A0A1B0GTH6,AF-A0A1B0GTH6-F1-model_v4_TED01:-:413:527
A0A1B0GTI1,
A0A1B0GTI8,AF-A0A1B0GTI8-F1-model_v4_TED01:-:3:187
A0A1B0GTJ6,
A0A1B0GTK4,AF-A0A1B0GTK4-F1-model_v4_TED01:-:46:113
A0A1B0GTK5,
A0A1B0GTL2,AF-A0A1B0GTL2-F1-model_v4_TED01:1.20.1250:28:184
A0A1B0GTQ4,AF-A0A1B0GTQ4-F1-model_v4_TED01:1.20.5:2:58
A0A1B0GTR0,
A0A1B0GTR3,
A0A1B0GTR4,
A0A1B0GTU2,
A0A1B0GTW7,AF-A0A1B0GTW7-F1-model_v4_TED01:3.10.170.20:22:312;AF-A0A1B0GTW7-F1-model_v4_TED02:3.90.132.10:319:444;AF-A0A1B0GTW7-F1-model_v4_TED03:-:623:723
A0A1B0GTY4,AF-A0A1B0GTY4-F1-model_v4_TED01:1.10.287:72:114
A0A1B0GTZ2,AF-A0A1B0GTZ2-F1-model_v4_TED01:1.20.5:20:81
A0A1B0GU29,
A0A1B0GU33,
A0A1B0GU71,AF-A0A1B0GU71-F1-model_v4_TED01:1.20.5:53:83
A0A1B0GUA5,
A0A1B0GUA6,
A0A1B0GUA7,AF-A0A1B0GUA7-F1-model_v4_TED01:-:26:128
A0A1B0GUA9,
A0A1B0GUC4,
A0A1B0GUI7,AF-A0A1B0GUI7-F1-model_v4_TED01:-:6:37
A0A1B0GUQ0,
A0A1B0GUS0,AF-A0A1B0GUS0-F1-model_v4_TED01:1.20.5:49:73
A0A1B0GUT2,
A0A1B0GUU1,AF-A0A1B0GUU1-F1-model_v4_TED01:-:26:80;AF-A0A1B0GUU1-F1-model_v4_TED02:-:125:675;AF-A0A1B0GUU1-F1-model_v4_TED03:-:309:506;AF-A0A1B0GUU1-F1-model_v4_TED04:-:523:607
A0A1B0GUV1,
A0A1B0GUV7,
A0A1B0GUW6,
A0A1B0GUW7,
A0A1B0GUX0,AF-A0A1B0GUX0-F1-model_v4_TED01:-:11:47;AF-A0A1B0GUX0-F1-model_v4_TED02:-:90:128
A0A1B0GUY1,
A0A1B0GV03,AF-A0A1B0GV03-F1-model_v4_TED01:1.20.5:77:214
A0A1B0GV22,
A0A1B0GV90,
A0A1B0GV96,
A0A1B0GVB3,
A0A1B0GVD1,AF-A0A1B0GVD1-F1-model_v4_TED02:-:45:139;AF-A0A1B0GVD1-F1-model_v4_TED01:1.20.5:2:43
A0A1B0GVG4,
A0A1B0GVG6,
A0A1B0GVH6,AF-A0A1B0GVH6-F1-model_v4_TED01:1.20.5:69:105
A0A1B0GVH7,AF-A0A1B0GVH7-F1-model_v4_TED01:-:321:466
A0A1B0GVK7,AF-A0A1B0GVK7-F1-model_v4_TED01:1.20.5:15:44;AF-A0A1B0GVK7-F1-model_v4_TED02:1.20.5:46:77
A0A1B0GVM5,
A0A1B0GVM6,AF-A0A1B0GVM6-F1-model_v4_TED01:-:60:92
A0A1B0GVN3,AF-A0A1B0GVN3-F1-model_v4_TED01:1.20.5:184:217
A0A1B0GVQ0,AF-A0A1B0GVQ0-F1-model_v4_TED01:1.20.5:12:48
A0A1B0GVQ3,AF-A0A1B0GVQ3-F1-model_v4_TED01:1.20.5:2:51
A0A1B0GVR7,
A0A1B0GVS7,
A0A1B0GVT2,AF-A0A1B0GVT2-F1-model_v4_TED01:1.20.5:7:40
A0A1B0GVV1,
A0A1B0GVX0,
A0A1B0GVY4,
A0A1B0GVZ2,AF-A0A1B0GVZ2-F1-model_v4_TED01:-:15:66
A0A1B0GVZ9,AF-A0A1B0GVZ9-F1-model_v4_TED01:1.20.120:34:233
A0A1B0GW54,AF-A0A1B0GW54-F1-model_v4_TED01:1.20.5:28:56
A0A1B0GW64,AF-A0A1B0GW64-F1-model_v4_TED01:1.20.5:44:70
A0A1B0GWB2,
A0A1B0GWG4,AF-A0A1B0GWG4-F1-model_v4_TED01:1.20.5:29:65
A0A1B0GWH6,AF-A0A1B0GWH6-F1-model_v4_TED01:1.20.5:1:25
A0A1B0GWI6,
A0A1W2PP81,AF-A0A1W2PP81-F1-model_v4_TED01:1.10.20.10:102:186
A0A1W2PP97,"AF-A0A1W2PP97-F1-model_v4_TED01:2.20.100,2.20.100:51:115"
A0A1W2PPE2,AF-A0A1W2PPE2-F1-model_v4_TED01:1.10.20.10:102:184
A0A1W2PPE3,
A0A1W2PPH5,AF-A0A1W2PPH5-F1-model_v4_TED01:1.20.5:89:117
A0A1W2PPL8,AF-A0A1W2PPL8-F1-model_v4_TED01:1.10.20.10:118:186
A0A1W2PPW3,AF-A0A1W2PPW3-F1-model_v4_TED01:1.10.20.10:89:185
A0A1W2PQ09,AF-A0A1W2PQ09-F1-model_v4_TED01:1.10.20.10:97:186
A0A1W2PQ27,AF-A0A1W2PQ27-F1-model_v4_TED01:3.40.50.2300:8:194;AF-A0A1W2PQ27-F1-model_v4_TED02:-:43:92
A0A1W2PQ64,AF-A0A1W2PQ64-F1-model_v4_TED01:3.40.50.2300:8:194;AF-A0A1W2PQ64-F1-model_v4_TED02:-:43:92
A0A1W2PQC6,AF-A0A1W2PQC6-F1-model_v4_TED01:3.40.50.2300:8:194;AF-A0A1W2PQC6-F1-model_v4_TED02:-:43:92
A0A1W2PQD8,AF-A0A1W2PQD8-F1-model_v4_TED01:3.40.50.2300:8:194;AF-A0A1W2PQD8-F1-model_v4_TED02:-:43:92
A0A1W2PQJ5,AF-A0A1W2PQJ5-F1-model_v4_TED01:3.40.50.2300:8:194;AF-A0A1W2PQJ5-F1-model_v4_TED02:-:43:92
A0A1W2PQU2,AF-A0A1W2PQU2-F1-model_v4_TED01:1.10.287:2:74
A0A1W2PR48,AF-A0A1W2PR48-F1-model_v4_TED01:2.130.10.10:163:288
A0A1W2PR64,AF-A0A1W2PR64-F1-model_v4_TED01:1.10.20.10:102:184
A0A1W2PR75,AF-A0A1W2PR75-F1-model_v4_TED01:3.40.50.2300:8:194;AF-A0A1W2PR75-F1-model_v4_TED02:-:42:92
A0A1W2PR82,AF-A0A1W2PR82-F1-model_v4_TED01:-:174:216
A0A1W2PR95,AF-A0A1W2PR95-F1-model_v4_TED01:1.25.40.540:15:229
A0A1W2PRV1,AF-A0A1W2PRV1-F1-model_v4_TED01:1.10.20.10:102:184
A0A1W2PS18,AF-A0A1W2PS18-F1-model_v4_TED01:-:71:150
A0A286YEV6,
A0A286YEX9,
A0A286YEY9,
A0A286YF01,
A0A286YF18,
A0A286YF46,
A0A286YF58,
A0A286YF60,
A0A286YF77,
A0A286YFB4,
A0A286YFG1,
A0A286YFK9,
A0A2R8Y2Y2,
A0A2R8Y4Y8,AF-A0A2R8Y4Y8-F1-model_v4_TED01:2.60.40.3210:6:101
A0A2R8Y7Y5,AF-A0A2R8Y7Y5-F1-model_v4_TED01:1.20.5:185:213
A0A2R8YCJ5,AF-A0A2R8YCJ5-F1-model_v4_TED01:1.20.5:31:75
A0A2R8YFL7,AF-A0A2R8YFL7-F1-model_v4_TED01:2.60.40.3210:20:174
A0A2R8YFM6,AF-A0A2R8YFM6-F1-model_v4_TED01:2.60.40.3210:22:119
A0A3B3IS91,
A0A3B3IU46,AF-A0A3B3IU46-F1-model_v4_TED01:-:1:30
A0A3B3IU63,AF-A0A3B3IU63-F1-model_v4_TED01:1.10.20.10:18:101
A0A3G1DIU6,
A0A3G1DJK2,AF-A0A3G1DJK2-F1-model_v4_TED01:-:2:26
A0A3G1DJL7,
A0A3G1DJN1,
A0A3G1DJQ2,
A0A411D538,AF-A0A411D538-F1-model_v4_TED01:-:4:78
A0A455ZAR2,
A0A494BZU4,AF-A0A494BZU4-F1-model_v4_TED01:1.20.140:4:146
A0A494C071,AF-A0A494C071-F1-model_v4_TED03:2.30.30.140:1759:1892;AF-A0A494C071-F1-model_v4_TED04:-:1908:2053
A0A494C086,AF-A0A494C086-F1-model_v4_TED01:-:194:401
A0A494C0N9,AF-A0A494C0N9-F1-model_v4_TED01:1.20.5:96:153
A0A494C0Y3,AF-A0A494C0Y3-F1-model_v4_TED01:1.20.5:110:155
A0A494C0Z2,AF-A0A494C0Z2-F1-model_v4_TED01:-:107:264
A0A494C191,AF-A0A494C191-F1-model_v4_TED01:-:107:264
A0A494C1I1,
A0A494C1R9,AF-A0A494C1R9-F1-model_v4_TED02:3.30.1120.90:165:294;AF-A0A494C1R9-F1-model_v4_TED01:1.20.5:126:161
A0A590UK83,
A0A5F9ZH02,AF-A0A5F9ZH02-F1-model_v4_TED01:1.20.5:11:52
A0A6I8PU40,
A0A7L8Y648,
A0A7P0TBJ1,AF-A0A7P0TBJ1-F1-model_v4_TED01:-:3:146
A0A8I5KQE6,
A0AVF1,"AF-A0AVF1-F1-model_v4_TED01:1.25.40.10:149:270;AF-A0AVF1-F1-model_v4_TED02:1.25.40,1.25.40:276:386;AF-A0AVF1-F1-model_v4_TED03:1.25.40,1.25.40:390:475;AF-A0AVF1-F1-model_v4_TED04:-:476:554"
A0AVI4,AF-A0AVI4-F1-model_v4_TED01:-:3:115;AF-A0AVI4-F1-model_v4_TED02:2.30.29.30:122:245;AF-A0AVI4-F1-model_v4_TED03:-:263:359
A0JLT2,AF-A0JLT2-F1-model_v4_TED01:-:85:134
A0JNW5,AF-A0JNW5-F1-model_v4_TED01:-:2:271;AF-A0JNW5-F1-model_v4_TED02:-:347:586
A0MZ66,
A0PG75,AF-A0PG75-F1-model_v4_TED01:-:77:266
