,mean_length,aa_buffer
IPR001017,295.5,5
IPR008211,243.6875,5
IPR002049,52.78846153846154,5
IPR001134,128.56521739130434,5
IPR040460,235.0,5
IPR041263,161.4,5
IPR011611,297.0,5
IPR041611,101.0,5
IPR012852,381.0,5
IPR041641,26.5,2
IPR001090,181.5,5
IPR011641,42.89473684210526,2
IPR003961,97.81695331695332,5
IPR027936,75.0,5
IPR000719,276.0991902834008,5
IPR001660,66.56140350877193,5
IPR031925,108.0,5
IPR006599,36.1,2
IPR001841,45.137071651090345,2
IPR016137,122.84210526315789,5
IPR000961,69.18181818181819,5
IPR001849,112.0873786407767,5
IPR031628,173.0,5
IPR032365,113.5,5
IPR020089,58.5,5
IPR020090,61.5,5
IPR017452,255.74555403556772,5
IPR001356,64.12367491166077,5
IPR003654,16.625,2
IPR000086,142.77777777777777,5
IPR001506,197.16666666666666,5
IPR000859,111.81645569620254,5
IPR000742,37.25298013245033,2
IPR003893,17.0,2
IPR002219,50.773809523809526,5
IPR001206,140.86666666666667,5
IPR000756,162.7,5
IPR001909,72.36103896103896,5
IPR013087,26.731345244351026,2
IPR033122,288.0,5
IPR014044,146.86666666666667,5
IPR005135,276.2352941176471,5
IPR001304,125.66666666666667,5
IPR025766,133.25,5
IPR000330,313.5,5
IPR001650,166.26605504587155,5
IPR058901,100.0,5
IPR013106,108.52,5
IPR010033,127.0,5
IPR008197,49.17391304347826,2
IPR045371,87.56,5
IPR010294,111.16,5
IPR000331,218.45454545454547,5
IPR001683,121.8125,5
IPR000595,118.23913043478261,5
IPR000591,77.57692307692308,5
IPR000651,131.625,5
IPR001895,253.73333333333332,5
IPR027486,95.0,5
IPR001839,118.80555555555556,5
IPR003112,256.9230769230769,5
IPR003599,94.81687242798354,5
IPR003598,66.77909270216962,5
IPR055236,95.66666666666667,5
IPR006887,515.0,5
IPR013520,176.07142857142858,5
IPR032628,278.75,5
IPR001054,216.17241379310346,5
IPR041933,46.0,2
IPR001315,88.44827586206897,5
IPR013787,42.535714285714285,2
IPR002048,53.203647416413375,5
IPR054521,78.0,5
IPR002125,122.61904761904762,5
IPR011072,82.27777777777777,5
IPR000008,125.57723577235772,5
IPR000210,107.83333333333333,5
IPR006796,51.5,5
IPR047304,82.0,5
IPR040723,108.0,5
IPR002642,568.3333333333334,5
IPR002087,93.5,5
IPR002687,233.66666666666666,5
IPR019175,127.0,5
IPR011545,164.94444444444446,5
IPR010716,202.0,5
IPR013257,74.5,5
IPR003597,81.69369369369369,5
IPR007110,92.93388429752066,5
IPR001828,344.35135135135135,5
IPR019011,34.0,2
IPR002123,131.23529411764707,5
IPR032098,72.0,5
IPR001878,15.932432432432432,2
IPR004910,97.25,5
IPR019103,111.5,5
IPR011705,101.4,5
